"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"373","Travis Cariveau","St. Cloud St.","So.","INF","36","141","48","0.340"
"","Jason Hamm","Saint Leo","Sr.","C","42","141","48","0.340"
"375","Ryan Cook","Tex. A&M-Kingsville","Jr.","OF","39","144","49","0.340"
"","Tyler Gray","Ashland","Fr.","1B","43","144","49","0.340"
"","Tyler Splichal","Neb. Omaha","So.","INF","39","144","49","0.340"
"378","Adrian English","Barry","Fr.","INF","50","194","66","0.340"
"379","Craig Denman","Mercyhurst","Sr.","OF","44","147","50","0.340"
"380","Keegan Ghidotti","Ouachita Baptist","Fr.","P","37","100","34","0.340"
"","Josh Wenger","Concord","So.","INF","43","150","51","0.340"
"382","Ernesto Ortiz","Grand Canyon","Jr.","SS","42","153","52","0.340"
"","Ryan Powers","Saint Leo","Sr.","INF","44","153","52","0.340"
"384","Matt Albaugh","Kutztown","So.","C","35","106","36","0.340"
"","Daniel Qualls","Incarnate Word","Sr.","C","38","106","36","0.340"
"386","Carlos Guzman","Molloy","Fr.","OF","45","168","57","0.339"
"387","Peter Barrows","Bridgeport","Sr.","1B","33","115","39","0.339"
"","Kyle Vesey","Wayne St. (MI)","Jr.","OF","40","115","39","0.339"
"389","Michael Hackett","Alderson-Broaddus","Jr.","INF","34","118","40","0.339"
"390","Brandon Choate","Southern Ark.","Sr.","C","40","124","42","0.339"
"391","Nate Wallen","Central Wash.","Fr.","-","38","127","43","0.339"
"392","Dave Lojeski","Wis.-Parkside","Sr.","INF","36","130","44","0.338"
"","Joe Wendle","West Chester","Jr.","SS","39","130","44","0.338"
"394","Nick Barbera","Pitt.-Johnstown","Sr.","INF","37","133","45","0.338"
"","Colby Wiggins","Chowan","Fr.","INF","49","133","45","0.338"
"396","Reid Rothenbuhler","Findlay","Fr.","INF","42","136","46","0.338"
"","Brandon Tangney","Rockhurst","So.","OF","42","136","46","0.338"
"398","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","145","49","0.338"
"399","Bob Terry","Regis (CO)","So.","OF","41","148","50","0.338"
"400","Tyler Hancock","Central Okla.","Jr.","INF","41","154","52","0.338"
"401","Nate Valdez","Cameron","Sr.","INF","43","157","53","0.338"
"402","Evan Kehoe","UC San Diego","Sr.","INF","46","160","54","0.338"
"403","Phil Imholte","St. Cloud St.","So.","OF","40","86","29","0.337"
"404","Nick Thimesch","Drury","Fr.","OF","45","181","61","0.337"
"405","J.L. Buchanan","Colo. Christian","Sr.","1B","47","187","63","0.337"
"406","Rusty Smith","Mars Hill","Sr.","OF","49","193","65","0.337"
"407","Eric Rodriguez","Benedict","Sr.","OF","34","101","34","0.337"
"","Nate Wilder","Arkansas Tech","Jr.","3B","38","101","34","0.337"
"409","Austin Erb","Ashland","So.","1B","36","104","35","0.337"
"410","William Buford","Tuskegee","So.","P","33","110","37","0.336"
"","Patrick Burkhart","Wayne St. (NE)","Jr.","SS","28","110","37","0.336"
"412","Hector Flores","Incarnate Word","Jr.","INF","41","113","38","0.336"
"413","Matthew Corbitt","Upper Iowa","Fr.","OF","41","119","40","0.336"
"","Ryan Lewicki","West Va. Wesleyan","So.","1B","33","119","40","0.336"
"415","Andy Quiring","Tex. Permian Basin","Sr.","OF","38","125","42","0.336"
"416","Chris Pula","West Chester","Fr.","INF","40","128","43","0.336"
"417","Jordan Chiero","Tiffin","Jr.","INF","43","140","47","0.336"
"","Andy Petz","Washburn","Sr.","C","41","140","47","0.336"
"","Tim Quinn","Assumption","Jr.","C","41","140","47","0.336"
"","Jarred Wallace","Colorado Mines","Sr.","C","42","140","47","0.336"
"421","null Gerstenslage","Mercyhurst","Fr.","-","40","143","48","0.336"
"","Marcus Peavler","Washburn","Jr.","OF","42","143","48","0.336"
"423","Gip Hendrix","Henderson St.","Sr.","OF","45","149","50","0.336"
"424","Terrell Jones","North Ga.","Jr.","OF","39","155","52","0.335"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","155","52","0.335"
"426","Garret Keenan","Saint Rose","Sr.","OF","41","158","53","0.335"
"","Brock McCallister","Francis Marion","Jr.","INF","41","158","53","0.335"
"428","Ryan Daughtry","Barton","Jr.","OF","43","161","54","0.335"
"429","Rudy Casillas","Upper Iowa","Jr.","INF","44","167","56","0.335"
"430","Gelson Perez","Lincoln Memorial","Jr.","INF","49","176","59","0.335"
"431","Bret Schwartz","Central Mo.","Jr.","SS","46","179","60","0.335"
"432","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","200","67","0.335"
"433","Cale Rogers","Wingate","Sr.","OF","54","221","74","0.335"
"434","Tyler Bean","Washburn","Jr.","INF","40","123","41","0.333"
"","Michael Cantwell","St. Andrews","Sr.","OF","43","147","49","0.333"
"","Tyler Cappelmann","Francis Marion","Sr.","INF","47","168","56","0.333"
"","Trent Chapman","West Liberty","Sr.","OF","45","159","53","0.333"
"","Dylan Cintula","Findlay","Fr.","INF","37","96","32","0.333"
"","Kyle Cummings","Southern Conn. St.","Fr.","INF","37","147","49","0.333"
"","Sam Fagely","Concordia-St. Paul","Sr.","OF","29","102","34","0.333"
"","Wade Finke","St. Joseph's (IN)","Sr.","INF","37","120","40","0.333"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","165","55","0.333"
"","Richard McCarren","Adelphi","Sr.","OF","42","150","50","0.333"
"","Jon McKinney","Ala.-Huntsville","Jr.","P","35","108","36","0.333"
"","Kyle McNiff","American Int'l","Sr.","OF","36","120","40","0.333"
"","Jasson Read","Benedict","Jr.","INF","30","78","26","0.333"
"","Dan Robinson","Dominican (NY)","Sr.","OF","39","150","50","0.333"
"","Colby Robison","Mont. St. Billings","So.","INF","39","147","49","0.333"
"","Anthony Santa","Saint Leo","Jr.","INF","43","165","55","0.333"
"","Chris Santoscoy","Fort Hays St.","So.","INF","38","120","40","0.333"
"","Michael Schmidt","North Ala.","Jr.","INF","44","159","53","0.333"
"","Brad Shankle","Southeastern Okla.","Jr.","C","42","126","42","0.333"
"","Harry Turney","Oakland City","Sr.","OF","29","105","35","0.333"
"","Joe Vaskas","Emporia St.","Jr.","INF","43","138","46","0.333"
"","Derek Wojcik","Winona St.","So.","INF","31","84","28","0.333"
"456","Jacob Yates","Pfeiffer","So.","INF","49","193","64","0.332"
"457","Alexi Colon","Tusculum","Jr.","OF","50","181","60","0.331"
"458","Danny Nelson","Cal St. Monterey Bay","Jr.","INF","44","166","55","0.331"
"","Drew Walker","Armstrong","Jr.","INF","48","166","55","0.331"
"460","Mark Sanborn","Mass.-Lowell","Jr.","1B","40","160","53","0.331"
"461","Dan Hennigan","Franklin Pierce","Jr.","2B","43","154","51","0.331"
"462","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","151","50","0.331"
"463","Trey Horn","West Tex. A&M","Sr.","INF","42","148","49","0.331"
"","Clay Mohr","N.M. Highlands","Jr.","OF","44","148","49","0.331"
"465","Antonio Clark","Valdosta St.","Sr.","OF","42","142","47","0.331"
"","Jason Veyna","Colorado St.-Pueblo","Sr.","2B","45","142","47","0.331"
"467","Landon Sullins","Arkansas Tech","Jr.","C","40","139","46","0.331"
"468","Josh Hinkle","Florida Tech","Jr.","OF","42","136","45","0.331"
"469","Brian Patrick","Lincoln (MO)","Sr.","3B","41","130","43","0.331"
"470","Kendal Norman","Henderson St.","Sr.","C","39","127","42","0.331"
"471","Scott Lawley","Indianapolis","Jr.","2B","40","124","41","0.331"
"472","Kyle O'Boyle","Saginaw Valley","So.","OF","39","121","40","0.331"
"","Brandon Wolfe","West Chester","Sr.","C","41","121","40","0.331"
"474","Lee Harris","Henderson St.","Sr.","INF","38","118","39","0.331"
"475","Ralph Sanchez","Concord","Fr.","INF","38","112","37","0.330"
"","Alex Schultz","Eastern N.M.","Jr.","INF","36","112","37","0.330"
"477","Joe Kornbrust","Emporia St.","Fr.","-","37","106","35","0.330"
"478","Russell Richey","Morehouse","Fr.","OF","33","100","33","0.330"
"","Michael Swayne","Kentucky St.","Fr.","C","31","100","33","0.330"
"480","Adam Lewis","Mars Hill","Sr.","C","49","197","65","0.330"
"481","John Duran","Ga. Southwestern","So.","INF","46","191","63","0.330"
"482","Anthony Sully","Lenoir-Rhyne","Sr.","1B","47","188","62","0.330"
"483","Cy Mozingo","West Va. Wesleyan","Sr.","P","29","91","30","0.330"
"484","Jonas Cueche","Oakland City","Sr.","OF","29","88","29","0.330"
"485","Michael Cross","Northern St.","Sr.","OF","31","85","28","0.329"
"","Abel Medina","Cal St. Dom. Hills","Sr.","3B","45","170","56","0.329"
"","Jake Rierson","Limestone","Jr.","P","52","170","56","0.329"
"488","Patrick Deao","Mo. Southern St.","Sr.","OF","46","167","55","0.329"
"489","Zachery Bukiewicz","West Virginia St.","Fr.","INF","31","82","27","0.329"
"","Cody Pate","Mars Hill","Jr.","INF","43","164","54","0.329"
"491","Joey Bristyan","Grand Canyon","Jr.","OF","45","161","53","0.329"
"492","Brian Hansen","St. Cloud St.","So.","OF","41","158","52","0.329"
"493","Zach Rowles","Minn. St. Mankato","Sr.","INF","41","155","51","0.329"
"494","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","152","50","0.329"
"495","Branfy Arias","Tusculum","Sr.","OF","46","149","49","0.329"
"","Michael Vinson","Delta St.","So.","DH","46","149","49","0.329"
"497","John Bolding","Erskine","Sr.","INF","51","207","68","0.329"
"498","Kevin Cantrell","Southwestern Okla.","So.","SS","39","137","45","0.328"
"499","Casey Teagarden","California (PA)","Sr.","INF","42","134","44","0.328"
"500","Seth Roy","Pitt.-Johnstown","Jr.","INF","40","128","42","0.328"
