"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"363","Micah Kellogg","Flagler","Jr.","P","17","72.3","76","9.46"
"364","Tyler Dowse","Arkansas Tech","Jr.","P","13","44.7","47","9.46"
"365","null Mendez","Southern N.H.","Fr.","-","10","51.3","54","9.47"
"366","Cory Caruso","Cal St. San B'dino","Jr.","P","12","61.7","65","9.48"
"367","Johnny Hornbuckle","North Ala.","Jr.","P","13","68.3","72","9.49"
"368","Jonathan Grosse","Kutztown","Sr.","P","9","49.3","52","9.49"
"369","James Mahler","Dixie St.","Jr.","P","12","67.3","71","9.49"
"370","M Reef","West Liberty","Fr.","-","10","59.7","63","9.50"
"371","Darrin Tew","Lander","Sr.","P","16","40.7","43","9.51"
"372","Cam Nobles","Western Ore.","Sr.","P","10","53.0","56","9.51"
"373","Nick Baker","Cal St. Chico","Fr.","P","11","57.7","61","9.51"
"374","Jimmy Johnson","Southeastern Okla.","Sr.","C","13","63.3","67","9.53"
"375","Logan Thomas","Palm Beach Atl.","Jr.","P","13","79.3","84","9.53"
"376","Dan Bradley","Assumption","So.","INF","15","45.3","48","9.54"
"377","Matthew Metz","Molloy","So.","P","10","61.3","65","9.54"
"378","Ryan Frevret","Ala.-Huntsville","Sr.","P","11","66.0","70","9.55"
"379","Brent Queen","Hawaii Pacific","So.","P","10","65.0","69","9.55"
"380","Corey Witkowski","Barry","Jr.","P","13","97.0","103","9.56"
"381","Tom Helwich","Lewis","Fr.","P","7","43.3","46","9.56"
"382","Tyler Stephenson","Mars Hill","Sr.","P","19","59.3","63","9.56"
"383","Ryan Fenwick","Fairmont St.","---","P","9","41.3","44","9.59"
"384","Greg Johnson","Albany St. (GA)","So.","P","16","80.7","86","9.59"
"385","Randall Thompson","Florida Tech","Sr.","P","13","85.3","91","9.60"
"386","Matt Long","Coker","Sr.","P","16","40.3","43","9.60"
"387","Ryan Salt","Tarleton St.","Sr.","P","19","54.3","58","9.61"
"388","Anthony O'Brien","Chowan","Sr.","P","11","44.0","47","9.61"
"389","Andy Lewton","Fort Hays St.","Sr.","P","11","68.3","73","9.62"
"390","Fabian Lopez","Upper Iowa","So.","P","7","47.7","51","9.62"
"391","Dan McKinney","Southeastern Okla.","Jr.","P","11","53.3","57","9.62"
"392","Joe Green","Assumption","Sr.","P","8","57.0","61","9.63"
"393","Kyle Teague","Valdosta St.","Jr.","P","9","46.7","50","9.64"
"394","Edgar Vela","N.M. Highlands","Jr.","P","11","42.0","45","9.64"
"395","Ryan Fillers","Carson-Newman","So.","P","25","50.3","54","9.66"
"396","Taylor Bratton","West Ala.","Fr.","P","14","54.0","58","9.67"
"397","Joe Candelmo","Mansfield","So.","P","9","57.7","62","9.67"
"398","Eric Vaughan","Ashland","Jr.","P","10","53.0","57","9.68"
"399","Patrick Brown","Molloy","So.","P","12","43.7","47","9.68"
"400","Kenny Brengle","Northwest Mo. St.","Sr.","P","12","56.7","61","9.68"
"401","Darrion Stubbs","Tuskegee","So.","1B","15","61.3","66","9.69"
"402","Steven Godowski","Bloomfield","Sr.","P","15","52.0","56","9.69"
"403","Tj Estes","Anderson (SC)","So.","P","11","77.0","83","9.70"
"404","Ryan Hintze","Pittsburg St.","Sr.","P","10","54.7","59","9.71"
"405","Donnie Smith","Tiffin","Sr.","P","12","66.7","72","9.72"
"406","Nick Vautrin","Bridgeport","Jr.","P","9","50.0","54","9.72"
"407","Brandon Simmons","Mo. Western St.","So.","P","12","74.0","80","9.73"
"408","Sean Winslow","Northern St.","So.","P","10","45.3","49","9.74"
"409","Nathan Lewis","Tarleton St.","Sr.","P","11","56.3","61","9.75"
"410","Kevin Chenicek","C.W. Post","So.","P","7","44.3","48","9.75"
"411","Hunter Meekins","Barton","Sr.","P","14","83.0","90","9.76"
"412","Trent Landa","Armstrong","So.","P","14","71.0","77","9.76"
"413","Ryan Sander","Bemidji St.","Sr.","INF","8","43.3","47","9.77"
"414","Seth Martin","Alderson-Broaddus","Fr.","P","16","45.0","49","9.80"
"415","Nathan Eller","Henderson St.","So.","P","11","75.3","82","9.80"
"416","J.T. Brodrick","Northwest Nazarene","Sr.","P","12","78.0","85","9.81"
"417","Sean Stimpfel","Bloomfield","Sr.","P","10","58.7","64","9.81"
"418","Kyle Norville","Barton","So.","P","16","77.0","84","9.82"
"419","Tyler Kincaid","Fairmont St.","So.","P","12","51.3","56","9.82"
"420","Kevin Holdsworth","West Va. Wesleyan","Sr.","P","9","54.0","59","9.83"
"421","Jeffrey Bohus","Philadelphia U.","So.","INF","9","53.0","58","9.85"
"","Deryk Marks","Augustana (SD)","Sr.","INF","10","53.0","58","9.85"
"423","Brandon Hardin","Delta St.","Jr.","P","12","63.0","69","9.86"
"424","Brian Hutchings","Mont. St. Billings","Jr.","P","10","59.3","65","9.87"
"425","Mark Heard","Northwood (MI)","Jr.","P","9","51.0","56","9.88"
"426","Colter Millican","West Ala.","Jr.","P","13","50.0","55","9.90"
"427","Jason Gardner","Tusculum","Sr.","P","13","59.7","66","9.95"
"428","Neil Hesek","St. Anselm","Jr.","P","12","58.7","65","9.97"
"429","Bryant Rutledge","Angelo St.","Jr.","P","11","65.0","72","9.97"
"430","Alex McCormick","Stonehill","So.","P","9","55.0","61","9.98"
"431","Aaron Brandt","Saint Leo","Jr.","P","13","73.0","81","9.99"
"432","Alex Britt","Carson-Newman","Jr.","P","13","63.0","70","10.00"
"","David Fair","Cal St. Dom. Hills","Sr.","P","14","54.0","60","10.00"
"","Michael Greene","Hawaii Pacific","Sr.","P","11","72.0","80","10.00"
"","Cody Hatman","Arkansas Tech","Jr.","P","11","42.3","47","10.00"
"","Johnny Lancaster","Eckerd","Jr.","P","14","42.3","47","10.00"
"","Robby Thigpen","Carson-Newman","Jr.","P","13","72.0","80","10.00"
"438","Mike Dedrick","Dixie St.","So.","P","12","73.7","82","10.01"
"439","Drew Shaulis","Pitt.-Johnstown","Sr.","OF","10","62.0","69","10.02"
"440","Andrew Wallace","North Ga.","Sr.","P","13","55.7","62","10.02"
"441","Hunter Conkle","Ohio Valley","Fr.","P","13","46.7","52","10.02"
"442","Shane Youngdale","Cal St. Dom. Hills","Sr.","P","12","82.3","92","10.06"
"443","Zach Cleveland","Metro St.","Sr.","P","9","48.3","54","10.06"
"444","Jordan Stern","Central Okla.","Sr.","P","12","78.7","88","10.06"
"445","Eddie Sipple","Fla. Southern","Sr.","P","14","59.0","66","10.07"
"446","Nik Jurado","Mo. Western St.","Jr.","P","14","56.3","63","10.07"
"447","Jason Beaumont","Lynn","Jr.","P","13","77.7","87","10.08"
"448","Jake Gibson","Urbana","Fr.","P","11","43.7","49","10.09"
"449","Chris Douglas","Indiana (PA)","Jr.","P","12","51.7","58","10.10"
"450","Christian Wonders","Palm Beach Atl.","Fr.","P","14","49.0","55","10.10"
"451","Joby Lapkowicz","Slippery Rock","So.","P","10","46.3","52","10.11"
"452","Tim Ponn","Charleston (WV)","Jr.","P","10","62.3","70","10.11"
"453","David Wydeven","Grand Canyon","Jr.","P","12","70.3","79","10.11"
"454","Jay Flaa","Mary","Fr.","P","8","40.0","45","10.13"
"","Trey Stastny","Colo. Christian","Sr.","P","12","72.0","81","10.13"
"","Jordan Wellander","Barry","Jr.","P","16","48.0","54","10.13"
"457","Brandon Rohde","Central Wash.","Jr.","P","12","73.7","83","10.14"
"458","Ste Hamilton","St. Augustine's","Fr.","-","10","44.3","50","10.16"
"459","Zach McAllister","Erskine","Fr.","P","11","56.7","64","10.16"
"460","Palmer Brown","Central Wash.","Sr.","P","16","48.7","55","10.16"
"461","Walker McKinven","Georgia College","Jr.","P","18","40.7","46","10.17"
"","Michael Patton","North Ga.","Sr.","P","14","40.7","46","10.17"
"463","Joe Jungmeyer","Lincoln (MO)","Fr.","P","10","51.3","58","10.18"
"464","Adam Radick","Mo.-St. Louis","Jr.","P","10","55.7","63","10.18"
"465","Andy Fennell","Lincoln Memorial","Jr.","P","13","76.0","86","10.18"
"466","Wes Coberly","North Ga.","Fr.","P","12","58.3","66","10.19"
"467","Alex Schell","Pittsburg St.","Sr.","P","10","62.7","71","10.19"
"468","Mike McElreath","Regis (CO)","Jr.","P","10","50.3","57","10.20"
"469","Tyler Vails","Stillman","Fr.","P","13","60.0","68","10.20"
"470","Mike Guinane","Georgia College","So.","P","14","84.7","96","10.20"
"471","Lee Paine","Christian Bros.","Sr.","P","12","54.7","62","10.20"
"472","Mike Rossetti","Bloomsburg","Sr.","P","11","52.0","59","10.21"
"473","Matt Crisp","Limestone","Jr.","P","13","59.0","67","10.22"
"474","Casey Yokubaitis","Cal Poly Pomona","Sr.","P","13","49.3","56","10.22"
"475","James Conlee","Angelo St.","So.","P","28","53.7","61","10.22"
"476","Tyler Rumsey","Lock Haven","Sr.","P","10","51.0","58","10.24"
"477","Isaac Hicks","Nova Southeastern","Sr.","P","13","67.7","77","10.24"
"","Jeff Rohrbach","St. Edward's","Jr.","P","11","67.7","77","10.24"
"479","Erick Ruvalcaba","Cal Poly Pomona","So.","P","11","65.0","74","10.25"
"480","Eric Rosenberger","Mansfield","Sr.","P","9","50.0","57","10.26"
"481","Nate O'Bryan","Saint Martin's","Fr.","-","15","44.7","51","10.27"
"482","Blake Bagshaw","Northern Ky.","So.","P","11","51.7","59","10.27"
"483","Andy Fagely","Concordia-St. Paul","So.","P","7","47.3","54","10.27"
"484","Jody Sellars","Ga. Southwestern","Sr.","P","11","54.3","62","10.28"
"485","Landon Patterson","St. Edward's","Sr.","P","14","68.3","78","10.28"
"486","Josh Barmoy","Chowan","Fr.","P","14","42.0","48","10.29"
"487","Neil J. Croft","Washington Adventist","Jr.","P","9","55.0","63","10.31"
"","Josh Schultze","Southern Ind.","Jr.","P","10","55.0","63","10.31"
"","Sean Wardour","Cal St. Dom. Hills","So.","P","12","55.0","63","10.31"
"490","Evan Brown","Newberry","So.","P","12","42.7","49","10.33"
"","Mike Howard","Rollins","Jr.","P","13","61.0","70","10.33"
"","B.J. Sieverding","St. Joseph's (IN)","Jr.","P","19","42.7","49","10.33"
"493","Lee Stoppelman","Central Mo.","Fr.","-","11","54.0","62","10.33"
"494","David Geiger","Fort Hays St.","Sr.","P","12","58.3","67","10.34"
"495","Todd Stachura","Neb.-Kearney","Sr.","P","11","75.7","87","10.34"
"496","Rich Ruff","Quincy","Sr.","P","9","48.7","56","10.35"
"497","Jacob Crose","Cal St. Monterey Bay","So.","P","11","61.7","71","10.36"
"498","T.J. Harbuck","Palm Beach Atl.","So.","P","11","53.0","61","10.36"
"499","Roy Metter","Neb.-Kearney","Sr.","P","12","57.3","66","10.37"
"500","Kevin Rogers","Valdosta St.","Jr.","P","15","60.7","70","10.38"
