"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"","Chris Lashmet","Northwestern","Sr.","INF","39","151","18","8.4"
"","River McWilliams","Buffalo","Jr.","INF","38","151","18","8.4"
"","Johnny Morales","Virginia Tech","Jr.","INF","46","151","18","8.4"
"391","Joe Jackson","Citadel","Fr.","C","41","134","16","8.4"
"392","Grant Buckner","West Virginia","Sr.","SS","43","159","19","8.4"
"","Matt Carvutto","Pacific","Sr.","P","39","159","19","8.4"
"","Ryan McIntyre","CSU Bakersfield","Jr.","OF","40","159","19","8.4"
"395","Brian Humphries","Pepperdine","Jr.","OF","38","142","17","8.4"
"","Shawn Sizemore","Old Dominion","So.","P","39","142","17","8.4"
"397","Adam Gliebe","Winthrop","Sr.","SS","45","167","20","8.4"
"398","David Chester","Pittsburgh","Sr.","1B","41","150","18","8.3"
"","Ryan Barnes","Oregon St.","So.","C","34","100","12","8.3"
"400","Kerry Doane","East Tenn. St.","So.","INF","41","158","19","8.3"
"401","Johnny Field","Arizona","Fr.","INF","39","133","16","8.3"
"","Jordan Hankins","Austin Peay","Fr.","2B","40","133","16","8.3"
"403","Adrian Perez","Temple","Sr.","SS","41","191","23","8.3"
"404","Christian Walker","South Carolina","So.","INF","43","166","20","8.3"
"405","Justin McDavid","West Virginia","Sr.","INF","43","174","21","8.3"
"406","Matt Reistetter","Hofstra","Fr.","C","28","91","11","8.3"
"407","Steven Proscia","Virginia","Jr.","INF","47","198","24","8.3"
"","Tyler Hannah","Troy","Jr.","INF","44","165","20","8.3"
"","Chris Manning","Valparaiso","Fr.","OF","43","165","20","8.3"
"","Jon Schwind","Marist","Jr.","3B","42","165","20","8.3"
"","Brandon Hairston","Norfolk St.","Sr.","1B","40","132","16","8.3"
"412","Billy Burns","Mercer","Jr.","OF","45","173","21","8.2"
"","M.P. Cokinos","Houston","So.","C","43","173","21","8.2"
"414","Ino Patron","Long Beach St.","Fr.","OF","40","140","17","8.2"
"415","Zach Granite","Seton Hall","Fr.","OF","41","164","20","8.2"
"","Jeremy Lucas","Indiana St.","So.","C","32","123","15","8.2"
"","Will Remillard","Temple","Fr.","C","33","123","15","8.2"
"","James Rodriguez","Prairie View","Jr.","C","38","123","15","8.2"
"419","Kyle Farmer","Georgia","So.","INF","45","172","21","8.2"
"420","Dylan DelaCruz","Central Conn. St.","Fr.","INF","39","139","17","8.2"
"","Danny Muno","Fresno St.","Sr.","INF","38","139","17","8.2"
"422","Grant Fillipitch","Butler","Sr.","INF","38","147","18","8.2"
"","Mj Schifano","Sacred Heart","Sr.","INF","43","147","18","8.2"
"424","Jeff McNeil","Long Beach St.","Fr.","INF","38","106","13","8.2"
"","T.J. Sutton","Kent St.","Fr.","OF","35","106","13","8.2"
"426","David Lyon","Kent St.","Jr.","C","42","163","20","8.2"
"","Jeff Reynolds","Harvard","Jr.","C","45","163","20","8.2"
"","Rich Witten","Coastal Caro.","Jr.","1B","44","163","20","8.2"
"429","Braden Kapteyn","Kentucky","Jr.","INF","45","171","21","8.1"
"","Logan Kirkland","South Ala.","Fr.","2B","42","171","21","8.1"
"","Andrew Phelan","South Dakota St.","Jr.","OF","33","114","14","8.1"
"432","Ryan Furbeck","Fairfield","Jr.","OF","34","122","15","8.1"
"","Jake Williams","South Carolina","Jr.","OF","36","122","15","8.1"
"434","Guiseppe Papaccio","Seton Hall","So.","INF","37","130","16","8.1"
"435","Jeff Schaffert","Centenary (LA)","Jr.","C","41","138","17","8.1"
"436","Rob Kral","Col. of Charleston","Jr.","C","45","154","19","8.1"
"437","Byron McKoy","Temple","Sr.","OF","41","178","22","8.1"
"438","Pi‘ikea Kitamura","Hawaii","So.","INF","42","137","17","8.1"
"439","J.J. Altobelli","Oregon","So.","INF","41","145","18","8.1"
"440","Daniel Pigott","Florida","Jr.","OF","44","161","20","8.1"
"","Andrew Toles","Tennessee","Fr.","OF","40","161","20","8.1"
"","Wes Wilson","Indiana","Sr.","C","42","161","20","8.1"
"443","Michael Faulkner","Arkansas St.","So.","OF","44","169","21","8.0"
"444","John Rooney","Siena","Fr.","OF","44","176","22","8.0"
"","Chad Comer","Texas-Arlington","Sr.","C","44","168","21","8.0"
"","Robert Griffith","Sacred Heart","Jr.","1B","43","160","20","8.0"
"","Alex Guerra","Radford","Sr.","INF","43","160","20","8.0"
"","Chris Joyce","Norfolk St.","Sr.","3B","41","160","20","8.0"
"","Zach Maggio","Arkansas St.","So.","INF","39","128","16","8.0"
"","David Leon","Youngstown St.","Jr.","INF","33","120","15","8.0"
"","Austin Wynns","Fresno St.","So.","C","38","120","15","8.0"
"","Austin Barnes","Arizona St.","Jr.","C","31","112","14","8.0"
"453","Jordan Steranka","Penn St.","Jr.","3B","41","167","21","8.0"
"454","Peter Mooney","South Carolina","Fr.","-","43","159","20","8.0"
"455","Alex Baldock","Buffalo","So.","INF","38","143","18","7.9"
"","Marc Schoch","La Salle","Jr.","C","39","143","18","7.9"
"457","Daniel Cepin","UC Davis","Sr.","OF","33","111","14","7.9"
"458","Stephen Hagen","Texas Tech","Jr.","INF","47","174","22","7.9"
"","Jantzen Witte","TCU","So.","INF","44","174","22","7.9"
"460","Ben Burgess","Tennessee Tech","Jr.","C","41","158","20","7.9"
"","Austin Cowen","Western Ill.","Jr.","INF","44","158","20","7.9"
"","Mark Paytono","Texas","Fr.","OF","41","158","20","7.9"
"463","Jon Edgington","Miami (OH)","Sr.","INF","44","142","18","7.9"
"464","Todd McRae","Troy","Sr.","C","42","126","16","7.9"
"465","Rafael Perez","Prairie View","Sr.","OF","39","118","15","7.9"
"466","Jake Hibberd","Wright St.","Jr.","INF","40","173","22","7.9"
"467","Les Aulds","La.-Monroe","Jr.","INF","41","149","19","7.8"
"","Joe Iacobucci","Youngstown St.","Sr.","OF","41","149","19","7.8"
"469","Joey Hainsfurther","Baylor","Jr.","C","41","141","18","7.8"
"","Jeramie Marek","A&M-Corpus Christi","Jr.","INF","45","141","18","7.8"
"471","Drew Martinez","Memphis","Jr.","OF","44","180","23","7.8"
"","Dave Milanes","Navy","So.","C","48","180","23","7.8"
"473","Patrick Biondi","Michigan","So.","OF","41","164","21","7.8"
"","Brian Hernandez","UC Irvine","Sr.","INF","40","164","21","7.8"
"475","Ryan Lee","Fordham","So.","OF","39","156","20","7.8"
"","Thomas Pope","UNC Wilmington","Jr.","OF","44","156","20","7.8"
"","Jeff Simpson","Stetson","Sr.","OF","42","156","20","7.8"
"","Aaron Thompkins","Furman","Sr.","1B","42","156","20","7.8"
"479","David Herbek","James Madison","Sr.","SS","45","179","23","7.8"
"","Matt Igara","Western Ill.","Jr.","OF","44","179","23","7.8"
"","Bryson Myles","Stephen F. Austin","Jr.","OF","43","179","23","7.8"
"482","Chaz Frank","North Carolina","So.","OF","41","140","18","7.8"
"","James McCann","Arkansas","Jr.","C","41","140","18","7.8"
"","Derek Richards","Coppin St.","Sr.","C","39","140","18","7.8"
"485","Alex Yarbrough","Ole Miss","So.","INF","44","171","22","7.8"
"486","Alex Bechta","Lafayette","Sr.","OF","37","132","17","7.8"
"487","Spencer Theisen","Stetson","Jr.","OF","44","163","21","7.8"
"488","Seth Boyd","Wagner","Sr.","INF","42","155","20","7.8"
"","Beau Taylor","UCF","Jr.","C","43","155","20","7.8"
"","Brian Koster","Saint Peter's","Jr.","INF","37","124","16","7.8"
"491","Robert Beary","South Carolina","Sr.","OF","39","116","15","7.7"
"492","Jonathan Koscso","South Fla.","Sr.","INF","43","170","22","7.7"
"","D.J. Ream","UMBC","Fr.","INF","30","85","11","7.7"
"494","Carvell Copeland","N.C. A&T","Jr.","OF","37","139","18","7.7"
"","Tom Murphy","Buffalo","So.","C","38","139","18","7.7"
"","Mike Reeves","Fla. Gulf Coast","So.","C","42","139","18","7.7"
"497","Owen Stewart","Monmouth","Jr.","INF","41","131","17","7.7"
"498","Aaron Cieslak","Oakland","Jr.","OF","35","123","16","7.7"
"499","Dain Hall","Villanova","Sr.","OF","42","146","19","7.7"
"","Jeremy Rodriguez","CSU Bakersfield","Jr.","C","38","146","19","7.7"
