"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"363","John Shivo","American Int'l","Sr.","P","8","46.3","35","6.80"
"364","Joe McCarty","St. Andrews","Fr.","P","14","50.3","38","6.80"
"365","Jeffrey Bohus","Philadelphia U.","So.","INF","9","53.0","40","6.79"
"","Taylor Dennis","Southern Ind.","Sr.","P","13","47.7","36","6.79"
"","Kodey Simon","Winona St.","Jr.","P","8","53.0","40","6.79"
"368","Jonathan McDaniel","Pfeiffer","Sr.","P","14","61.0","46","6.79"
"369","Ryan Weatherholtz","Concord","Fr.","P","13","67.7","51","6.78"
"370","Brandon Droge","Newman","Jr.","P","13","85.0","64","6.78"
"371","Michael Carletti","Adelphi","Jr.","P","9","41.3","31","6.76"
"","Zach Lucas","Limestone","Jr.","P","26","41.3","31","6.76"
"373","Ryan Jones","Lenoir-Rhyne","Fr.","P","19","57.3","43","6.75"
"","Roy Metter","Neb.-Kearney","Sr.","P","12","57.3","43","6.75"
"375","Aaron Appino","Cal St. Monterey Bay","Jr.","P","11","56.0","42","6.75"
"","Cody Church","Lincoln Memorial","Sr.","OF","17","40.0","30","6.75"
"","Eric Haughn","Stonehill","Jr.","P","9","60.0","45","6.75"
"","Tyler Witzel","Coker","So.","P","13","84.0","63","6.75"
"379","Sean Stimpfel","Bloomfield","Sr.","P","10","58.7","44","6.75"
"380","Aaron Correa","Hawaii Hilo","Sr.","P","8","42.7","32","6.74"
"381","Brady Wager","Grand Canyon","So.","P","12","75.0","56","6.72"
"382","Jared Christensen","Colorado Mesa","Jr.","P","12","60.3","45","6.72"
"383","Stephen Batman","Fla. Southern","Sr.","P","12","59.0","44","6.71"
"384","Zach Cleveland","Metro St.","Sr.","P","9","48.3","36","6.71"
"385","Tyler Rumsey","Lock Haven","Sr.","P","10","51.0","38","6.71"
"386","Jp Ashline","Bentley","So.","P","14","47.0","35","6.70"
"","Kirk Lind","Western Ore.","Jr.","P","15","47.0","35","6.70"
"388","Jared Carroll","Lenoir-Rhyne","So.","P","21","45.7","34","6.70"
"389","Nick Anderson","Concordia-St. Paul","Sr.","P","11","41.7","31","6.69"
"","Jon Fees","Pitt.-Johnstown","Fr.","P","9","41.7","31","6.69"
"391","Chad Boughner","North Ala.","So.","P","12","70.0","52","6.69"
"392","Brian Hutchings","Mont. St. Billings","Jr.","P","10","59.3","44","6.68"
"393","Mike Nicks","Southwest Baptist","Sr.","P","11","60.7","45","6.67"
"394","Jonathan Paez","West Tex. A&M","Sr.","P","13","56.7","42","6.67"
"395","Nick Vautrin","Bridgeport","Jr.","P","9","50.0","37","6.66"
"396","Brent Noble","Ark.-Monticello","So.","P","19","47.3","35","6.66"
"397","William Calhoun","Abilene Christian","Sr.","DH","17","46.0","34","6.65"
"398","Ryan Sander","Bemidji St.","Sr.","INF","8","43.3","32","6.65"
"399","Isaac Hicks","Nova Southeastern","Sr.","P","13","67.7","50","6.65"
"400","T.J. Mullins","Barry","Jr.","P","23","42.0","31","6.64"
"401","Cody Pruett","Bluefield St.","Fr.","P","11","61.0","45","6.64"
"","Nick Umberger","Shippensburg","Jr.","P","14","61.0","45","6.64"
"403","Ken Nesbitt","Albany St. (GA)","Jr.","P","17","99.0","73","6.64"
"404","Robby Thigpen","Carson-Newman","Jr.","P","13","72.0","53","6.63"
"405","Neil Hudson","St. Joseph's (IN)","Jr.","P","11","53.0","39","6.62"
"","Cam Nobles","Western Ore.","Sr.","P","10","53.0","39","6.62"
"407","Chris Douglas","Indiana (PA)","Jr.","P","12","51.7","38","6.62"
"408","Luke Putz","Minn. St. Mankato","Sr.","P","9","49.0","36","6.61"
"409","Donnie Smith","Tiffin","Sr.","P","12","66.7","49","6.61"
"410","Jacob White","Brevard","Sr.","P","13","46.3","34","6.61"
"411","Alex Schell","Pittsburg St.","Sr.","P","10","62.7","46","6.60"
"412","Trent Bestland","Northern St.","Jr.","SS","9","43.7","32","6.59"
"413","Marc Rutledge","Dowling","Jr.","P","9","53.3","39","6.59"
"414","Steven Godowski","Bloomfield","Sr.","P","15","52.0","38","6.58"
"415","Jonathan Grosse","Kutztown","Sr.","P","9","49.3","36","6.57"
"","Michael McIver","Saint Martin's","Sr.","P","8","49.3","36","6.57"
"417","James Mahler","Dixie St.","Jr.","P","12","67.3","49","6.55"
"418","Kyle Contino","Queens (NY)","Jr.","P","9","52.3","38","6.54"
"419","Clifford Peterson","Albany St. (GA)","Fr.","P","15","84.0","61","6.54"
"420","Andrew Guest","Erskine","Sr.","P","15","62.0","45","6.53"
"421","Manuel Gasper","Clark Atlanta","Fr.","P","8","40.0","29","6.53"
"","Matt Mege","Newberry","Sr.","P","16","40.0","29","6.53"
"423","Grady Wood","Western Ore.","Jr.","P","11","77.3","56","6.52"
"424","Zach McAllister","Erskine","Fr.","P","11","56.7","41","6.51"
"425","Corey Davidson","Cameron","Sr.","P","14","50.0","36","6.48"
"426","Kory Wallace","Cal St. Stanislaus","Sr.","P","9","40.3","29","6.48"
"427","Jake Brandenberger","Flagler","Fr.","P","15","55.7","40","6.46"
"428","Andy Lewton","Fort Hays St.","Sr.","P","11","68.3","49","6.46"
"429","Scott Shipman","Augusta St.","So.","P","12","81.0","58","6.44"
"430","Matt Curtis","Central Mo.","Sr.","P","11","56.0","40","6.43"
"431","Andrew Stueve","Cal St. Stanislaus","Sr.","P","11","81.3","58","6.42"
"432","Chris Base","Armstrong","Jr.","P","13","99.7","71","6.41"
"433","Ryan Frevret","Ala.-Huntsville","Sr.","P","11","66.0","47","6.41"
"434","Mike Rossetti","Bloomsburg","Sr.","P","11","52.0","37","6.40"
"435","Joey Juarez","Colorado St.-Pueblo","Jr.","P","13","45.0","32","6.40"
"436","Nathan Humpal","Tex. A&M-Kingsville","Fr.","P","17","43.7","31","6.38"
"437","Johnny Lancaster","Eckerd","Jr.","P","14","42.3","30","6.38"
"438","Danny Parker","Arkansas Tech","Fr.","P","11","55.0","39","6.38"
"","Sean Wardour","Cal St. Dom. Hills","So.","P","12","55.0","39","6.38"
"440","Pat Lahey","Lewis","Jr.","OF","9","52.3","37","6.37"
"441","Frank Flynn","Assumption","Jr.","1B","9","46.7","33","6.36"
"442","Sean Winslow","Northern St.","So.","P","10","45.3","32","6.36"
"","Caleb Zang","Quincy","Sr.","P","8","45.3","32","6.36"
"444","J. Harvey","Shaw","Fr.","-","9","51.0","36","6.35"
"445","Ryan O'Shea","Cal St. Chico","Fr.","P","12","55.3","39","6.35"
"446","Mike Howard","Rollins","Jr.","P","13","61.0","43","6.34"
"447","Logan Birr","St. Cloud St.","Jr.","P","10","49.7","35","6.34"
"448","Wally Goodline","Cal St. L.A.","Sr.","P","12","75.3","53","6.33"
"449","Jason Gardner","Tusculum","Sr.","P","13","59.7","42","6.33"
"450","Austin Bridgewater","Carson-Newman","Sr.","P","15","85.3","60","6.33"
"451","Zack Gronek","Missouri S&T","Jr.","P","11","64.0","45","6.33"
"452","Landon Patterson","St. Edward's","Sr.","P","14","68.3","48","6.33"
"453","Joe Green","Assumption","Sr.","P","8","57.0","40","6.32"
"454","Cameron Cecil","Elizabeth City St.","Fr.","P","15","71.3","50","6.31"
"455","Derek Beasley","S.C. Aiken","Fr.","P","14","55.7","39","6.30"
"456","Clint Seefeldt","Indianapolis","So.","OF","9","47.3","33","6.28"
"457","Michael McGillivray","Tex. A&M Int'l","Sr.","P","17","76.0","53","6.28"
"458","Cory Caruso","Cal St. San B'dino","Jr.","P","12","61.7","43","6.27"
"459","Jeffery Jones","Miles","Jr.","P","9","56.0","39","6.27"
"460","Tom Bush","Shippensburg","So.","P","12","51.7","36","6.27"
"","Josh Kehr","Davis & Elkins","So.","P","10","51.7","36","6.27"
"462","Derek Kline","Millersville","Sr.","1B","9","46.0","32","6.26"
"463","Chris Rabe","Bluefield St.","Jr.","P","13","64.7","45","6.26"
"464","Garrett Yount","Rollins","Jr.","P","14","53.3","37","6.25"
"465","Zach Sneed","Abilene Christian","Sr.","P","21","59.3","41","6.22"
"466","Jason Cochcroft","S.C. Aiken","Sr.","C","14","68.0","47","6.22"
"467","Mike Loseke","Neb.-Kearney","Jr.","P","14","46.3","32","6.22"
"468","Ethan Marsh","Pfeiffer","Sr.","OF","24","65.3","45","6.20"
"469","Christian Hicks","Lenoir-Rhyne","So.","P","14","69.7","48","6.20"
"470","Hunter Meekins","Barton","Sr.","P","14","83.0","57","6.18"
"471","Josh White","Limestone","Jr.","P","18","51.0","35","6.18"
"472","Dan Bradley","Assumption","So.","INF","15","45.3","31","6.16"
"473","Erick Sanderson","Anderson (SC)","So.","P","11","57.0","39","6.16"
"474","Greg Smith","Mars Hill","Sr.","P","11","68.7","47","6.16"
"475","Zachary Smith","Mont. St. Billings","Jr.","INF","9","48.3","33","6.15"
"476","Zack Whitman","Ga. Southwestern","Sr.","P","13","70.3","48","6.15"
"477","Jeffrey Stoner","Francis Marion","Fr.","P","12","63.0","43","6.14"
"478","Josh Foreman","Minn. Duluth","Sr.","P","11","47.0","32","6.13"
"479","Trey Stastny","Colo. Christian","Sr.","P","12","72.0","49","6.13"
"480","Sadarius Lewis","Elizabeth City St.","Sr.","P","15","64.7","44","6.12"
"481","J.T. Brodrick","Northwest Nazarene","Sr.","P","12","78.0","53","6.12"
"482","Trevor Leach","Southern Ind.","Sr.","P","12","95.7","65","6.11"
"483","Brandon Padgett","Lenoir-Rhyne","Sr.","P","15","59.0","40","6.10"
"484","Steven Corbett","Post","Jr.","P","10","62.0","42","6.10"
"485","Brent Queen","Hawaii Pacific","So.","P","10","65.0","44","6.09"
"486","Nick Baker","Cal St. Chico","Fr.","P","11","57.7","39","6.08"
"487","Brandon Simmons","Mo. Western St.","So.","P","12","74.0","50","6.08"
"488","Avery McAlpine","Paine","Jr.","P","13","60.7","41","6.08"
"489","J.J. Bessell","Dowling","Fr.","P","9","40.0","27","6.08"
"490","John Hanna","American Int'l","Jr.","P","10","59.3","40","6.07"
"","Tyler Stephenson","Mars Hill","Sr.","P","19","59.3","40","6.07"
"492","Matt Parish","Belmont Abbey","Jr.","P","11","46.0","31","6.07"
"493","Casey Cooperman","Bloomsburg","Fr.","P","10","55.0","37","6.05"
"494","null Ferenti","Saint Rose","Fr.","-","7","41.7","28","6.04"
"495","Vinny Voorhees","Bloomsburg","Jr.","P","10","56.7","38","6.03"
"496","Julius Storey","Urbana","Jr.","P","11","46.3","31","6.03"
"497","R. Maddox","Shaw","Fr.","-","12","69.0","46","6.00"
"","Alex Naggy","Pitt.-Johnstown","Jr.","P","14","45.0","30","6.00"
"499","Austin Johnson","Lincoln Memorial","So.","P","11","70.7","47","5.98"
"500","Josh Branstetter","Delta St.","So.","P","10","67.7","45","5.98"
