"Rank","Name","Team","Cl","Pos","G","BB"
"","Corey Thompson","East Carolina","Jr.","INF","42","21"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","21"
"","Brett Tiagwad","Saint Joseph's","Jr.","OF","34","21"
"","Matt Watson","Boston College","So.","C","28","21"
"","Troy White","Northern Ill.","Jr.","INF","41","21"
"","Ryan Wright","Louisville","Jr.","SS","43","21"
"","Chad Wright","Kentucky","Jr.","OF","45","21"
"","Shane Zimmer","Canisius","Fr.","OF","38","21"
"481","Spencer Barnett","Oral Roberts","Jr.","INF","35","20"
"","Austin Barrett","Mercer","So.","C","40","20"
"","Nick Becker","Saint Louis","Fr.","-","42","20"
"","T.J. Berge","Northern Colo.","Sr.","INF","42","20"
"","Ryan Bernal","BYU","Sr.","1B","37","20"
"","Alex Black","Coppin St.","Sr.","C","40","20"
"","Bryan Bleakley","NJIT","Jr.","C","40","20"
"","Torsten Boss","Michigan St.","So.","INF","40","20"
"","Brandon Boudreaux","Tulane","So.","OF","36","20"
"","Seth Boyd","Wagner","Sr.","INF","42","20"
"","Jackie Bradley","South Carolina","Jr.","OF","37","20"
"","Ryan Brenner","Miami (OH)","Jr.","OF","36","20"
"","Connor Brown","James Madison","Fr.","INF","36","20"
"","Jonathan Castine","Dayton","Sr.","1B","41","20"
"","Brock Chaffin","Missouri St.","Jr.","DH","39","20"
"","J.T. Chargois","Rice","So.","P","44","20"
"","Nick Ciardiello","Holy Cross","Sr.","OF","48","20"
"","Chris Cook","George Mason","So.","INF","43","20"
"","Austin Cowen","Western Ill.","Jr.","INF","44","20"
"","Joey DeBernardis","Penn St.","Jr.","1B","41","20"
"","Brian Delucia","Ohio St.","Sr.","OF","37","20"
"","Carmine Devito","Fairfield","Sr.","DH","36","20"
"","Zack Dickson","Central Ark.","Sr.","INF","39","20"
"","Mac Doyle","Wofford","Jr.","C","44","20"
"","Jeff Dunlap","Northeastern","Sr.","OF","37","20"
"","Rob Elliott","Bradley","Jr.","INF","42","20"
"","Lucas Fortino","Ark.-Pine Bluff","So.","C","30","20"
"","Niko Fraser","Elon","So.","OF","41","20"
"","Jumpy Garcia","A&M-Corpus Christi","Jr.","C","33","20"
"","Drew Gehringer","UNC Greensboro","Sr.","OF","42","20"
"","D.J. Gentile","Cal Poly","Sr.","OF","37","20"
"","John Gianis","North Carolina St.","Jr.","OF","44","20"
"","Seth Granger","McNeese St.","Jr.","OF","45","20"
"","Brock Hebert","Southeastern La.","So.","INF","45","20"
"","Ross Heffley","Western Caro.","Jr.","OF","40","20"
"","Jerry Hildredth","Mississippi Val.","Sr.","3B","46","20"
"","Jeff Holm","Michigan St.","Sr.","1B","40","20"
"","Alex Hudak","Fla. Atlantic","Jr.","OF","43","20"
"","Mark Jones","Stetson","Jr.","INF","42","20"
"","Steven Keller","Cal St. Northridge","Jr.","C","41","20"
"","Ryan Kinsella","Elon","Fr.","C","42","20"
"","Brian Knuckles","Grambling","Jr.","OF","39","20"
"","Zack Leonard","Eastern Mich.","Sr.","INF","43","20"
"","Dj Leonard","Bethune-Cookman","Sr.","OF","47","20"
"","Brian Martin","Pacific","Sr.","1B","39","20"
"","Bobby Martin","UNC Greensboro","Jr.","OF","41","20"
"","Brian Martin","Bradley","Sr.","OF","42","20"
"","Jimmy Martinez","Western Mich.","So.","INF","30","20"
"","Harold Martinez","Miami (FL)","Jr.","3B","43","20"
"","Jake Matuszak","Central Conn. St.","Jr.","OF","39","20"
"","Tyler McCarthy","George Washington","So.","OF","42","20"
"","Barry McDonley","Ark.-Pine Bluff","Sr.","C","42","20"
"","Martin Medina","CSU Bakersfield","Jr.","INF","40","20"
"","Luis Mena","Md.-East. Shore","Sr.","C","43","20"
"","Dave Milanes","Navy","So.","C","48","20"
"","Will Miller","Furman","Jr.","OF","46","20"
"","Kylie Ming","Mississippi Val.","Sr.","C","45","20"
"","Brad Moss","Samford","Jr.","C","41","20"
"","Anthony Muccio","Iona","So.","OF","37","20"
"","Peter O'Brien","Bethune-Cookman","Jr.","C","48","20"
"","Matthew Oglesby","Savannah St.","Jr.","INF","47","20"
"","Lee Orr","McNeese St.","Jr.","INF","46","20"
"","Wes Patterson","UT Martin","Sr.","1B","41","20"
"","Jerome Pena","TCU","Sr.","INF","43","20"
"","Stephen Perez","Miami (FL)","So.","SS","34","20"
"","Taylor Perkins","VCU","Jr.","C","39","20"
"","Sam Picchiotti","Wright St.","So.","INF","37","20"
"","Erik Pollag","Fairleigh Dickinson","Sr.","-","39","20"
"","Matt Pollock","Buffalo","So.","OF","38","20"
"","Jake Proctor","Cincinnati","So.","OF","40","20"
"","Cole Rakar","Col. of Charleston","Sr.","OF","45","20"
"","Taylor Ratliff","Jacksonville","Fr.","INF","37","20"
"","Nick Rickles","Stetson","Jr.","C","44","20"
"","Devin Rivers","Tennessee Tech","Sr.","INF","40","20"
"","Jose Rodriguez","Col. of Charleston","Jr.","OF","45","20"
"","David Roney","Wofford","Jr.","C","43","20"
"","Michael Seaborn","Virginia Tech","Sr.","INF","46","20"
"","Cameron Seitzer","Oklahoma","Jr.","INF","44","20"
"","Kc Serna","Oregon","Jr.","INF","34","20"
"","Austin Sheffield","Manhattan","Sr.","INF","38","20"
"","Tant Shepherd","Texas","Sr.","1B","44","20"
"","Derek Smith","Charleston So.","Sr.","1B","42","20"
"","Matt Snyder","Ole Miss","Jr.","INF","44","20"
"","George Springer","Connecticut","Jr.","OF","45","20"
"","Brad Steinbach","St. Bonaventure","Sr.","3B","36","20"
"","Maxx Tissenbaum","Stony Brook","So.","INF","40","20"
"","Matt Tomczyk","NJIT","Sr.","INF","40","20"
"","Luke Voit","Missouri St.","So.","C","40","20"
"","Mitch Wells","Central Conn. St.","Jr.","INF","41","20"
"","Matt Wessinger","St. John's (NY)","Jr.","2B","39","20"
"","Dylan Wheeler","Navy","So.","INF","47","20"
"","Clark Wise","Wofford","So.","OF","39","20"
"","Tanner Witt","Kansas St.","So.","INF","41","20"
"","Jantzen Witte","TCU","So.","INF","44","20"
"","Kyle Wren","Georgia Tech","Fr.","OF","45","20"
"","Mike Zunino","Florida","So.","C","44","20"
"","Tyler Zupcic","Appalachian St.","So.","OF","41","20"
