"Rank","Name","Team","Cl","Pos","G","RBI"
"","Greg Bachman","Austin Peay","Sr.","INF","41","29"
"","Mickey Brodsky","Cornell","Sr.","P","40","29"
"","Jason Brooks","Dartmouth","Sr.","1B","36","29"
"","Jaycob Brugman","BYU","Fr.","OF","35","29"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","29"
"","Andrew Ciencin","North Carolina St.","Jr.","INF","44","29"
"","Scott Coleman","Gardner-Webb","Fr.","-","40","29"
"","Corey Davis","Wright St.","Jr.","C","38","29"
"","Joey DeBernardis","Penn St.","Jr.","1B","41","29"
"","Joey DeMichele","Arizona St.","So.","INF","32","29"
"","Cody Elliott","Ball St.","Jr.","OF","39","29"
"","Mark Ellis","Southern Miss.","Sr.","INF","42","29"
"","Reed Gragnani","Virginia","So.","INF","40","29"
"","Brandon Hairston","Norfolk St.","Sr.","1B","40","29"
"","Danny Hayes","Oregon St.","So.","INF","39","29"
"","Ryan Holland","Maryland","Jr.","INF","45","29"
"","Brad Hook","South Ala.","Jr.","1B","43","29"
"","Angel Ibanez","Tex.-Pan American","So.","INF","37","29"
"","Travis Isaak","Murray St.","Jr.","INF","40","29"
"","Travis Jankowski","Stony Brook","So.","OF","40","29"
"","Nick Johnson","Southern Ill.","So.","OF","41","29"
"","Justin Lesson","Georgetown","So.","OF","46","29"
"","Rob Lind","Georgia St.","Sr.","2B","46","29"
"","Andy Mee","Fla. Atlantic","Sr.","OF","43","29"
"","Adrian Morales","South Carolina","Sr.","INF","42","29"
"","Jonathan Murphy","Jacksonville","Jr.","OF","42","29"
"","Jon Myers","Saint Louis","Sr.","3B","42","29"
"","Tyler Naquin","Texas A&M","So.","OF","43","29"
"","Trey Nielsen","Utah","Fr.","INF","36","29"
"","Jake Overstreet","South Ala.","Sr.","3B","36","29"
"","Dane Phillips","Oklahoma St.","So.","C","43","29"
"","Kevin Plawecki","Purdue","So.","C","42","29"
"","Phil Pohl","Clemson","Jr.","C","41","29"
"","Nick Pulsonetti","Monmouth","Sr.","OF","39","29"
"","Reid Redman","Texas Tech","Jr.","INF","47","29"
"","Ryan Retz","High Point","So.","1B","44","29"
"","Jacob Rhodes","Murray St.","Jr.","C","39","29"
"","Nick Rountree","UALR","Jr.","C","38","29"
"","Jesse Sawyer","South Dakota St.","Sr.","3B","36","29"
"","Marc Schoch","La Salle","Jr.","C","39","29"
"","Cody Terry","UT Martin","Sr.","SS","41","29"
"","Brady Thomas","South Carolina","Fr.","-","39","29"
"","Patrick Wisdom","St. Mary's (CA)","So.","INF","39","29"
"","Chad Wright","Kentucky","Jr.","OF","45","29"
"","Alex Yarbrough","Ole Miss","So.","INF","44","29"
