"Rank","Name","Team","Cl","Pos","G","HR"
"","Matt Juengel","Texas A&M","Jr.","INF","43","4"
"","Mason Katz","LSU","So.","INF","40","4"
"","Mitchell Kauweloa","Southern Utah","Jr.","OF","39","4"
"","Jeff Kemp","Radford","So.","INF","38","4"
"","Brad Kimball","Bradley","Jr.","OF","38","4"
"","Nick Kime","VCU","So.","INF","33","4"
"","Mike Kindel","Kansas St.","Jr.","OF","43","4"
"","Braden Kline","Cincinnati","Jr.","C","31","4"
"","Trevor Knight","James Madison","Sr.","P","15","4"
"","Tyler Koelling","Southern Miss.","Sr.","OF","43","4"
"","Sean Lamont","Georgetown","Sr.","INF","46","4"
"","Matt Lamore","Bucknell","Jr.","OF","36","4"
"","Andrew Lawrence","Boston College","Jr.","OF","40","4"
"","Mike LeBel","Rhode Island","Jr.","INF","43","4"
"","Justin Lesson","Georgetown","So.","OF","46","4"
"","David Lyon","Kent St.","Jr.","C","42","4"
"","Ryan Maghini","Fordham","Jr.","INF","44","4"
"","Ben Magsig","Eastern Mich.","Jr.","INF","42","4"
"","Kenny Mahala","Ball St.","Fr.","1B","30","4"
"","Chris Marconcini","Duke","Fr.","1B","46","4"
"","Matt Mardesich","Portland","Sr.","INF","37","4"
"","Stephen Marino","Stony Brook","Sr.","INF","40","4"
"","Adam Martin","Western Caro.","Fr.","C","35","4"
"","Tim Martin","Connecticut","Jr.","INF","24","4"
"","Justin Martinez","Northwestern St.","Sr.","INF","34","4"
"","Blake Martz","Troy","Jr.","C","36","4"
"","Parker Mayo","Air Force","Sr.","1B","43","4"
"","Thomas McCarthy","Kentucky","Jr.","INF","45","4"
"","Grant McCoury","Elon","So.","1B","40","4"
"","Adam McFarland","Gardner-Webb","Jr.","OF","37","4"
"","Andy Mee","Fla. Atlantic","Sr.","OF","43","4"
"","Nick Melino","Nevada","Jr.","OF","39","4"
"","Sam Mende","South Fla.","Jr.","SS","43","4"
"","Daniel Merck","Gardner-Webb","Sr.","INF","42","4"
"","Brandon Meredith","San Diego St.","Jr.","1B","42","4"
"","Kevin Mihalik","Lehigh","Sr.","1B","44","4"
"","Tristan Moore","Wright St.","Jr.","OF","39","4"
"","Charlie Morgan","Wake Forest","Fr.","INF","36","4"
"","Kyle Morton","Centenary (LA)","Jr.","1B","31","4"
"","Kyle Multner","Massachusetts","Sr.","OF","37","4"
"","Robby Newman","Longwood","Jr.","OF","39","4"
"","Zach Noonan","Murray St.","Sr.","OF","39","4"
"","Stephen Oswald","George Washington","Jr.","OF","38","4"
"","Jordan Owen","UT Martin","Jr.","OF","38","4"
"","Alex Owens","Longwood","Fr.","3B","40","4"
"","Eric Oxford","Holy Cross","Sr.","1B","48","4"
"","Jensen Painter","Ohio","Fr.","-","40","4"
"","Jordan Patterson","South Ala.","Fr.","OF","43","4"
"","Jeremy Patton","FIU","Jr.","INF","43","4"
"","Taylor Perkins","VCU","Jr.","C","39","4"
"","Kyle Peterson","Eastern Mich.","Jr.","C","28","4"
"","D.J. Peterson","New Mexico","Fr.","3B","45","4"
"","Dane Phillips","Oklahoma St.","So.","C","43","4"
"","Eric Phillips","Ga. Southern","Jr.","INF","44","4"
"","Phil Pohl","Clemson","Jr.","C","41","4"
"","Drew Prichard","Troy","Jr.","OF","30","4"
"","Steven Proscia","Virginia","Jr.","INF","47","4"
"","Dusty Quattlebaum","Gardner-Webb","Jr.","INF","41","4"
"","Trey Rallis","Yale","Sr.","INF","41","4"
"","Michael Ratterree","Rice","So.","INF","44","4"
"","Travis Redmon","Morehead St.","Sr.","INF","39","4"
"","Jarryd Reid","Florida A&M","Jr.","OF","38","4"
"","Anthony Rendon","Rice","Jr.","3B","44","4"
"","Jordan Ribera","Fresno St.","Sr.","1B","38","4"
"","Gardner Richey","Samford","So.","OF","33","4"
"","Devin Rivers","Tennessee Tech","Sr.","INF","40","4"
"","Dillon Robinson","BYU","Fr.","3B","35","4"
"","Kevin Roebuck","Lamar","Jr.","OF","41","4"
"","Angel Rosa","Alcorn St.","Fr.","INF","40","4"
"","Jake Rowell","UALR","Sr.","INF","42","4"
"","Daniel Scahill","Buffalo","Jr.","OF","32","4"
"","Jarid Scarafiotti","Stephen F. Austin","Jr.","C","35","4"
"","Dan Schafferman","George Mason","Jr.","OF","38","4"
"","Cam Schiller","Oral Roberts","Jr.","INF","39","4"
"","Ryan Schlater","Bowling Green","Sr.","C","39","4"
"","Jonah Schmidt","Missouri","Sr.","OF","44","4"
"","Marc Schoch","La Salle","Jr.","C","39","4"
"","Jon Schwind","Marist","Jr.","3B","42","4"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","4"
"","Marcus Semien","California","Jr.","INF","40","4"
"","Bradley Shaban","James Madison","So.","INF","44","4"
"","Corey Shaylor","Charlotte","Sr.","INF","43","4"
"","Dan Sherwood","Toledo","Sr.","OF","36","4"
"","Blake Slattery","Southeast Mo. St.","Sr.","OF","42","4"
"","Paul Snieder","Northwestern","Jr.","INF","38","4"
"","Evan Stermer","North Florida","Jr.","1B","32","4"
"","Andrew Stumph","Texas St.","So.","C","41","4"
"","Graham Sullivan","VMI","Sr.","OF","44","4"
"","Andrew Susac","Oregon St.","So.","C","26","4"
"","Stuart Tapley","Florida St.","Sr.","3B","36","4"
"","Brady Thomas","South Carolina","Fr.","-","39","4"
"","Cal Towey","Baylor","So.","OF","42","4"
"","Matt Tracy","Ole Miss","Sr.","P","44","4"
"","Devon Travis","Florida St.","So.","2B","44","4"
"","Luke Voit","Missouri St.","So.","C","40","4"
"","Trace Voshell","Ohio","Sr.","C","36","4"
"","Will Walsh","Seton Hall","Jr.","OF","36","4"
"","Ryan Walterhouse","Indiana St.","Jr.","INF","34","4"
"","Garrett Weber","Fresno St.","Sr.","INF","38","4"
"","Adam Weisenburger","Miami (OH)","Sr.","C","39","4"
"","Zach Wentz","North Dakota St.","Jr.","1B","35","4"
"","Matt Wessinger","St. John's (NY)","Jr.","2B","39","4"
"","Trent Whitehead","East Carolina","Sr.","OF","44","4"
"","Brett Williams","North Carolina St.","Jr.","OF","45","4"
"","Bryan Willson","Central Ark.","Jr.","INF","43","4"
"","Jantzen Witte","TCU","So.","INF","44","4"
"","Chad Wright","Kentucky","Jr.","OF","45","4"
"","Stephen Yarrow","San Francisco","Sr.","INF","44","4"
