"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"356","Jarrett Arakawa","Hawaii","Fr.","P","12","62.0","28","25","3.63"
"","Scott Warwick","Fairfield","Jr.","P","10","62.0","26","25","3.63"
"358","Mike Hauschild","Dayton","Jr.","P","14","79.3","38","32","3.63"
"359","Kevin Fuqua","La Salle","Sr.","P","11","74.3","38","30","3.63"
"360","Jadd Schmeltzer","Cornell","Sr.","P","9","52.0","27","21","3.63"
"361","Phil Haig","FIU","Jr.","P","11","66.7","33","27","3.64"
"","Kyle Shaw","Toledo","Jr.","P","11","66.7","32","27","3.64"
"363","Ed Kohout","Le Moyne","Jr.","P","15","54.3","35","22","3.65"
"","Eric Luksis","Manhattan","So.","P","10","54.3","27","22","3.65"
"365","Brendan Lobban","St. John's (NY)","Jr.","P","11","61.7","28","25","3.65"
"366","Mike Caldwell","High Point","Sr.","P","10","51.7","27","21","3.66"
"367","Steven Fischback","Cal Poly","Sr.","P","10","61.3","30","25","3.67"
"368","Kyle Barraclough","St. Mary's (CA)","Jr.","P","11","76.0","39","31","3.67"
"","Luke Irvine","Northwestern St.","Sr.","P","11","76.0","36","31","3.67"
"370","Jarett Miller","UNC Greensboro","Jr.","P","20","49.0","20","20","3.67"
"371","Chris Chung","Southern Utah","Fr.","OF","11","58.7","30","24","3.68"
"372","Kyle Birdsall","Quinnipiac","Sr.","P","9","51.3","26","21","3.68"
"373","Steve Laudicina","Western Mich.","Fr.","P","10","53.7","25","22","3.69"
"374","Bryan Blough","Kennesaw St.","Sr.","P","10","61.0","38","25","3.69"
"375","Blake Huddleston","UAB","Sr.","P","14","48.7","23","20","3.70"
"376","Chris Johnson","Portland","So.","P","10","56.0","27","23","3.70"
"377","Aaron Elias","Jacksonville St.","Jr.","P","11","63.3","36","26","3.70"
"378","Jesse Meaux","UC Santa Barbara","Sr.","P","10","65.7","34","27","3.70"
"","Dan Russell","Western Ill.","Jr.","P","12","73.0","38","30","3.70"
"380","Josh Renfro","Col. of Charleston","Jr.","P","11","68.0","35","28","3.71"
"381","Daniel Desimone","FIU","Sr.","P","11","63.0","32","26","3.71"
"382","Chris Capper","BYU","So.","P","11","67.7","39","28","3.72"
"383","Matthew Kimball","Brown","Sr.","P","8","53.0","29","22","3.74"
"384","Matt Benedict","Western Caro.","Sr.","P","10","57.7","32","24","3.74"
"385","Stephen Hefler","Eastern Ky.","Sr.","P","11","67.3","36","28","3.74"
"386","Nick Johnson","Cincinnati","Sr.","P","11","60.0","26","25","3.75"
"387","Andy Berry","West Virginia","Sr.","P","11","74.3","36","31","3.76"
"","Sean Carley","Air Force","So.","P","11","74.3","38","31","3.76"
"389","Mike Augliera","Binghamton","Jr.","P","10","64.7","34","27","3.76"
"390","Vinny Nittoli","Xavier","So.","P","10","52.7","22","22","3.76"
"391","Colby Hyatt","UNC Greensboro","Sr.","P","13","67.0","36","28","3.76"
"","Justin Malone","Georgia St.","Jr.","P","11","67.0","33","28","3.76"
"393","Dominic Sgroi","La Salle","Fr.","P","17","43.0","23","18","3.77"
"394","Andrew Strenge","Cincinnati","So.","P","11","59.7","35","25","3.77"
"395","Trevor Frank","UC Riverside","So.","P","9","62.0","27","26","3.77"
"396","Josh Smith","Wichita St.","Jr.","P","11","52.3","29","22","3.79"
"397","Morgan Coombs","Ball St.","Sr.","P","10","45.0","26","19","3.80"
"398","Brent Powers","Sam Houston St.","Sr.","P","11","49.7","25","21","3.80"
"399","Cory Ramsey","Longwood","Fr.","P","9","47.3","33","20","3.81"
"","Brad Schreiber","Purdue","So.","P","8","47.3","21","20","3.81"
"401","Cody Apthorpe","Bowling Green","So.","-","13","59.0","33","25","3.81"
"","Dan Smith","Monmouth","So.","P","10","59.0","27","25","3.81"
"403","Kyle Haynes","VCU","So.","P","11","61.3","37","26","3.82"
"404","Jd Learnard","Illinois St.","So.","P","13","58.7","35","25","3.83"
"405","Corey Black","San Diego St.","So.","INF","15","49.3","27","21","3.83"
"406","Conrad Flynn","Tulane","Sr.","P","11","68.0","35","29","3.84"
"407","Steve Easter","Alcorn St.","Jr.","P","12","79.7","47","34","3.84"
"408","Colby Holmes","South Carolina","So.","P","10","46.7","22","20","3.85"
"409","Tyler Melling","Miami (OH)","Sr.","P","11","63.0","28","27","3.86"
"410","Les Williams","Northeastern","Sr.","P","10","72.3","40","31","3.86"
"411","Andrew Bever","Southern Ill.","Sr.","P","11","51.3","30","22","3.86"
"","Dakota Laufenberg","Texas Southern","Sr.","P","13","51.3","23","22","3.86"
"","Tyler Niederklein","Nebraska","So.","P","13","51.3","22","22","3.86"
"414","Damon McCormick","Valparaiso","Sr.","P","11","79.0","42","34","3.87"
"415","Troy Scribner","Sacred Heart","So.","P","11","69.7","31","30","3.87"
"416","Ian Campbell","A&M-Corpus Christi","Sr.","P","14","74.3","38","32","3.88"
"417","Jon Lucas","Wagner","Sr.","INF","10","55.7","30","24","3.88"
"418","Chris Jensen","San Diego","Jr.","P","15","67.3","38","29","3.88"
"419","Andy Hennessey","San Jose St.","Jr.","P","12","53.3","24","23","3.88"
"","Ryan Overcash","Davidson","Jr.","P","12","53.3","27","23","3.88"
"421","Brad Sorkin","Illinois St.","So.","P","8","41.7","24","18","3.88"
"422","Tom Harlan","Fresno St.","Jr.","P","13","44.0","20","19","3.89"
"423","Cole Vicars","Alcorn St.","Sr.","INF","9","46.3","33","20","3.89"
"424","Mark Peterson","Radford","Jr.","P","11","71.7","33","31","3.89"
"425","Rob Zastryzny","Missouri","Fr.","P","11","64.7","37","28","3.89"
"426","Phil Mccarthy","Old Dominion","Jr.","P","10","67.0","40","29","3.90"
"427","Jordan Pries","Stanford","Jr.","P","11","60.0","28","26","3.90"
"428","Kyle Hunter","Kansas St.","Jr.","P","11","62.3","33","27","3.90"
"429","Patrick Dolan","Charleston So.","Jr.","P","10","46.0","28","20","3.91"
"","Desmond Russell","Jackson St.","Fr.","INF","11","71.3","34","31","3.91"
"","Paul Sewald","San Diego","Jr.","P","17","46.0","25","20","3.91"
"","Matt Tomshaw","Jacksonville","Sr.","P","11","71.3","43","31","3.91"
"433","Logan Odom","Southern California","Jr.","P","11","64.3","33","28","3.92"
"434","Jason Van Skike","Indiana St.","Sr.","P","12","62.0","36","27","3.92"
"435","Bobby Lyne","Furman","Jr.","P","10","59.7","31","26","3.92"
"","Derek Varnadore","Auburn","Jr.","P","10","59.7","31","26","3.92"
"437","Michael Woytek","Wright St.","Sr.","P","10","57.3","28","25","3.93"
"438","Casey Selsor","UTSA","Jr.","P","11","68.7","41","30","3.93"
"439","Terrance Washington","Jackson St.","Sr.","P","11","61.7","28","27","3.94"
"440","Jacob Williford","Northwestern St.","So.","OF","9","45.7","28","20","3.94"
"441","Tory Doerr","Bradley","Jr.","P","10","43.3","26","19","3.95"
"442","Anthony Cafagna","Richmond","Sr.","P","12","52.3","33","23","3.96"
"443","Brandon Moore","Arkansas","Fr.","P","12","47.7","24","21","3.96"
"444","Mitchell Pitts","Texas St.","Jr.","P","13","70.3","33","31","3.97"
"445","Dennis O'Grady","Duke","Sr.","P","12","65.7","30","29","3.97"
"446","Mj Schifano","Sacred Heart","Sr.","INF","11","45.3","21","20","3.97"
"447","Andrew Waszak","Michigan St.","So.","P","10","43.0","27","19","3.98"
"448","Sean Manaea","Indiana St.","Fr.","P","11","63.3","31","28","3.98"
"","Todd Miller","Notre Dame","Sr.","P","10","63.3","37","28","3.98"
"450","Drew Granier","La.-Monroe","Sr.","P","11","67.7","31","30","3.99"
"451","Phil Klein","Youngstown St.","Sr.","P","11","65.3","39","29","4.00"
"452","Ryan Ebner","Bucknell","Jr.","P","10","58.3","31","26","4.01"
"453","Andrew Thurman","UC Irvine","Fr.","P","15","49.3","25","22","4.02"
"454","Kevin Johnson","Illinois","So.","P","11","71.7","42","32","4.02"
"455","Dan Savas","Illinois St.","Fr.","P","10","47.0","23","21","4.02"
"456","Shane Farrell","Marshall","Jr.","P","9","44.7","23","20","4.03"
"457","Eddie Butler","Radford","So.","P","11","67.0","35","30","4.03"
"","Matt Dermody","Iowa","So.","P","11","67.0","33","30","4.03"
"","Jeremy Dobbs","Austin Peay","Jr.","P","12","60.3","34","27","4.03"
"460","Justice French","Mercer","Sr.","P","11","58.0","32","26","4.03"
"461","Robert Huber","Duke","Fr.","P","13","49.0","27","22","4.04"
"462","Ryan Shook","Norfolk St.","Jr.","P","11","62.3","34","28","4.04"
"463","Matt Morgan","Purdue","Sr.","P","9","46.7","27","21","4.05"
"464","Michael Jahns","Northwestern","Jr.","P","13","40.0","26","18","4.05"
"465","Nick Leiningen","Sacred Heart","Fr.","P","11","57.7","28","26","4.06"
"","Matt Reed","South Fla.","Jr.","P","12","57.7","26","26","4.06"
"467","Matt Hiserman","San Francisco","Sr.","P","14","71.0","34","32","4.06"
"468","Brent Choban","Ohio","Jr.","P","11","73.0","40","33","4.07"
"469","Jon Gulbransen","Valparaiso","Sr.","P","12","66.3","41","30","4.07"
"470","Jimmy Hodgskin","Troy","Fr.","P","11","53.0","28","24","4.08"
"471","Elliot Glynn","Connecticut","Sr.","P","9","46.3","26","21","4.08"
"472","Kevin Kilpatrick","St. John's (NY)","Jr.","P","13","57.3","34","26","4.08"
"473","Dan Bracey","Columbia","Sr.","P","9","52.7","27","24","4.10"
"474","Drew Zizinia","Tulane","Sr.","P","14","48.3","25","22","4.10"
"475","Tom Barry","Northern Ill.","Jr.","P","10","46.0","24","21","4.11"
"","Shane McCain","Troy","So.","P","12","46.0","24","21","4.11"
"477","Brian Flynn","Wichita St.","So.","P","16","61.3","33","28","4.11"
"478","Tucker Donahue","Stetson","Jr.","P","20","54.7","28","25","4.11"
"479","Taylor Walton","UTSA","Sr.","P","12","70.0","38","32","4.11"
"480","Tyler Mizenko","Winthrop","Jr.","P","11","63.3","33","29","4.12"
"481","Jack Snodgrass","Austin Peay","Sr.","P","10","48.0","32","22","4.13"
"","Shawn Stuart","Long Beach St.","Jr.","P","12","48.0","26","22","4.13"
"","Ben Wetzler","Oregon St.","Fr.","P","12","48.0","26","22","4.13"
"484","Kyle Ziimmer","San Francisco","So.","P","14","61.0","30","28","4.13"
"485","Josh Turley","Baylor","So.","P","13","65.3","35","30","4.13"
"486","Grant Gordon","Missouri St.","So.","P","11","58.7","42","27","4.14"
"487","Karl Maas","Sacramento St.","Sr.","P","11","63.0","35","29","4.14"
"488","Jake Barrett","Arizona St.","So.","P","12","67.3","37","31","4.15"
"489","Greg Terhune","Seton Hall","So.","P","12","47.7","25","22","4.15"
"490","Andrew Triggs","Southern California","Jr.","P","11","69.3","40","32","4.16"
"491","Brian Edelen","Western Ky.","Sr.","P","16","56.3","29","26","4.16"
"492","Jeff Brigham","Washington","Fr.","P","19","43.3","21","20","4.16"
"","Andrew Revello","St. Bonaventure","So.","P","11","43.3","32","20","4.16"
"494","Ben Alsup","LSU","Sr.","P","11","58.3","33","27","4.17"
"","David Benson","VCU","Sr.","P","11","58.3","32","27","4.17"
"496","Jack Wagoner","Fla. Gulf Coast","Sr.","P","14","45.3","23","21","4.17"
"497","Bobby Shore","Oklahoma","Sr.","P","14","51.7","26","24","4.18"
"498","Greg Hellhake","Creighton","Sr.","P","11","47.3","22","22","4.19"
"499","Matteo D'Angelo","Winthrop","Sr.","P","13","58.0","37","27","4.19"
"500","Chris Pickering","Rhode Island","Jr.","P","11","53.7","30","25","4.19"
