"Rank","Name","Team","Cl","Pos","G","SF"
"","Jake Sandlin","Georgia College","Jr.","INF","25","2"
"","Jake Schader","Mo. Western St.","Sr.","C","22","2"
"","Cody Scheler","Bellarmine","Sr.","OF","18","2"
"","Brock Schlekeway","West Tex. A&M","Jr.","INF","12","2"
"","Taylor Schmidt","Seton Hill","So.","OF","23","2"
"","Dillon Schroeder","Neb.-Kearney","Jr.","SS","24","2"
"","Kyle Sedlak","Adams St.","Sr.","INF","20","2"
"","Kurt Seiders","Millersville","Jr.","P","23","2"
"","Brad Sevenish","Stillman","Sr.","C","26","2"
"","Branden Shaw","Barry","Jr.","INF","22","2"
"","Justin Shealy","Ark.-Fort Smith","Jr.","C","23","2"
"","Jud Sherrill","Ala.-Huntsville","Sr.","C","20","2"
"","Rob Shipman","Mount Olive","Jr.","1B","27","2"
"","Tyler Simmons","Wingate","Jr.","C","22","2"
"","Derek Skrdlant","Colorado Mines","Sr.","INF","20","2"
"","Cody Smith","West Virginia St.","Sr.","INF","20","2"
"","G. Smith","West Ga.","---","C","29","2"
"","Jacob Soisson","Southeastern Okla.","---","SS","28","2"
"","Jimmy Spanos","Shippensburg","Jr.","INF","17","2"
"","Nick Spini","East Central","Jr.","OF","29","2"
"","Thomas Spitz","Wingate","Jr.","OF","28","2"
"","Cole Stancil","Saint Leo","So.","OF","23","2"
"","Albert Stanton","Southern N.H.","Sr.","OF","19","2"
"","Kelly Starnes","Cal St. East Bay","Jr.","OF","24","2"
"","Travis Steinke","Ark.-Monticello","So.","C","18","2"
"","Jake Stern","Pitt.-Johnstown","So.","INF","19","2"
"","Luke Stewart","Ill.-Springfield","Jr.","2B","18","2"
"","Gus Strunk","Fort Hays St.","Jr.","INF","21","2"
"","Christian Summers","Angelo St.","Sr.","INF","28","2"
"","Stanley Susana","St. Thomas Aquinas","Jr.","INF","15","2"
"","Conor Szczerba","Fla. Southern","Sr.","2B","29","2"
"","Gordie Taggart","Tex. A&M Int'l","Sr.","P","25","2"
"","Fernando Tanaka","Stillman","Jr.","INF","29","2"
"","Tyler Tant","Brevard","Jr.","OF","12","2"
"","Taylor Taska","Tex. A&M-Kingsville","Sr.","P","23","2"
"","William Thomas","Saint Augustine's","So.","INF","25","2"
"","Tremayne Toorie","North Georgia","Jr.","OF","26","2"
"","Justin Trent","King (TN)","Sr.","INF","31","2"
"","Seth Tressler","Mansfield","Sr.","2B","15","2"
"","Cody Trogdon","UNC Pembroke","Fr.","INF","18","2"
"","Garrett Tuck","UC San Diego","Sr.","INF","20","2"
"","Devin Turner","Fresno Pacific","Jr.","OF","16","2"
"","Bobby Twitty","Saint Leo","Jr.","OF","26","2"
"","Adam Unes","Ill.-Springfield","Sr.","INF","18","2"
"","Adam Urbania","Slippery Rock","---","LF","20","2"
"","Tom Valichka","Young Harris","Sr.","INF","30","2"
"","Mike Vavasis","Eckerd","Sr.","OF","24","2"
"","Yandy Viera","Nova Southeastern","Jr.","C","19","2"
"","Nick Villalobos","Mars Hill","Jr.","P","27","2"
"","Hunter Villanueva","Fresno Pacific","Fr.","INF","26","2"
"","Andres Visbal","Nova Southeastern","Fr.","INF","24","2"
"","Kyle Vozar","Slippery Rock","---","1B","18","2"
"","Matt Wade","Pfeiffer","Sr.","INF","26","2"
"","Ben Wagner","Newman","Jr.","OF","16","2"
"","Michael Wagner","Colorado St.-Pueblo","Jr.","OF","24","2"
"","Nick Wagner","Cal St. Dom. Hills","Sr.","P","19","2"
"","Coleman Waheed","William Jewell","So.","INF","16","2"
"","Alex Walker","Metro St.","So.","OF","15","2"
"","J.D. Wallace","King (TN)","Sr.","C","29","2"
"","Clint Wallace","Tex. A&M-Kingsville","Jr.","C","26","2"
"","Bo Walter","Cal Poly Pomona","Sr.","OF","27","2"
"","Shawn Walters","Sonoma St.","Sr.","C","10","2"
"","Austin Walts","Ashland","Jr.","SS","20","2"
"","Jake Ward","North Ala.","Sr.","OF","31","2"
"","Jake Weibley","Slippery Rock","Sr.","OF","19","2"
"","Jourdan Weiks","Sonoma St.","Jr.","INF","20","2"
"","Jacob Westhorpe","Holy Names","Sr.","OF","22","2"
"","T.J. Wharton","Catawba","Jr.","C","28","2"
"","Jacob Whisler","Western Ore.","Jr.","INF","12","2"
"","Trey Williamon","West Ala.","Sr.","INF","26","2"
"","Eddie Williams","Colorado St.-Pueblo","Sr.","C","22","2"
"","Zack Willoughby","Montevallo","Jr.","OF","30","2"
"","Brad Wilson","Central Mo.","Sr.","OF","25","2"
"","Matt Wilson","Shepherd","Jr.","OF","17","2"
"","Will Winslow","Coker","So.","OF","15","2"
"","Kye Winter","Augustana (SD)","Sr.","P","17","2"
"","Alex Wojciechowski","Minn. Duluth","So.","P","12","2"
"","Tyler Wood","Limestone","Sr.","INF","29","2"
"","Ryan Woodrey","Nova Southeastern","Jr.","C","21","2"
"","Kevin Wortman","Florida Tech","Jr.","OF","27","2"
"","Ian Wukitsch","Pace","Sr.","INF","12","2"
"","Tucker Young","N.M. Highlands","Jr.","OF","15","2"
"","Ethan Zabo","Glenville St.","Sr.","OF","17","2"
"","Graeme Zaparzynski","Slippery Rock","Sr.","INF","17","2"
"","Scott Zuback","Lock Haven","Sr.","OF","17","2"
"","Julio Zubillaga","Catawba","Sr.","2B","29","2"
