"Rank","Name","Team","Cl","Pos","G","R"
"","Zac Mitchell","Belmont","Jr.","INF","45","32"
"","Nick Natoli","Towson","Sr.","SS","41","32"
"","Cameron Perkins","Purdue","So.","INF","42","32"
"","Sam Picchiotti","Wright St.","So.","INF","37","32"
"","Nick Pulsonetti","Monmouth","Sr.","OF","39","32"
"","Victor Ramos","Marshall","Sr.","INF","41","32"
"","Ryan Retz","High Point","So.","1B","44","32"
"","Jimmy Rider","Kent St.","Jr.","INF","42","32"
"","T.J. Rivera","Troy","Sr.","2B","44","32"
"","Michael Robertson","Liberty","Jr.","OF","44","32"
"","Jeremy Rodriguez","CSU Bakersfield","Jr.","C","38","32"
"","Kevin Roebuck","Lamar","Jr.","OF","41","32"
"","Kyle Roliard","Louisiana Tech","Jr.","OF","46","32"
"","Rance Roundy","UNLV","Sr.","OF","40","32"
"","Johnny Ruettiger","Arizona St.","Jr.","OF","40","32"
"","Alejandro Sanchez","Bethune-Cookman","Jr.","SS","46","32"
"","Cam Schiller","Oral Roberts","Jr.","INF","39","32"
"","Blake Seguin","Jacksonville St.","Sr.","SS","42","32"
"","Tant Shepherd","Texas","Sr.","1B","44","32"
"","Danny Stienstra","San Jose St.","Sr.","INF","46","32"
"","Ryan Still","Houston","Sr.","2B","45","32"
"","Darnell Sweeney","UCF","So.","INF","44","32"
"","Zach Tanner","Wright St.","Jr.","INF","38","32"
"","Beau Taylor","UCF","Jr.","C","43","32"
"","Aaron Thompkins","Furman","Sr.","1B","42","32"
"","Preston Tucker","Florida","Jr.","INF","44","32"
"","Adrian Turner","Grambling","Sr.","INF","40","32"
"","Erich Weiss","Texas","Fr.","3B","44","32"
"","Troy White","Northern Ill.","Jr.","INF","41","32"
"","Trent Whitehead","East Carolina","Sr.","OF","44","32"
"","Jantzen Witte","TCU","So.","INF","44","32"
"","Nate Woods","Belmont","Sr.","DH","43","32"
"","Zach Wright","East Carolina","Jr.","C","44","32"
"","Chad Wright","Kentucky","Jr.","OF","45","32"
"","Tyler Zupcic","Appalachian St.","So.","OF","41","32"
