"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"","Ryan Reddick","Pittsburg St.","So.","C","44","148","18","8.2"
"377","Wade Koester","Quincy","Sr.","INF","44","156","19","8.2"
"","John Lyons","Bellarmine","Sr.","INF","44","156","19","8.2"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","156","19","8.2"
"380","Derrion Washington","LeMoyne-Owen","Fr.","-","26","82","10","8.2"
"381","Anthony Boza","Lynn","Jr.","1B","45","172","21","8.2"
"382","Rylan Morihara","Hawaii Pacific","Jr.","OF","45","155","19","8.2"
"383","Wayne Lewis","St. Augustine's","Jr.","OF","54","163","20","8.2"
"384","Taylor Johnson","St. Edward's","So.","2B","44","171","21","8.1"
"","Tyler Fayden","Southwest Minn. St.","Sr.","OF","30","114","14","8.1"
"","Lucas Mohon","Carson-Newman","So.","OF","42","114","14","8.1"
"","Donald Smith","Claflin","Jr.","OF","34","114","14","8.1"
"388","Carter Haponski","Slippery Rock","Jr.","OF","44","122","15","8.1"
"","Seth Tressler","Mansfield","So.","2B","35","122","15","8.1"
"390","Val Helldobler","Tiffin","Jr.","INF","42","138","17","8.1"
"","Dane Kolkmeyer","Mo. Southern St.","So.","INF","38","138","17","8.1"
"392","Jackie Samora","Grand Canyon","Fr.","2B","44","146","18","8.1"
"393","Darryl Stringfield","Virginia St.","Sr.","P","47","154","19","8.1"
"394","Aaron Lee","Shepherd","Fr.","INF","25","81","10","8.1"
"","Sean Williamson","Salem Int'l","Sr.","P","32","81","10","8.1"
"396","Zach Martin","Pitt.-Johnstown","Sr.","OF","33","105","13","8.1"
"397","Kevin Cantrell","Southwestern Okla.","So.","SS","39","137","17","8.1"
"","Billy Richard","St. Mary's (TX)","So.","OF","40","137","17","8.1"
"","Eddie Squeri","Dowling","Sr.","INF","38","137","17","8.1"
"400","Tony Mitchell","Fla. Southern","Sr.","OF","41","145","18","8.1"
"401","Casey McKay","C.W. Post","So.","INF","40","153","19","8.1"
"","Ryan Powers","Saint Leo","Sr.","INF","44","153","19","8.1"
"","Steven Rose","Truman","Jr.","SS","42","153","19","8.1"
"","Blake Stroth","North Ala.","Sr.","INF","42","153","19","8.1"
"405","Madison Beaird","Arkansas Tech","So.","OF","46","184","23","8.0"
"","Josh Hohn","Catawba","Sr.","C","51","184","23","8.0"
"","Ryan Serena","Colo. Christian","Sr.","3B","47","168","21","8.0"
"","Eric Deese","Ala.-Huntsville","Jr.","DH","44","152","19","8.0"
"","Keanu Kapana","Hawaii Pacific","Fr.","C","39","136","17","8.0"
"","Spencer Ammons","Mo.-St. Louis","Jr.","3B","38","128","16","8.0"
"","Gavan McCauley","Southern Ark.","Jr.","OF","43","128","16","8.0"
"","Steven Pletan","Mary","Jr.","2B","36","120","15","8.0"
"","Chris Stephens","Hillsdale","Jr.","C","38","112","14","8.0"
"","Shane Timberlake","King (TN)","Jr.","INF","35","112","14","8.0"
"415","Chase Presley","Harding","Jr.","INF","46","183","23","8.0"
"416","Austin Dubberly","Montevallo","So.","INF","39","159","20","8.0"
"417","Cody Foster","Cal St. Chico","Jr.","OF","40","143","18","7.9"
"418","Matt Anderson","Cal St. Chico","Jr.","OF","40","135","17","7.9"
"","Cameron Louie","Northwest Nazarene","Sr.","INF","44","135","17","7.9"
"420","Kelly Gau","Central Wash.","Sr.","INF","39","127","16","7.9"
"421","Jeremy Filer","Pittsburg St.","Sr.","C","35","95","12","7.9"
"","Melvin Robinson","Lincoln (PA)","Sr.","OF","28","95","12","7.9"
"423","Collin Elmore","St. Edward's","Jr.","INF","42","174","22","7.9"
"424","Matt Ammons","Coker","Sr.","2B","43","166","21","7.9"
"","Drew Walker","Armstrong","Jr.","INF","48","166","21","7.9"
"426","Richard McCarren","Adelphi","Sr.","OF","42","150","19","7.9"
"","Josh Wenger","Concord","So.","INF","43","150","19","7.9"
"428","David Kaplan","Metro St.","So.","2B","40","142","18","7.9"
"429","Michael Wilson","Francis Marion","Fr.","INF","47","189","24","7.9"
"430","James Tedder","Wingate","So.","INF","51","181","23","7.9"
"431","R.J. Knese","Drury","Sr.","C","45","165","21","7.9"
"432","Joe Lombardi","Pace","Jr.","INF","31","102","13","7.8"
"433","Jason Nappi","Harding","Sr.","INF","45","149","19","7.8"
"434","Eric Maupin","N.M. Highlands","Jr.","INF","42","133","17","7.8"
"435","J.L. Buchanan","Colo. Christian","Sr.","1B","47","187","24","7.8"
"436","Ryan Venderlic","Wheeling Jesuit","Sr.","OF","33","109","14","7.8"
"437","Steven Martinez","Pace","Fr.","INF","31","101","13","7.8"
"","Adam Thygesen","Southwest Minn. St.","Jr.","2B","27","101","13","7.8"
"439","Scott Wells","Winston-Salem","Fr.","INF","43","132","17","7.8"
"440","Seve Carbajal","Colo. Christian","Jr.","C","47","163","21","7.8"
"","Logan Gillis","Bentley","So.","INF","39","163","21","7.8"
"442","Jj Loker","S.C. Aiken","So.","INF","50","186","24","7.8"
"","Tate Allison","Angelo St.","Jr.","OF","47","155","20","7.8"
"","R Nagy","West Liberty","Fr.","-","40","124","16","7.8"
"","Chaz Bagwell","Valdosta St.","So.","INF","36","93","12","7.8"
"446","Nate Fudala","Flagler","Jr.","INF","49","178","23","7.7"
"447","Kyle Cummings","Southern Conn. St.","Fr.","INF","37","147","19","7.7"
"448","Evan Gallagher","East Stroudsburg","Jr.","SS","39","139","18","7.7"
"449","Jake Cook","Shepherd","So.","INF","32","108","14","7.7"
"450","Dan Capra","Eckerd","Jr.","OF","40","131","17","7.7"
"","Colin Lowe","Tiffin","Sr.","INF","43","131","17","7.7"
"","Cliff Quick","Cal St. L.A.","Jr.","OF","41","131","17","7.7"
"453","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","154","20","7.7"
"454","Parker Amos","Emporia St.","Sr.","OF","40","123","16","7.7"
"455","Derek Moczygemba","St. Mary's (TX)","So.","P","47","146","19","7.7"
"456","Andy Marinelli","West Ga.","Fr.","-","48","169","22","7.7"
"457","Thomas Padro","Anderson (SC)","Jr.","INF","50","192","25","7.7"
"458","Gelson Perez","Lincoln Memorial","Jr.","INF","49","176","23","7.7"
"459","Nick Barnes","Charleston (WV)","Sr.","INF","43","153","20","7.7"
"460","Andrew Ciennik","Wayne St. (MI)","Jr.","2B","41","130","17","7.6"
"","Caleb Palensky","Neb. Omaha","Fr.","INF","41","130","17","7.6"
"462","Michael Huling","Southern Ind.","Sr.","OF","44","168","22","7.6"
"463","Josh Campanella","Pitt.-Johnstown","Sr.","INF","40","145","19","7.6"
"464","Bryan Patterson","Hawaii Hilo","Sr.","INF","42","122","16","7.6"
"465","Jeremy Graves","Pittsburg St.","Sr.","SS","45","160","21","7.6"
"466","John Roberts","Armstrong","Jr.","C","46","198","26","7.6"
"467","Rafael Medina","Bloomfield","Jr.","1B","38","137","18","7.6"
"468","J Cox","Virginia St.","Fr.","-","46","152","20","7.6"
"","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","152","20","7.6"
"","Tyler Jendro","Southwest Minn. St.","Sr.","SS","29","76","10","7.6"
"471","Andrew Abreu","Dowling","Fr.","INF","38","129","17","7.6"
"","Dylan Schuch","St. Edward's","Sr.","OF","43","129","17","7.6"
"","Sean Welsh","California (PA)","Sr.","P","43","129","17","7.6"
"474","Will Miller","West Tex. A&M","Sr.","OF","47","182","24","7.6"
"","Cy Mozingo","West Va. Wesleyan","Sr.","P","29","91","12","7.6"
"476","Matt Smoley","Upper Iowa","Jr.","INF","40","144","19","7.6"
"477","Joe Kornbrust","Emporia St.","Fr.","-","37","106","14","7.6"
"","Daniel Qualls","Incarnate Word","Sr.","C","38","106","14","7.6"
"479","Aaron Berner","Minn. St. Mankato","Fr.","-","39","121","16","7.6"
"480","Joe Mangum","UNC Pembroke","Sr.","INF","44","136","18","7.6"
"","Craig Matteo","Adelphi","Jr.","INF","40","136","18","7.6"
"482","Justin Gibson","East Central","Jr.","INF","42","151","20","7.6"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","151","20","7.6"
"484","Brian Chritz","Neb.-Kearney","Sr.","OF","33","83","11","7.5"
"","Jeremy Fisher","West Virginia St.","Sr.","C","27","83","11","7.5"
"486","Tanner Funk","Georgia College","Jr.","SS","50","196","26","7.5"
"","Bryon Ramsey","Miles","Sr.","1B","36","98","13","7.5"
"488","Anthony DiFrancesco","Philadelphia U.","Sr.","3B","36","143","19","7.5"
"","Sam Phillips","Shippensburg","So.","SS","47","143","19","7.5"
"490","Patrick Arntson","Upper Iowa","Jr.","1B","44","158","21","7.5"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","158","21","7.5"
"492","Nate Blessman","Ill.-Springfield","Jr.","OF","41","150","20","7.5"
"","Nate Hewes","Augustana (SD)","So.","INF","43","150","20","7.5"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","150","20","7.5"
"","Dan Robinson","Dominican (NY)","Sr.","OF","39","150","20","7.5"
"","Josh Logan","Seton Hill","Jr.","OF","35","120","16","7.5"
"497","Ryan Saxon","Anderson (SC)","Sr.","2B","50","187","25","7.5"
"498","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","157","21","7.5"
"499","Charlie Basil","Colorado Mines","Fr.","OF","41","142","19","7.5"
"500","Esteban Raygoza","St. Mary's (TX)","Jr.","SS","39","127","17","7.5"
