"Rank","Name","Team","Cl","Pos","G","R"
"","Daniel Petitbon","Nova Southeastern","Jr.","OF","31","32"
"","Matthew Pullos","Colorado Mines","So.","OF","43","32"
"","Billy Richard","St. Mary's (TX)","So.","OF","40","32"
"","Isaac Rome","Mo. Western St.","Sr.","INF","44","32"
"","Mark Sanborn","Mass.-Lowell","Jr.","1B","40","32"
"","Ethan Santora","Mercyhurst","Jr.","INF","44","32"
"","Cameron Scott","Columbus St.","So.","2B","46","32"
"","Erik Scott","N.M. Highlands","Jr.","OF","36","32"
"","Ryan Serena","Colo. Christian","Sr.","3B","47","32"
"","Tyler Splichal","Neb. Omaha","So.","INF","39","32"
"","Nick Sydnor","Concord","Fr.","OF","44","32"
"","Blake Thomsen","Eastern N.M.","Jr.","OF","43","32"
"","Andrew Trepel","Grand Valley St.","Sr.","INF","40","32"
"","Seth Tressler","Mansfield","So.","2B","35","32"
"","Greg Walsh","Molloy","So.","INF","44","32"
"","Kevin Wempe","Emporia St.","Sr.","INF","45","32"
"","Ryan Wides","Indianapolis","So.","OF","43","32"
"474","David Altman","Colo. Christian","So.","2B","37","31"
"","Rey Alvarez","Tex. A&M Int'l","Sr.","OF","47","31"
"","Greg Anderson","Colorado Mesa","Sr.","OF","44","31"
"","Justin Bagbey","Chowan","Jr.","INF","46","31"
"","Brandon Banks","Paine","So.","C","36","31"
"","Kenny Bellavance","North Ga.","So.","OF","49","31"
"","Joey Benke","St. Cloud St.","Jr.","INF","36","31"
"","Anthony Boza","Lynn","Jr.","1B","45","31"
"","Evan Claus","Metro St.","Jr.","1B","31","31"
"","Cody Coffman","Tusculum","Jr.","1B","47","31"
"","Craig Denman","Mercyhurst","Sr.","OF","44","31"
"","Daniel Dillard","Western Ore.","Sr.","OF","42","31"
"","Logan Dollar","Columbus St.","Jr.","1B","46","31"
"","Cory Dorman","Lock Haven","Jr.","OF","39","31"
"","Cameron Duncan","Tuskegee","Fr.","P","33","31"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","31"
"","Jon Gray","Pfeiffer","Fr.","INF","49","31"
"","Casey Hall","Stillman","Jr.","INF","40","31"
"","Garrett Harris","Angelo St.","Jr.","OF","45","31"
"","Craig Hermann","Delta St.","Jr.","INF","40","31"
"","Joey Ianiero","Bloomsburg","Sr.","INF","40","31"
"","Aaron Johnson","Saint Martin's","Sr.","DH","47","31"
"","Anthony Jones","Miles","So.","2B","34","31"
"","David Kaplan","Metro St.","So.","2B","40","31"
"","Evan King","California (PA)","So.","INF","43","31"
"","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","31"
"","Colin Kish","Fla. Southern","Jr.","OF","40","31"
"","Chandler Klute","Neb.-Kearney","So.","C","35","31"
"","Leo Lamarche","West Fla.","Jr.","2B","45","31"
"","Alex Latchum","Chestnut Hill","Jr.","2B","35","31"
"","Shane Latshaw","Mercyhurst","Jr.","OF","43","31"
"","Teddy Leverett","S.C. Aiken","Jr.","OF","46","31"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","31"
"","Tony Nelson","Dixie St.","Sr.","INF","44","31"
"","Aj Nunziato","Lander","Jr.","INF","47","31"
"","Chris O'Neil","Southern N.H.","Sr.","OF","42","31"
"","Ernesto Ortiz","Grand Canyon","Jr.","SS","42","31"
"","Scot Palmer","Newman","Sr.","C","45","31"
"","Cody Pate","Mars Hill","Jr.","INF","43","31"
"","Nate Reid","Tusculum","Jr.","C","43","31"
"","Micah Robinson","Limestone","Sr.","INF","52","31"
"","Brad Smith","Bloomsburg","Fr.","P","39","31"
"","Landon Sullins","Arkansas Tech","Jr.","C","40","31"
"","Kale Sumner","Hawaii Pacific","So.","INF","45","31"
"","Alex Todd","Sonoma St.","Sr.","INF","44","31"
"","Emilio Villanueva","Drury","Fr.","OF","39","31"
"","Kyle Webb","Concord","Sr.","INF","42","31"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","31"
"","Colby Wiggins","Chowan","Fr.","INF","49","31"
"","Jeremy Williams","Tuskegee","So.","P","32","31"
"","David Zavala","Northeastern St.","Sr.","OF","36","31"
"","Chris Zittrouer","Armstrong","So.","INF","47","31"
