"Rank","Name","Team","Cl","Pos","G","AB","TB"
"","Joey Hallinan","Ohio Valley","Jr.","INF","35","118","70"
"","Chris Hardy","Bentley","Sr.","OF","37","153","70"
"","Wayne Hawkins","Ark.-Monticello","Jr.","OF","28","90","70"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","158","70"
"","Garret Keenan","Saint Rose","Sr.","OF","41","158","70"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","155","70"
"","Joe Mangum","UNC Pembroke","Sr.","INF","44","136","70"
"","Matt McAllester","Ashland","Sr.","2B","45","148","70"
"","Keith Morrisroe","Concord","Jr.","C","41","145","70"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","138","70"
"","Logan Parker","Northwest Nazarene","So.","OF","44","154","70"
"","Zach Ragsdale","Southeastern Okla.","Sr.","OF","40","139","70"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","140","70"
"","Dan Robinson","Dominican (NY)","Sr.","OF","39","150","70"
"","Kyle Stacken","Fort Hays St.","Sr.","1B","43","139","70"
"","Nick Thimesch","Drury","Fr.","OF","45","181","70"
"","Will Wurth","Tex. A&M Int'l","Jr.","INF","47","177","70"
"443","Raphael Amey","Kentucky St.","Jr.","SS","38","129","69"
"","Randy Beard","Concord","So.","OF","44","153","69"
"","Adrian Bringas","Cal St. Chico","Sr.","3B","40","146","69"
"","Ryan Cook","Tex. A&M-Kingsville","Jr.","OF","39","144","69"
"","Arrow Cunningham","Central Okla.","Sr.","C","43","133","69"
"","Brian Erie","Northern Ky.","Sr.","C","41","147","69"
"","Will Fulmer","Montevallo","Fr.","INF","42","165","69"
"","Adam Jury","Slippery Rock","Sr.","INF","44","151","69"
"","Dane Kolkmeyer","Mo. Southern St.","So.","INF","38","138","69"
"","Mike Love","Ala.-Huntsville","Jr.","OF","44","136","69"
"","Travis Murrary","Palm Beach Atl.","Jr.","C","49","175","69"
"","Chris Pula","West Chester","Fr.","INF","40","128","69"
"","Jason Reitenbach","Findlay","Sr.","INF","43","134","69"
"","Mark Sanborn","Mass.-Lowell","Jr.","1B","40","160","69"
"","James Tedder","Wingate","So.","INF","51","181","69"
"","Jenzen Torres","Cal Poly Pomona","Jr.","C","41","141","69"
"459","Nick Adams","Rollins","Jr.","INF","46","169","68"
"","David Albritton","Emporia St.","Sr.","C","43","149","68"
"","Jared Allen","Ga. Southwestern","Sr.","INF","48","184","68"
"","Justin Blinn","Southern Ind.","Sr.","OF","45","171","68"
"","Adam Gemuenden","Winona St.","Jr.","1B","37","138","68"
"","Derik Grimes","Central Okla.","Jr.","INF","34","122","68"
"","David Harvey","Morehouse","Jr.","OF","37","119","68"
"","Taylor Honeycutt","Wingate","Sr.","C","48","137","68"
"","John Jones","Francis Marion","Jr.","OF","41","128","68"
"","Billy Kellum","Elizabeth City St.","Sr.","OF","41","141","68"
"","Tanner Laran","Ark.-Monticello","Jr.","OF","40","140","68"
"","Andy Leach","Fairmont St.","Sr.","OF","30","98","68"
"","Richard McCarren","Adelphi","Sr.","OF","42","150","68"
"","Chris Newcomb","Saint Leo","Fr.","OF","45","162","68"
"","Shannon Rush","Virginia St.","Sr.","INF","44","138","68"
"","Austin Rycroft","Central Okla.","Jr.","OF","40","120","68"
"","Nash Smith","Fort Hays St.","Jr.","OF","32","116","68"
"","Albert Stanton","Southern N.H.","Fr.","OF","39","136","68"
"","Matt Toth","Lake Erie","Jr.","OF","39","138","68"
"","Jason Veyna","Colorado St.-Pueblo","Sr.","2B","45","142","68"
"","Josh Young","Georgia College","Jr.","OF","49","176","68"
"480","Michael Cantwell","St. Andrews","Sr.","OF","43","147","67"
"","Joel Cardinal","Valdosta St.","Sr.","INF","44","154","67"
"","Weston Dodson","Elizabeth City St.","Fr.","OF","40","137","67"
"","Michael Dugan","Kutztown","Sr.","INF","39","141","67"
"","Chris Edgar","Millersville","Jr.","OF","44","146","67"
"","Mike Foley","Assumption","Sr.","C","42","163","67"
"","John Fouchet","Florida Tech","Sr.","INF","47","163","67"
"","Tyler Hancock","Central Okla.","Jr.","INF","41","154","67"
"","Nash Hutter","Shepherd","Jr.","OF","33","121","67"
"","Blake May","Anderson (SC)","Jr.","INF","50","186","67"
"","Thomas Padro","Anderson (SC)","Jr.","INF","50","192","67"
"","Caleb Palensky","Neb. Omaha","Fr.","INF","41","130","67"
"","Carmine Pellechia","Molloy","Jr.","OF","45","162","67"
"","Michael Price","Armstrong","Sr.","OF","48","175","67"
"","Kevin Rufus","Newberry","Jr.","C","48","154","67"
"","C.J. Stabler","King (TN)","Sr.","INF","41","131","67"
"","Chase Stokes","Ark.-Monticello","Jr.","OF","38","122","67"
"","Edward Tamarez","Elizabeth City St.","Jr.","OF","34","129","67"
"","Robbie Zinsmeister","Indiana (PA)","So.","SS","46","153","67"
"499","Manny Acosta","Cal St. L.A.","Fr.","INF","45","152","66"
"","A.J. Alexander","N.M. Highlands","Jr.","OF","41","132","66"
"","Joe Andrade","Dixie St.","Jr.","C","43","143","66"
"","Greg Baggett","Bentley","Jr.","C","38","141","66"
"","Garrett Campfield","West Tex. A&M","Sr.","C","45","148","66"
"","Dan Catalano","Lenoir-Rhyne","Sr.","INF","44","164","66"
"","Bo Darby","West Virginia St.","Sr.","INF","31","104","66"
"","Brandon Day","Cal St. San B'dino","Jr.","C","40","136","66"
"","Wally Derosier","Assumption","Sr.","OF","38","126","66"
"","Alex Frederick","Armstrong","Jr.","SS","46","175","66"
"","Jason Hamm","Saint Leo","Sr.","C","42","141","66"
"","Joe Huwer","Eastern N.M.","Jr.","C","41","149","66"
"","Will McCaleb","St. Edward's","Jr.","SS","44","155","66"
"","Patrick Melvin","Miles","Sr.","1B","39","125","66"
"","Clay Mohr","N.M. Highlands","Jr.","OF","44","148","66"
"","Nigel Morton","Southwest Baptist","Sr.","INF","43","165","66"
"","Chris Rawlings","Barton","Jr.","INF","44","164","66"
"","German Reyes","Winston-Salem","So.","INF","47","147","66"
"","Zach Rowles","Minn. St. Mankato","Sr.","INF","41","155","66"
"","Bob Terry","Regis (CO)","So.","OF","41","148","66"
"","Abe Williams","Abilene Christian","Sr.","C","40","123","66"
"","Chris Zittrouer","Armstrong","So.","INF","47","160","66"
