"Rank","Name","Team","Cl","Pos","G","SF"
"","Shane Leftely","Texas Southern","Fr.","C","36","3"
"","Dc Legg","CSU Bakersfield","Jr.","INF","38","3"
"","Andrew Letourneau","CSU Bakersfield","Jr.","OF","40","3"
"","Mike Levine","Saint Louis","So.","SS","43","3"
"","Tom Lilja","Western Ill.","Jr.","OF","44","3"
"","Ryan Lindemuth","William & Mary","Fr.","INF","46","3"
"","Dairio Little","N.C. A&T","So.","OF","44","3"
"","Kendall Logan","Jackson St.","Jr.","OF","38","3"
"","D.J. Long","Delaware","So.","INF","44","3"
"","Ellis Lowe","Campbell","Sr.","INF","43","3"
"","Jake Luce","Elon","Jr.","OF","42","3"
"","Justin Mackert","Citadel","Jr.","INF","43","3"
"","Austin Maddox","Florida","So.","INF","44","3"
"","Ryan Maghini","Fordham","Jr.","INF","44","3"
"","Ben Magsig","Eastern Mich.","Jr.","INF","42","3"
"","Luke Maile","Kentucky","So.","C","43","3"
"","Tyler Marincov","North Florida","Fr.","OF","32","3"
"","Chad Marshall","Stony Brook","Sr.","INF","40","3"
"","Harold Martinez","Miami (FL)","Jr.","3B","43","3"
"","Lance Marvel","La.-Lafayette","Sr.","OF","37","3"
"","Tanner Mathis","Ole Miss","So.","OF","44","3"
"","Wade Mathis","Lamar","Sr.","INF","45","3"
"","Chritien Matz","Ark.-Pine Bluff","Fr.","C","39","3"
"","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","3"
"","Duncan McAlpine","Dallas Baptist","So.","1B","42","3"
"","Tyler McCarthy","George Washington","So.","OF","42","3"
"","Casey McCollum","UALR","Sr.","3B","42","3"
"","Zach McCool","Iowa","Sr.","OF","39","3"
"","Justin McDavid","West Virginia","Sr.","INF","43","3"
"","Mike McGee","Florida St.","Sr.","OF","43","3"
"","Casey McMurray","Illinois","Sr.","OF","39","3"
"","Jeff McNeil","Long Beach St.","Fr.","INF","38","3"
"","Todd McRae","Troy","Sr.","C","42","3"
"","Jeff McVaney","Texas St.","Jr.","OF","44","3"
"","Andrew Megee","Yale","Sr.","3B","42","3"
"","Vincent Mejia","Tex.-Pan American","Jr.","INF","37","3"
"","Alex Mejia","Arizona","So.","INF","43","3"
"","Jesse Mesa","Col. of Charleston","Sr.","INF","32","3"
"","Levi Michael","North Carolina","Jr.","SS","41","3"
"","Mark Micowski","Georgia St.","Sr.","OF","46","3"
"","Mike Miller","Cal Poly","Jr.","INF","25","3"
"","Aaron Miller","Gardner-Webb","Sr.","SS","42","3"
"","Sean Miller-Jones","Central Conn. St.","Sr.","INF","41","3"
"","Evan Mistich","Oklahoma","Jr.","INF","37","3"
"","Brett Mollenhauer","Radford","Jr.","INF","43","3"
"","John Moreland","Mercer","Sr.","1B","44","3"
"","Greg Muller","Albany (NY)","So.","INF","32","3"
"","Andrew Muren","Cal St. Northridge","Jr.","OF","43","3"
"","John Murphy","Sacred Heart","So.","INF","40","3"
"","Cameron Nelson","Campbell","Sr.","OF","21","3"
"","James Newsome","Md.-East. Shore","Jr.","INF","41","3"
"","Dane Nielsen","BYU","Sr.","OF","39","3"
"","Derek Niesman","East Tenn. St.","So.","INF","40","3"
"","Kyle Nisson","Quinnipiac","Jr.","C","40","3"
"","Chris O'Brien","Wichita St.","Jr.","C","47","3"
"","Kody O'Connor","Le Moyne","So.","1B","42","3"
"","Ryan O'Gara","Valparaiso","Sr.","INF","31","3"
"","Nick O'Shea","Minnesota","Jr.","-","29","3"
"","Jonathan Ogden","Mississippi St.","Sr.","SS","43","3"
"","Brent Ohrman","Eastern Mich.","Jr.","INF","43","3"
"","Greg Olson","Sam Houston St.","So.","OF","46","3"
"","Mike Orefice","Marist","So.","1B","42","3"
"","Robby Ort","Indiana St.","So.","OF","41","3"
"","Bryce Ortega","Arizona","Sr.","INF","43","3"
"","Gabe Ortiz","Virginia Tech","Jr.","OF","37","3"
"","Zack Osborne","Tennessee","Jr.","INF","42","3"
"","Will Owens","Furman","Jr.","2B","45","3"
"","Ben Packard","Northern Colo.","So.","P","35","3"
"","Michael Pair","Central Ark.","Sr.","C","32","3"
"","Jordan Patterson","South Ala.","Fr.","OF","43","3"
"","Jesse Payne","Texas-Arlington","Sr.","INF","34","3"
"","Mark Paytono","Texas","Fr.","OF","41","3"
"","Jerome Pena","TCU","Sr.","INF","43","3"
"","Joe Perez","Hofstra","Jr.","INF","37","3"
"","Adrian Perez","Temple","Sr.","SS","41","3"
"","Sam Perry","North Florida","Sr.","SS","33","3"
"","Hunter Phillips","Sacred Heart","Jr.","INF","42","3"
"","Sam Picchiotti","Wright St.","So.","INF","37","3"
"","Blake Pinnon","Southern Ill.","Sr.","INF","32","3"
"","Phil Pohl","Clemson","Jr.","C","41","3"
"","Jordan Poirrier","La.-Lafayette","Sr.","2B","45","3"
"","Paul Politi","UC Davis","So.","INF","29","3"
"","Danny Poma","Hofstra","Jr.","OF","37","3"
"","Peter Poole","Savannah St.","So.","OF","39","3"
"","Kyle Prevett","Central Ark.","Sr.","INF","41","3"
"","Neal Pritchard","Elon","Sr.","INF","46","3"
"","Matt Puhl","Minnesota","So.","-","32","3"
"","John Rasberry","Norfolk St.","Sr.","OF","37","3"
"","Robert Refsnyder","Arizona","So.","INF","43","3"
"","Cody Regis","UCLA","So.","INF","37","3"
"","Tommy Reyes","UC Irvine","Jr.","INF","35","3"
"","Zach Rhodes","South Dakota St.","Jr.","DH","32","3"
"","Raph Rhymes","LSU","So.","INF","45","3"
"","Matt Rice","Western Ky.","Sr.","C","44","3"
"","T.J. Rich","Memphis","Jr.","1B","44","3"
"","Joey Rickard","Arizona","So.","OF","43","3"
"","David Ricker","Southern Utah","Jr.","INF","31","3"
"","J.T. Riddle","Kentucky","Fr.","INF","40","3"
"","Hunter Ridge","UNC Wilmington","So.","INF","44","3"
"","Allen Riley","Pacific","Jr.","OF","38","3"
"","Devin Rivers","Tennessee Tech","Sr.","INF","40","3"
"","Michael Robertson","Liberty","Jr.","OF","44","3"
"","Miguel Rodriguez","Charlotte","Jr.","C","29","3"
"","Alfredo Rodriguez","Maryland","Jr.","INF","47","3"
"","Kevin Roebuck","Lamar","Jr.","OF","41","3"
"","Eddie Rohan","Winthrop","Sr.","C","45","3"
"","Nick Rossetti","Iona","Sr.","INF","38","3"
"","Taylor Roy","Southern U.","Jr.","OF","37","3"
"","Tucker Rubino","Eastern Mich.","Jr.","INF","42","3"
"","Johnny Ruettiger","Arizona St.","Jr.","OF","40","3"
"","Phil Ruzbarsky","Richmond","Jr.","OF","39","3"
"","Wes Satzinger","North Dakota St.","Fr.","INF","32","3"
"","Dan Schafferman","George Mason","Jr.","OF","38","3"
"","Josh Scheffert","Nebraska","So.","OF","40","3"
"","Cam Schiller","Oral Roberts","Jr.","INF","39","3"
"","Dan Sciantarelli","A&M-Corpus Christi","Jr.","INF","16","3"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","3"
"","Steven Scoby","Valparaiso","Jr.","OF","42","3"
"","Garrett Segraves","IPFW","Sr.","OF","38","3"
"","Matt Serfling","Indiana","Jr.","OF","26","3"
"","Bradley Shaban","James Madison","So.","INF","44","3"
"","Jt Sherba","Fairleigh Dickinson","Jr.","-","32","3"
"","Miles Silverstein","Pepperdine","Sr.","INF","32","3"
"","Matt Simonelli","Citadel","Sr.","OF","42","3"
"","Matt Skole","Georgia Tech","Jr.","3B","43","3"
"","Jonathan Slattery","William & Mary","Sr.","INF","46","3"
"","Matt Smith","Ole Miss","Sr.","OF","40","3"
"","Kevan Smith","Pittsburgh","Sr.","C","39","3"
"","Derek Smith","Charleston So.","Sr.","1B","42","3"
"","Trey Sorrells","South Ala.","Jr.","C","28","3"
"","J.P. Sportman","Central Conn. St.","Fr.","INF","39","3"
"","Rhett Stafford","Marshall","Jr.","OF","39","3"
"","Eric Stamets","Evansville","So.","INF","39","3"
"","Elliot Stewart","Cal Poly","Jr.","C","29","3"
"","Zach Stewart","Dayton","Jr.","OF","44","3"
"","Jake Stewart","Stanford","So.","OF","35","3"
"","Danny Stienstra","San Jose St.","Sr.","INF","46","3"
"","Cory Stooksbury","UT Martin","Sr.","2B","40","3"
"","Seth Streich","Ohio","So.","P","36","3"
"","Michael Strentz","La.-Lafayette","Fr.","C","34","3"
"","Andrew Stumph","Texas St.","So.","C","41","3"
"","Jaren Sustar","Charleston So.","So.","INF","43","3"
"","T.J. Sutton","Kent St.","Fr.","OF","35","3"
"","Jacob Tanis","Mercer","Jr.","3B","46","3"
"","Chad Taylor","South Fla.","So.","INF","41","3"
"","Beau Taylor","UCF","Jr.","C","43","3"
"","Nate Theunissen","Central Mich.","Jr.","1B","36","3"
"","Zach Thompson","Cleveland St.","Jr.","OF","30","3"
"","Corey Thompson","East Carolina","Jr.","INF","42","3"
"","Brett Tiagwad","Saint Joseph's","Jr.","OF","34","3"
"","Brig Tison","George Mason","Jr.","INF","47","3"
"","Anthony Trajano","Cal St. Fullerton","Jr.","INF","39","3"
"","Samuel Trecaso","Akron","So.","INF","34","3"
"","Derek Trent","East Tenn. St.","Sr.","C","42","3"
"","Cory Turner","Radford","So.","OF","36","3"
"","Steve Ulaky","Delaware","Sr.","1B","44","3"
"","Erik Underwood","Jacksonville St.","Jr.","INF","42","3"
"","Ryan Ussery","UAB","So.","OF","40","3"
"","B.A. Vollmuth","Southern Miss.","Jr.","INF","40","3"
"","Stephen Wadsworth","Holy Cross","So.","C","44","3"
"","Tanner Waite","New Mexico St.","Fr.","C","43","3"
"","Gerald Washington","Alabama St.","Sr.","OF","28","3"
"","J.T. Watkins","Army","Jr.","C","43","3"
"","Trey Watkins","LSU","Jr.","OF","38","3"
"","Adam Wayman","Rider","So.","3B","40","3"
"","Gabe Weidenaar","Oklahoma St.","Jr.","OF","42","3"
"","Willie Wesley","Jackson St.","Sr.","1B","27","3"
"","Dylan West","Florida A&M","Fr.","INF","36","3"
"","Sean Williams","UC Santa Barbara","Sr.","INF","38","3"
"","Matt Williams","Liberty","Jr.","INF","44","3"
"","Chris Wilson","San Diego St.","Jr.","C","42","3"
"","Logan Winchester","Lehigh","Sr.","OF","33","3"
"","Joe Winker","Mercer","Sr.","OF","45","3"
"","Patrick Wisdom","St. Mary's (CA)","So.","INF","39","3"
"","Garrett Wittels","FIU","Jr.","INF","44","3"
"","Matt Wollenzin","Austin Peay","Fr.","C","30","3"
"","Bowen Woodson","Tulane","Fr.","INF","43","3"
"","Chase Worthington","VMI","Jr.","INF","43","3"
"","Stephen Yarrow","San Francisco","Sr.","INF","44","3"
"","Hank Yates","Delaware","So.","OF","43","3"
"","Jonathan York","Princeton","Fr.","INF","29","3"
"","Tim Zier","San Diego St.","Fr.","INF","42","3"
"","Tyler Zupcic","Appalachian St.","So.","OF","41","3"
"","Chad Zurcher","Memphis","Jr.","INF","42","3"
