"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"134","Jossue Delgado","Ohio Dominican","Sr.","OF","18","62","24","7","3","1","0","0.466"
"135","Zach DeCamp","Lake Erie","So.","INF","16","49","20","7","0","2","1","0.466"
"","Kyle Stoudt","Kutztown","Sr.","1B","16","51","20","5","2","0","0","0.466"
"137","Taylor Hinshaw","Georgia College","Sr.","OF","23","84","33","10","4","3","0","0.465"
"","Matt Johnson","Central Okla.","Sr.","INF","23","77","25","16","6","2","1","0.465"
"139","Tony Piazza","Regis (CO)","Sr.","INF","21","77","31","9","0","0","0","0.465"
"140","Grant McKown","Florida Tech","Fr.","INF","28","92","35","16","2","4","1","0.465"
"141","Jay Collazo","Felician","Sr.","C","19","55","19","9","5","2","1","0.465"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","111","36","22","8","1","0","0.465"
"143","Connor Lewis","Lander","Sr.","INF","30","122","41","23","7","1","1","0.464"
"144","Jamie Potts","Grand Valley St.","Jr.","OF","18","59","22","9","1","0","2","0.464"
"145","Logan Moon","Mo. Southern St.","Sr.","OF","26","95","39","10","1","2","5","0.463"
"146","Josh Coker","Lincoln Memorial","Sr.","P","30","103","39","14","3","1","0","0.463"
"147","Mike McCollum","UVa-Wise","---","DH","17","60","25","3","3","1","0","0.463"
"148","Dilon Argo","Central Okla.","So.","OF","23","60","18","18","1","1","4","0.463"
"","Mike Jurgella","St. Cloud St.","Jr.","C","17","71","30","6","1","2","1","0.463"
"150","Travis Shaw","Saint Martin's","Jr.","INF","23","81","31","9","3","0","0","0.462"
"151","Drew Cole","UNC Pembroke","Jr.","INF","30","122","47","17","3","3","5","0.462"
"152","Kody Belcher","S.C. Aiken","---","CF","27","101","33","18","9","2","2","0.462"
"","Justin Buchanan","Southern Ark.","So.","C","31","98","30","19","11","2","2","0.462"
"","Michael Dougherty","Saint Michael's","Jr.","2B","6","22","8","4","0","0","0","0.462"
"","Logan Galliher","Erskine","Jr.","OF","26","91","38","10","0","3","0","0.462"
"","Zach Hoffman","St. Cloud St.","So.","1B","17","72","30","5","1","0","0","0.462"
"","Michael Lott","Shepherd","Sr.","OF","21","71","31","4","1","2","2","0.462"
"","Drew Ryan","Ohio Dominican","Sr.","INF","14","40","13","5","6","1","2","0.462"
"159","Daniel Bick","Georgia College","Sr.","INF","25","93","32","17","4","1","2","0.461"
"","Fernando Tanaka","Stillman","Jr.","INF","29","95","35","8","10","2","2","0.461"
"161","Caleb Psycher","Morehouse","---","RF","24","73","25","13","3","0","1","0.461"
"162","Jamie Scott","Saint Augustine's","Sr.","OF","22","61","21","10","4","1","2","0.461"
