"Rank","Name","Team","Cl","Pos","G","SB","CS"
"","William Calhoun","Abilene Christian","Sr.","DH","47","9","1"
"","Lyndon Coleman","Barry","Jr.","OF","41","9","2"
"","Evan Connell","Northwest Mo. St.","So.","OF","37","9","1"
"","Gates Cook","Augustana (SD)","Sr.","OF","35","9","3"
"","Brendan Costantino","Seton Hill","Fr.","INF","31","9","2"
"","Corey Cowan","Newman","Jr.","INF","47","9","0"
"","Julian Duran","Tex. A&M-Kingsville","Fr.","OF","36","9","0"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","9","2"
"","Nick Fuoco","Coker","Sr.","1B","38","9","4"
"","Luke Garmon","Ky. Wesleyan","Sr.","SS","35","9","0"
"","Ryan Goodman","Cal Poly Pomona","Fr.","INF","45","9","2"
"","Michael Goodwin","Northwood (MI)","Sr.","2B","35","9","2"
"","Calvin Graves","Franklin Pierce","Fr.","OF","28","9","3"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","9","3"
"","Josh Headley","Montevallo","Jr.","OF","44","9","6"
"","Tee Helsel","Mo. Southern St.","Fr.","INF","45","9","3"
"","Hugo Hernandez","Tex. Permian Basin","Jr.","INF","43","9","2"
"","Daniel Hiatt","Coker","Sr.","SS","42","9","2"
"","Chris Holloway","Rollins","Jr.","OF","42","9","3"
"","Andrew Holt","Ill.-Springfield","Fr.","C","34","9","2"
"","Derek Hooper","North Ga.","So.","INF","48","9","1"
"","Joey Ianiero","Bloomsburg","Sr.","INF","40","9","1"
"","Alex Jahn","Post","Sr.","OF","37","9","3"
"","Bj Janney","Wilmington (DE)","So.","INF","29","9","2"
"","Nick Jelacie","Bemidji St.","Sr.","OF","40","9","3"
"","Nate Jones","Mo. Western St.","Sr.","OF","19","9","1"
"","Trent Kinnear","Harding","Sr.","OF","40","9","1"
"","R.J. Knese","Drury","Sr.","C","45","9","2"
"","George Kochu","Chestnut Hill","Sr.","SS","35","9","2"
"","Jordan Kraus","Wheeling Jesuit","So.","P","30","9","2"
"","Jake Kretzer","Northwest Mo. St.","So.","OF","45","9","7"
"","Zach Krueger","Metro St.","Sr.","OF","39","9","1"
"","Tim Lipp","Gannon","Jr.","INF","38","9","1"
"","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","9","0"
"","John Lyons","Bellarmine","Sr.","INF","44","9","1"
"","Rich Maccarone","C.W. Post","Fr.","INF","33","9","4"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","9","3"
"","Phil Mannelly","Lynn","Jr.","OF","43","9","1"
"","Frank Marchisello","Molloy","Jr.","INF","34","9","4"
"","Will McCaleb","St. Edward's","Jr.","SS","44","9","2"
"","Paul McCoy","St. Edward's","Sr.","OF","42","9","5"
"","Kyle Meadows","Southwestern Okla.","Jr.","OF","34","9","2"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","9","1"
"","Marco Moreno","Dominican (NY)","Sr.","INF","35","9","3"
"","Michael Morrissette","Bellarmine","So.","P","44","9","3"
"","Christopher Moye","Benedict","Jr.","C","22","9","1"
"","Travis Murrary","Palm Beach Atl.","Jr.","C","49","9","2"
"","Chad Nacapoy","Cal St. L.A.","Jr.","C","46","9","1"
"","Eric Nordine","Colorado Mesa","Sr.","INF","33","9","1"
"","Aaron Parnell","UNC Pembroke","Jr.","INF","43","9","5"
"","Brett Paterson","Northwest Mo. St.","So.","INF","42","9","1"
"","Joe Petosa","Felician","So.","OF","43","9","2"
"","Chris Rawlings","Barton","Jr.","INF","44","9","2"
"","German Reyes","Winston-Salem","So.","INF","47","9","4"
"","Adrian Rivera","St. Andrews","So.","INF","34","9","2"
"","Melvin Robinson","Lincoln (PA)","Sr.","OF","28","9","4"
"","Bryan Rose","Northern Ky.","Sr.","OF","42","9","0"
"","Austin Rue","Mont. St. Billings","So.","INF","33","9","3"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","9","3"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","9","1"
"","Tyler Steffan","Mary","Jr.","OF","36","9","4"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","9","3"
"","Andy Vogel","Newberry","So.","INF","50","9","5"
"","Lee Voth-Gaeddert","Missouri S&T","Jr.","OF","38","9","6"
"","Trent Wagner","Tex. A&M-Kingsville","So.","OF","35","9","3"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","9","6"
"","Kyle Webb","Concord","Sr.","INF","42","9","0"
"","Sean Welsh","California (PA)","Sr.","P","43","9","5"
"","Heath Williams","King (TN)","So.","OF","30","9","2"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","9","4"
