"Rank","Name","Team","Cl","Pos","G","BB"
"","Aaron Ordy","California (PA)","Sr.","INF","44","19"
"","Brian Patrick","Lincoln (MO)","Sr.","3B","41","19"
"","Chris Pfau","Lincoln (MO)","Jr.","P","38","19"
"","Greg Pron","West Fla.","Sr.","OF","48","19"
"","Chris Rawlings","Barton","Jr.","INF","44","19"
"","Mike Reese","Truman","Sr.","2B","43","19"
"","Steven Riddle","Hawaii Hilo","Jr.","OF","41","19"
"","Noah Ringenberger","Northeastern St.","So.","OF","34","19"
"","Aryn Ross","Indianapolis","Sr.","INF","41","19"
"","Jeff Scarpelli","Hillsdale","So.","OF","40","19"
"","Brad Shankle","Southeastern Okla.","Jr.","C","42","19"
"","Thomas Shull","Cal St. Stanislaus","Sr.","INF","39","19"
"","Brandon Small","Albany St. (GA)","Jr.","SS","45","19"
"","Adam Unes","Ill.-Springfield","Fr.","INF","40","19"
"","Mike VanAlst","Saginaw Valley","Jr.","1B","35","19"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","19"
"","Deaun Williams","Lincoln Memorial","Sr.","OF","45","19"
"","Jordan Williams","Colorado Mines","So.","C","40","19"
"","Jackson Woodruff","Incarnate Word","Sr.","DH","31","19"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","19"
"","Mike Zeiner","Stonehill","So.","SS","43","19"
"482","Parker Amos","Emporia St.","Sr.","OF","40","18"
"","Zac Asman","Northern Ky.","Fr.","INF","41","18"
"","Chase Barnes","Pittsburg St.","Jr.","OF","38","18"
"","Josh Beal","Stillman","Fr.","-","39","18"
"","Justin Beranek","Wayne St. (NE)","So.","OF","36","18"
"","Justin Blinn","Southern Ind.","Sr.","OF","45","18"
"","Adam Boucher","Southern Ark.","Sr.","2B","41","18"
"","Willis Bradwell","Morehouse","Sr.","OF","35","18"
"","Ryan Brnovich","Saint Leo","So.","INF","45","18"
"","Sean Burns","Mass.-Lowell","Sr.","INF","40","18"
"","Garrett Campfield","West Tex. A&M","Sr.","C","45","18"
"","Michael Cantwell","St. Andrews","Sr.","OF","43","18"
"","Kelvin Clark","Fla. Southern","Sr.","OF","23","18"
"","Evan Claus","Metro St.","Jr.","1B","31","18"
"","Jeffrey Conley","Alderson-Broaddus","Fr.","P","35","18"
"","Bo Darby","West Virginia St.","Sr.","INF","31","18"
"","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","18"
"","Logan Dollar","Columbus St.","Jr.","1B","46","18"
"","Chris Eaton","Eastern N.M.","Sr.","INF","30","18"
"","Chris Edgar","Millersville","Jr.","OF","44","18"
"","Anders Engberg","Minn. Duluth","Jr.","INF","33","18"
"","Gus Fernandez","Florida Tech","Sr.","INF","39","18"
"","Tanner Funk","Georgia College","Jr.","SS","50","18"
"","Stephen Gaylor","Ga. Southwestern","Fr.","OF","30","18"
"","Evan Gazza","Davis & Elkins","Sr.","OF","42","18"
"","Ryan Giacomini","Tex. Permian Basin","Sr.","1B","44","18"
"","Christian Glisson","Valdosta St.","Jr.","C","44","18"
"","Ryan Guarino","East Stroudsburg","Jr.","INF","32","18"
"","Alex Haag","Regis (CO)","Jr.","OF","39","18"
"","Zachary Hamasaki","Hawaii Hilo","So.","OF","38","18"
"","Ricky Harris","Albany St. (GA)","Fr.","C","52","18"
"","Ryan Hathaway","Charleston (WV)","Jr.","OF","42","18"
"","Wayne Hawkins","Ark.-Monticello","Jr.","OF","28","18"
"","Dillon Hazlett","Emporia St.","Sr.","INF","45","18"
"","Justin Hooker","Elizabeth City St.","So.","INF","42","18"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","18"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","18"
"","Mark Jeffery","Tarleton St.","Sr.","C","43","18"
"","L. Johnson","Shaw","Fr.","-","43","18"
"","Billy Kellum","Elizabeth City St.","Sr.","OF","41","18"
"","Andy Klaus","Okla. Panhandle","Sr.","OF","44","18"
"","Andy Leach","Fairmont St.","Sr.","OF","30","18"
"","Adam Lewis","Mars Hill","Sr.","C","49","18"
"","R. Lewis","Shaw","Fr.","-","34","18"
"","Mario Lopez","Dominican (NY)","Sr.","INF","38","18"
"","Matt McAllester","Ashland","Sr.","2B","45","18"
"","Clayton Miller","Armstrong","Fr.","C","43","18"
"","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","18"
"","John Neese","Catawba","Sr.","OF","46","18"
"","Shane O'Connell","New Haven","So.","C","38","18"
"","Manny Pedrozo","Barry","Sr.","OF","25","18"
"","Zach Persky","Rollins","Fr.","OF","40","18"
"","Joe Peters","St. Cloud St.","Jr.","C","32","18"
"","Kevin Phillips","Southeastern Okla.","Jr.","INF","45","18"
"","Cory Phillips","Grand Valley St.","Sr.","INF","36","18"
"","Kevin Price","Pfeiffer","Fr.","OF","41","18"
"","Joe Pudlo","St. Joseph's (IN)","Jr.","OF","39","18"
"","Ryan Reddick","Pittsburg St.","So.","C","44","18"
"","Michael Rezin","Arkansas Tech","Jr.","1B","30","18"
"","Billy Richard","St. Mary's (TX)","So.","OF","40","18"
"","Isaac Rome","Mo. Western St.","Sr.","INF","44","18"
"","Bryan Rose","Northern Ky.","Sr.","OF","42","18"
"","Zach Rowles","Minn. St. Mankato","Sr.","INF","41","18"
"","Aaron Scoville","Shepherd","Fr.","INF","33","18"
"","Jon Shoutta","Regis (CO)","Fr.","1B","43","18"
"","Brian Simone","West Ala.","Sr.","OF","41","18"
"","Cody Solberg","Okla. Panhandle","So.","INF","39","18"
"","Courtney Spitz","Drury","Sr.","C","35","18"
"","Tyler Steffan","Mary","Jr.","OF","36","18"
"","Blake Tagmyer","UC San Diego","Sr.","2B","37","18"
"","Mike Tranghese","American Int'l","Sr.","OF","35","18"
"","Jason Trulin","Neb.-Kearney","Sr.","OF","38","18"
"","Jose Vazquez","Florida Tech","Jr.","OF","38","18"
"","Tom Ward","Ouachita Baptist","Jr.","DH","41","18"
"","Greg White","Kentucky St.","Jr.","1B","31","18"
"","Adrian Williams","Tex. A&M-Kingsville","Sr.","1B","37","18"
"","Martin Williams","Paine","So.","OF","35","18"
"","Robbie Zinsmeister","Indiana (PA)","So.","SS","46","18"
"","Julio Zubillaga","Catawba","Fr.","2B","51","18"
