"Rank","Name","Team","Cl","Pos","G","HBP"
"","Alex Staehely","Creighton","So.","INF","41","7"
"","Jake Stinnett","Maryland","Fr.","INF","42","7"
"","Cam Stykemain","Niagara","Sr.","OF","39","7"
"","Ryan Terry","Monmouth","Sr.","INF","43","7"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","7"
"","Justin Topping","VMI","Sr.","C","32","7"
"","Devon Travis","Florida St.","So.","2B","44","7"
"","Derek Trent","East Tenn. St.","Sr.","C","42","7"
"","Jordan Vaughn","Texas-Arlington","Jr.","INF","43","7"
"","Curtis Wagner","Santa Clara","Sr.","1B","40","7"
"","Scott Wingo","South Carolina","Sr.","INF","43","7"
"","Clark Wise","Wofford","So.","OF","39","7"
"","Joe Witkowski","St. John's (NY)","Sr.","C","32","7"
"","Tanner Witt","Kansas St.","So.","INF","41","7"
"","Matt Zeblo","Belmont","Sr.","C","38","7"
"491","Brian Adams","Kentucky","So.","OF","36","6"
"","Mike Ahmed","Holy Cross","Fr.","INF","34","6"
"","Nick Ahmed","Connecticut","Jr.","INF","40","6"
"","Chris Amezquita","Pepperdine","Jr.","OF","35","6"
"","Chris Andreas","Sam Houston St.","Sr.","OF","46","6"
"","Juan Avila","Long Beach St.","So.","OF","31","6"
"","Greg Bachman","Austin Peay","Sr.","INF","41","6"
"","Isaac Ballou","Marshall","So.","OF","41","6"
"","Barrett Barnes","Texas Tech","So.","OF","46","6"
"","Jon Berti","Bowling Green","Jr.","INF","35","6"
"","Taylor Black","Kentucky","Sr.","INF","45","6"
"","Trey Blackman","Stetson","Jr.","INF","38","6"
"","Michael Blanchard","Austin Peay","Jr.","OF","39","6"
"","Evan Boyd","Mercer","So.","SS","46","6"
"","Spencer Branigan","Penn","So.","1B","37","6"
"","Jason Brooks","Dartmouth","Sr.","1B","36","6"
"","Vince Bruno","California","So.","OF","33","6"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","6"
"","Ryan Burgess","Radford","So.","1B","37","6"
"","Ben Burgess","Tennessee Tech","Jr.","C","41","6"
"","Evan Campbell","Kent St.","So.","INF","42","6"
"","Dan Capeless","Georgetown","Sr.","1B","46","6"
"","Jake Carlson","Dartmouth","Jr.","OF","38","6"
"","Alex Carnell","Tex.-Pan American","Sr.","OF","31","6"
"","Matt Carvutto","Pacific","Sr.","P","39","6"
"","Brock Chaffin","Missouri St.","Jr.","DH","39","6"
"","David Chester","Pittsburgh","Sr.","1B","41","6"
"","Tyler Childress","Austin Peay","Jr.","DH","36","6"
"","Tyler Chism","Gonzaga","Sr.","C","39","6"
"","Will Chomicki","Canisius","Sr.","OF","20","6"
"","Tyler Christian","San Jose St.","So.","INF","45","6"
"","Brett Clark","IPFW","Sr.","C","31","6"
"","Jason Coats","TCU","Jr.","OF","44","6"
"","Chris Connelly","Jacksonville","Sr.","OF","36","6"
"","Kyle Convissar","Maryland","Fr.","INF","30","6"
"","Joe Cook","Saint Joseph's","Sr.","INF","38","6"
"","Khiry Cooper","Nebraska","Jr.","OF","32","6"
"","David Corna","Ohio St.","Jr.","C","35","6"
"","Cal Costanzo","Monmouth","Sr.","C","36","6"
"","Mike Coughlin","Dayton","Jr.","OF","43","6"
"","Matt Creamer","Centenary (LA)","So.","INF","31","6"
"","Charlie Curl","Texas A&M","Fr.","INF","37","6"
"","Ryan David","Fordham","Sr.","C","44","6"
"","Andrew Dewey","Lamar","Jr.","INF","25","6"
"","Mike DiBiase","Brown","Jr.","INF","40","6"
"","Zach Duggan","Pittsburgh","Sr.","OF","37","6"
"","Alex Edward","LSU","So.","OF","33","6"
"","Rob Elliott","Bradley","Jr.","INF","42","6"
"","Gant Elmore","Yale","Sr.","INF","39","6"
"","Ryan Emery","Arkansas St.","So.","DH","45","6"
"","Pat Epps","Central Conn. St.","Sr.","INF","41","6"
"","Ricky Ferri","Coppin St.","Fr.","OF","35","6"
"","Billy Ferriter","Connecticut","So.","OF","42","6"
"","Alex Foltz","James Madison","Sr.","OF","37","6"
"","Nolan Fontana","Florida","So.","INF","43","6"
"","Ryan Fuller","Connecticut","Jr.","INF","42","6"
"","Ryan Furbeck","Fairfield","Jr.","OF","34","6"
"","Grant Gajdosz","UNC Asheville","Jr.","OF","36","6"
"","Yoandry Galan","Manhattan","Fr.","INF","37","6"
"","Marty Gantt","Col. of Charleston","Jr.","OF","45","6"
"","Britt Gautreaux","Southeastern La.","Fr.","1B","26","6"
"","Kyle Geason","Minnesota","Jr.","INF","33","6"
"","C.J. Gillman","Dayton","Jr.","INF","44","6"
"","Scott Gottschling","UC Irvine","So.","OF","27","6"
"","Michael Grieco","St. Bonaventure","Jr.","C","36","6"
"","Robert Griffith","Sacred Heart","Jr.","1B","43","6"
"","Chris Grimes","Saint Peter's","So.","OF","36","6"
"","Jon Gyles","La Salle","Jr.","INF","41","6"
"","Jeremy Haas","George Mason","Jr.","OF","36","6"
"","Kevin Hall","Wichita St.","Jr.","OF","47","6"
"","Jared Hammer","Hofstra","So.","1B","32","6"
"","Tyler Hannah","Troy","Jr.","INF","44","6"
"","John Harris","Gardner-Webb","So.","-","39","6"
"","Ryan Hege","Wichita St.","So.","C","31","6"
"","Drew Helenihi","Northwestern St.","Fr.","-","45","6"
"","Eric Helmrich","Marist","Jr.","DH","33","6"
"","Brandt Hendricks","Alabama","So.","OF","28","6"
"","Brian Hernandez","UC Irvine","Sr.","INF","40","6"
"","Matt Hitt","Eastern Mich.","Jr.","C","30","6"
"","Shane Hoelscher","Rice","Fr.","INF","41","6"
"","Brandon Hollins","Alcorn St.","Sr.","OF","37","6"
"","Kyle Holmstrom","Campbell","Jr.","INF","41","6"
"","Jonathan Houston","Central Ark.","Sr.","1B","41","6"
"","Ronald James","Alabama St.","Sr.","1B","31","6"
"","Ryan Jones","Michigan St.","So.","INF","38","6"
"","Bryan Jordan","Western Ill.","Sr.","INF","34","6"
"","Nick Judkins","Creighton","Jr.","INF","41","6"
"","Trey Karlen","UT Martin","Sr.","3B","39","6"
"","Mitchell Kauweloa","Southern Utah","Jr.","OF","39","6"
"","Scott Kelleher","Lafayette","So.","INF","38","6"
"","Brad Kimball","Bradley","Jr.","OF","38","6"
"","Matt Kirkwood","Cleveland St.","Jr.","C","35","6"
"","David Koczirka","Villanova","Sr.","3B","42","6"
"","Andy Lalli","Central Conn. St.","So.","C","35","6"
"","Andrew Law","BYU","Sr.","SS","40","6"
"","Jon Leroux","Northeastern","So.","C","39","6"
"","Patrick Lobo","Air Force","Fr.","OF","34","6"
"","Jimmy Luppens","Canisius","Fr.","1B","25","6"
"","Casey Lytle","Kansas","Sr.","OF","44","6"
"","Jeremy Maas","Penn","Sr.","P","36","6"
"","Zach Maggio","Arkansas St.","So.","INF","39","6"
"","Kyle Mahoney","High Point","Sr.","C","44","6"
"","Jason Mahood","San Francisco","So.","INF","43","6"
"","Luke Maile","Kentucky","So.","C","43","6"
"","Tim Maitland","Texas","Jr.","OF","25","6"
"","Brian Martin","Bradley","Sr.","OF","42","6"
"","Nick Martini","Kansas St.","Jr.","OF","43","6"
"","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","6"
"","Brett Maxwell","Georgia St.","Sr.","OF","41","6"
"","John McCambridge","Xavier","Sr.","INF","43","6"
"","Thomas McCarthy","Kentucky","Jr.","INF","45","6"
"","Jarrod McKinney","Arkansas","Jr.","OF","36","6"
"","Casey McMurray","Illinois","Sr.","OF","39","6"
"","Luis Montesinos","Penn St.","So.","SS","41","6"
"","Ryan Mooney","Sam Houston St.","Sr.","INF","46","6"
"","Josh Moore","Navy","Jr.","INF","28","6"
"","Brett Morgan","UC Davis","Sr.","OF","36","6"
"","Corey Moylan","Butler","Sr.","OF","35","6"
"","Anthony Muccio","Iona","So.","OF","37","6"
"","Tyler Naquin","Texas A&M","So.","OF","43","6"
"","Garrett Nash","Oregon St.","So.","OF","33","6"
"","Jon Neuberger","Mississippi Val.","Jr.","INF","32","6"
"","Blake Newalu","Ole Miss","Jr.","INF","41","6"
"","James Newsome","Md.-East. Shore","Jr.","INF","41","6"
"","Chris Norman","Mississippi Val.","Sr.","OF","40","6"
"","Peter O'Brien","Bethune-Cookman","Jr.","C","48","6"
"","Andre Oliver","Prairie View","So.","INF","26","6"
"","Mike Orefice","Marist","So.","1B","42","6"
"","Matt Pace","Ark.-Pine Bluff","Sr.","3B","41","6"
"","Ricky Pacione","Marist","Sr.","OF","42","6"
"","Ino Patron","Long Beach St.","Fr.","OF","40","6"
"","Kilby Perdomo","Alcorn St.","Sr.","OF","37","6"
"","Shawn Peterson","Oregon","Sr.","INF","32","6"
"","Andrew Phelan","South Dakota St.","Jr.","OF","33","6"
"","Eric Phillips","Ga. Southern","Jr.","INF","44","6"
"","Phil Pohl","Clemson","Jr.","C","41","6"
"","Thomas Pope","UNC Wilmington","Jr.","OF","44","6"
"","Evan Potter","San Diego St.","Fr.","INF","37","6"
"","Sean Prater","Ark.-Pine Bluff","Sr.","INF","36","6"
"","James Ramsey","Florida St.","Jr.","OF","44","6"
"","Tommy Reyes","UC Irvine","Jr.","INF","35","6"
"","Gardner Richey","Samford","So.","OF","33","6"
"","Harold Riggins","North Carolina St.","Jr.","INF","43","6"
"","Frankie Rivera","Texas Southern","Jr.","OF","38","6"
"","Blair Roberts","Air Force","Jr.","INF","45","6"
"","Andrew Rodriguez","San Jose St.","So.","OF","22","6"
"","Rony Rodriguez","Miami (FL)","Jr.","INF","44","6"
"","Spencer Rogers","Washington","Fr.","OF","31","6"
"","Gerald Runyan","Bucknell","Jr.","OF","46","6"
"","Jesse Santo","Missouri","Sr.","INF","42","6"
"","Dan Schafferman","George Mason","Jr.","OF","38","6"
"","Dan Scheffler","Fla. Atlantic","Sr.","INF","23","6"
"","Matthew Scruggs","East Tenn. St.","Jr.","OF","42","6"
"","Garrett Segraves","IPFW","Sr.","OF","38","6"
"","Grant Simotes","Western Mich.","Sr.","INF","39","6"
"","Jeff Simpson","Stetson","Sr.","OF","42","6"
"","Waylen Sing Chow","Nevada","Sr.","OF","20","6"
"","Jeff Skelhorne-Gross","Binghamton","Sr.","C","25","6"
"","Mel Skochdopole","Dayton","Fr.","INF","42","6"
"","Tyler Smith","Arkansas St.","Sr.","C","40","6"
"","Garrett Smith","Stephen F. Austin","Sr.","OF","40","6"
"","Craig Smith","Portland","Sr.","OF","36","6"
"","Eddie Sorondo","Delaware St.","Fr.","C","32","6"
"","Cam Squires","Yale","So.","OF","33","6"
"","Brad Steinbach","St. Bonaventure","Sr.","3B","36","6"
"","Jeremy Sy","La.-Monroe","Jr.","INF","40","6"
"","Brent Tanner","South Ala.","Sr.","C","43","6"
"","Patrick Terry","Santa Clara","Sr.","C","37","6"
"","Brig Tison","George Mason","Jr.","INF","47","6"
"","Riccio Torrez","Arizona St.","Jr.","INF","41","6"
"","Cal Towey","Baylor","So.","OF","42","6"
"","Cory Turner","Radford","So.","OF","36","6"
"","Pat Valaika","UCLA","Fr.","INF","34","6"
"","Jude Vidrine","Lamar","Fr.","INF","34","6"
"","Ben Waldrip","Jacksonville St.","Jr.","1B","36","6"
"","Jamie Wallschlaeger","St. Bonaventure","Sr.","OF","30","6"
"","Dan Ward","Ohio","Fr.","-","43","6"
"","Trey Watkins","LSU","Jr.","OF","38","6"
"","Matt Watson","Boston College","So.","C","28","6"
"","Adam Wayman","Rider","So.","3B","40","6"
"","Tyson Weber","Southern Utah","Fr.","OF","27","6"
"","Erich Weiss","Texas","Fr.","3B","44","6"
"","Danny Welch","Dayton","Sr.","C","39","6"
"","Matt Wessinger","St. John's (NY)","Jr.","2B","39","6"
"","Aaron Westlake","Vanderbilt","Jr.","1B","43","6"
"","Eric White","Maine","Fr.","INF","28","6"
"","Max White","Oklahoma","So.","INF","34","6"
"","Trent Whitehead","East Carolina","Sr.","OF","44","6"
"","Trevor Whyte","UC Santa Barbara","Sr.","INF","38","6"
"","Jesse Wierzbicki","North Carolina","Sr.","1B","41","6"
"","Zack Wiley","Le Moyne","So.","INF","34","6"
"","Matt Williams","Cincinnati","Fr.","3B","40","6"
"","Miles Williams","Cal St. Northridge","Fr.","OF","20","6"
"","Mac Williamson","Wake Forest","So.","OF","43","6"
"","Ben Woodchick","New Mexico","Jr.","INF","39","6"
"","Tyler Wynn","Cleveland St.","Jr.","INF","41","6"
"","Marshall Yanzick","Cornell","Jr.","INF","39","6"
