"Rank","Name","Team","Cl","Pos","G","HR"
"","Anders Engberg","Minn. Duluth","Jr.","INF","33","3"
"","Jordan Erisman","North Ga.","Jr.","INF","49","3"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","3"
"","Wade Finke","St. Joseph's (IN)","Sr.","INF","37","3"
"","Jeremy Fisher","West Virginia St.","Sr.","C","27","3"
"","Brooks Fleming","Palm Beach Atl.","Fr.","OF","34","3"
"","Matt Foltz","St. Joseph's (IN)","Sr.","INF","41","3"
"","Andrew Garcia","Cameron","Jr.","1B","44","3"
"","Ryan Garcia","Barry","Sr.","INF","28","3"
"","Jimmy Garrigan","St. Anselm","Sr.","3B","42","3"
"","Grant Glover","Western Ore.","Sr.","INF","37","3"
"","Peter Goudeau","Abilene Christian","Jr.","INF","27","3"
"","Patrick Grady","Lander","Fr.","OF","36","3"
"","Braxton Graven","Bellarmine","Sr.","OF","44","3"
"","Cameron Graves","Valdosta St.","Jr.","OF","44","3"
"","Justin Hall","Ouachita Baptist","Sr.","DH","40","3"
"","Joe Halley","Cameron","Sr.","INF","45","3"
"","Tyler Hancock","Central Okla.","Jr.","INF","41","3"
"","Lans Hardin","Christian Bros.","Jr.","OF","41","3"
"","Garrett Harris","Angelo St.","Jr.","OF","45","3"
"","Chris Harrison","Southern Ark.","Sr.","OF","34","3"
"","Kenneth Hatfield","Miles","Sr.","INF","37","3"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","3"
"","Drew Heithoff","Augustana (SD)","Sr.","INF","25","3"
"","Zane Hensley","Tarleton St.","Sr.","DH","46","3"
"","Rick Hepworth","East Central","Jr.","INF","39","3"
"","Phillip Herring","Erskine","So.","C","42","3"
"","Danny Higginbotham","Arkansas Tech","Sr.","C","43","3"
"","Dave Holland","Regis (CO)","Jr.","3B","39","3"
"","Trey Horn","West Tex. A&M","Sr.","INF","42","3"
"","Joseph Horsely","Lincoln Memorial","Jr.","INF","51","3"
"","Alex Howard","St. Augustine's","Jr.","INF","46","3"
"","Dack Howard","East Central","Sr.","OF","44","3"
"","Vince Hungerford","Cal St. Stanislaus","Sr.","3B","30","3"
"","Rashad Ingram","St. Augustine's","Sr.","INF","54","3"
"","Yuki Ishida","Washington Adventist","Sr.","INF","19","3"
"","Brandon Jasper","Augustana (SD)","Jr.","INF","29","3"
"","Taylor Johnson","St. Edward's","So.","2B","44","3"
"","Aaron Johnson","Saint Martin's","Sr.","DH","47","3"
"","Stefan Katsampes","Colo. Christian","So.","P","29","3"
"","Andrew Keating","Mo.-St. Louis","Sr.","SS","31","3"
"","Riley Keith","Southeastern Okla.","Jr.","C","24","3"
"","Ryan Kitzhaber","Minn.-Crookston","Fr.","1B","31","3"
"","Nate Koontz","Indianapolis","Jr.","OF","29","3"
"","Joe Kornbrust","Emporia St.","Fr.","-","37","3"
"","Pat Kregeloh","Shippensburg","Fr.","3B","48","3"
"","Charlie Krueger","Northwest Mo. St.","Fr.","P","21","3"
"","Tanner Laran","Ark.-Monticello","Jr.","OF","40","3"
"","David Leid","Central Wash.","Fr.","-","31","3"
"","Chris Leon","Barry","Sr.","C","40","3"
"","Jason Lewis","West Virginia St.","Fr.","P","22","3"
"","Adam Lewis","Mars Hill","Sr.","C","49","3"
"","Mario Lopez","Dominican (NY)","Sr.","INF","38","3"
"","Chris Lopiccolo","Cal St. Monterey Bay","Jr.","INF","33","3"
"","Cody Maas","Georgia College","So.","C","37","3"
"","Keoni Manago","Hawaii Hilo","Sr.","OF","39","3"
"","Deryk Marks","Augustana (SD)","Sr.","INF","43","3"
"","Zach Martin","Pitt.-Johnstown","Sr.","OF","33","3"
"","Jimmy Martinez","Colo. Christian","So.","OF","38","3"
"","Rob Maxwell","Christian Bros.","Jr.","3B","43","3"
"","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","3"
"","Kody McCauley","Upper Iowa","Sr.","1B","25","3"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","3"
"","Colin McKeen","West Ala.","Sr.","3B","39","3"
"","Joe McLemore","Eckerd","Jr.","1B","42","3"
"","Sam Mcgill","Ouachita Baptist","Sr.","P","45","3"
"","Juan Mejia","Caldwell","Sr.","INF","38","3"
"","Evan Melendez","Ashland","Sr.","OF","45","3"
"","Jose Mendoza","Henderson St.","Sr.","INF","42","3"
"","Zack Merriken","Brevard","Jr.","C","40","3"
"","Gavin Meyer","Quincy","So.","OF","44","3"
"","Josh Miller","S.C. Aiken","So.","C","46","3"
"","Shayne Miller","Ohio Valley","Jr.","P","26","3"
"","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","3"
"","Gene Stewart Moody","Tuskegee","Fr.","P","33","3"
"","Joshua Moore","Miles","Sr.","1B","20","3"
"","Eric Morgan","St. Edward's","Sr.","INF","27","3"
"","Keegan Morrow","Central Okla.","Jr.","OF","44","3"
"","R Nagy","West Liberty","Fr.","-","40","3"
"","Dalton Nelson","Southeastern Okla.","Jr.","INF","45","3"
"","Kendal Norman","Henderson St.","Sr.","C","39","3"
"","Chris Norquay","Bluefield St.","Sr.","OF","36","3"
"","Chris O'Neil","Southern N.H.","Sr.","OF","42","3"
"","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","3"
"","Travis Parsons","Wayne St. (NE)","Jr.","OF","29","3"
"","Trevor Pasiecznik","San Fran. St.","Jr.","OF","35","3"
"","Ronald Patterson","Brevard","Sr.","OF","42","3"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","3"
"","Gelson Perez","Lincoln Memorial","Jr.","INF","49","3"
"","David Perlleshi","Concordia (NY)","Jr.","INF","31","3"
"","Andy Petz","Washburn","Sr.","C","41","3"
"","Johnny Pitt","Elizabeth City St.","So.","INF","21","3"
"","James Pjura","Pace","Fr.","OF","28","3"
"","Shawn Pleffner","Tampa","Jr.","OF","41","3"
"","Ryan Powers","Saint Leo","Sr.","INF","44","3"
"","Chris Pula","West Chester","Fr.","INF","40","3"
"","Daniel Qualls","Incarnate Word","Sr.","C","38","3"
"","Nate Reid","Tusculum","Jr.","C","43","3"
"","German Reyes","Winston-Salem","So.","INF","47","3"
"","Demarcus Rieves","Ark.-Monticello","Jr.","INF","28","3"
"","Melvin Robinson","Lincoln (PA)","Sr.","OF","28","3"
"","Micah Robinson","Limestone","Sr.","INF","52","3"
"","Thomas Robulack","Newman","Sr.","INF","42","3"
"","J.R. Roland","Abilene Christian","Jr.","OF","42","3"
"","Zach Roll","Urbana","Sr.","OF","40","3"
"","Tommy Roush","Findlay","So.","INF","41","3"
"","Adam Rush","Lincoln (MO)","Jr.","2B","36","3"
"","Chad Sage","North Ga.","Sr.","OF","32","3"
"","Anthony Salinas","Fort Hays St.","Jr.","OF","39","3"
"","Michael Schmidt","North Ala.","Jr.","INF","44","3"
"","Alex Schultz","Eastern N.M.","Jr.","INF","36","3"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","3"
"","John Sgromolo","Flagler","Jr.","1B","48","3"
"","Michael Shepherd","Ohio Valley","Jr.","INF","36","3"
"","Spencer Shockley","Mo. Western St.","So.","INF","44","3"
"","Brian Simone","West Ala.","Sr.","OF","41","3"
"","Dane Simoneau","Washburn","Sr.","INF","42","3"
"","Jesse Smith","Shippensburg","Sr.","C","45","3"
"","Jordan Smith","Barton","Sr.","OF","44","3"
"","Patrick Smith","Albany St. (GA)","So.","OF","21","3"
"","Ezequiel Sosa","Tex. A&M Int'l","Jr.","C","37","3"
"","Chris Stephens","Hillsdale","Jr.","C","38","3"
"","Brandon Stevens","Indianapolis","Jr.","C","38","3"
"","Corey Stonelake","Wis.-Parkside","Jr.","OF","36","3"
"","Kyle Stoudt","Kutztown","Fr.","-","35","3"
"","Cody Strang","Winona St.","So.","OF","29","3"
"","Matt Sucharewicz","St. Anselm","Sr.","C","35","3"
"","null Sullivan","St. Paul's","Sr.","-","26","3"
"","Nick Sydnor","Concord","Fr.","OF","44","3"
"","Blake Tagmyer","UC San Diego","Sr.","2B","37","3"
"","Edward Tamarez","Elizabeth City St.","Jr.","OF","34","3"
"","Trevor Thorstensen","Adelphi","Sr.","OF","42","3"
"","Jason Trulin","Neb.-Kearney","Sr.","OF","38","3"
"","Adam Unes","Ill.-Springfield","Fr.","INF","40","3"
"","Leroy Urbina","Incarnate Word","Sr.","INF","40","3"
"","Brad Vance","Southern Ind.","Jr.","C","45","3"
"","Bryant Walker","King (TN)","Jr.","OF","30","3"
"","Derrick Webb","Central Wash.","Fr.","-","38","3"
"","Tyler Wharton","Ohio Valley","So.","INF","34","3"
"","Mike Williams","Newman","Sr.","INF","46","3"
"","Kyle Wilson","Findlay","Sr.","OF","43","3"
"","Matthew Winn","Cal St. San B'dino","So.","OF","42","3"
"","Christian Wise","Southwestern Okla.","Jr.","INF","44","3"
"","Tyler Witzel","Coker","So.","P","39","3"
"","null Wollerman","Southern N.H.","Fr.","-","44","3"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","3"
"","Anthony Zarrella","Adelphi","So.","INF","37","3"
