"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"","Colton Gunn","Virginia St.","So.","P","6","38.2","36","8.38"
"151","Oscar Gomez","East Central","Jr.","P","10","46.1","43","8.35"
"152","Joey Falletta","Stillman","Sr.","P","7","41.0","38","8.34"
"153","Kerry Kelley","Cal St. San B'dino","Sr.","P","8","44.1","41","8.32"
"154","Brock McCashland","Minot St.","Jr.","P","3","13.0","12","8.31"
"155","Scott Cone","West Tex. A&M","Sr.","P","7","42.1","39","8.29"
"156","Collin Campbell","Harding","So.","P","7","33.2","31","8.29"
"157","Jack McDonald","Malone","Sr.","P","4","20.2","19","8.27"
"158","Joe Coto","Northwestern Okla.","Sr.","P","8","48.0","44","8.25"
"","Henry Ojeda","Sioux Falls","Jr.","P","5","12.0","11","8.25"
"","Brad Thoutt","Regis (CO)","Fr.","P","6","24.0","22","8.25"
"161","Mark Biesma","Washburn","Jr.","P","5","31.2","29","8.24"
"162","Brett Maus","St. Joseph's (IN)","Jr.","P","5","27.1","25","8.23"
"163","Parks Smithey","Belmont Abbey","So.","P","11","50.1","46","8.23"
"164","Seamus Yonashige","Hawaii Hilo","Sr.","P","7","29.2","27","8.19"
"165","Kyle Zimmerman","Wayne St. (MI)","Jr.","P","4","22.0","20","8.18"
"166","Evan Hart","Chowan","So.","P","7","36.1","33","8.17"
"167","Garret Peterson","Slippery Rock","Jr.","P","5","25.1","23","8.17"
"168","Austin Gambrell","Erskine","Jr.","INF","7","39.2","36","8.17"
"169","Joe Carnavale","Merrimack","Jr.","P","4","28.2","26","8.16"
"170","Cole Cromer","Newberry","Jr.","P","8","46.1","42","8.16"
"171","Wayde Roth","Ark.-Fort Smith","Jr.","P","7","42.0","38","8.14"
"172","Jacob Furr","Newman","Sr.","P","6","24.1","22","8.14"
"173","Jake Peterson","Quincy","So.","P","4","27.2","25","8.13"
"174","Jonathan Moody","Delta St.","Jr.","P","7","34.1","31","8.13"
"175","Aaron Vaughn","Northwest Nazarene","Sr.","P","6","40.0","36","8.10"
"176","Vince Apicella","Carson-Newman","So.","P","8","32.1","29","8.07"
"","Mitchell Dolan","Armstrong","Sr.","P","10","32.1","29","8.07"
"178","Davis Ward","Ouachita Baptist","Sr.","P","8","61.1","55","8.07"
"179","Sam Couch","Lewis","Fr.","P","4","19.0","17","8.05"
"180","Mike Yerina","Southern Conn. St.","So.","P","5","15.2","14","8.04"
"181","Mike Fabrizio","Colorado St.-Pueblo","Sr.","P","7","46.0","41","8.02"
"182","Tom Bammann","Dowling","Sr.","P","7","33.2","30","8.02"
"183","null Rumberg","Belmont Abbey","---","P","10","36.0","32","8.00"
"184","Matthew Suggs","Ga. Southwestern","Sr.","P","8","53.0","47","7.98"
"185","Ethan Davis","Southwestern Okla.","Jr.","P","7","44.0","39","7.98"
"186","Matt Hendricks","Rollins","So.","INF","9","35.0","31","7.97"
"187","Jeremy McDonald","Cal St. Stanislaus","So.","P","7","46.1","41","7.96"
"188","Trevor Richards","Drury","Jr.","P","4","26.0","23","7.96"
"","Matt Wilwohl","Gannon","So.","P","5","26.0","23","7.96"
"190","Adam Hofacket","California Baptist","So.","P","7","37.1","33","7.96"
"191","Greg Gonzalez","Queens (NY)","Jr.","P","4","11.1","10","7.94"
"","Quin Taylor","Mansfield","Sr.","P","4","22.2","20","7.94"
"193","Tyler Mark","Cal St. Dom. Hills","So.","P","8","27.1","24","7.90"
"","Michael Morales","Northwestern Okla.","Sr.","P","7","41.0","36","7.90"
"","Alex Williams","Findlay","Jr.","P","6","13.2","12","7.90"
"196","Dom Demasi","Valdosta St.","Jr.","P","8","49.0","43","7.90"
"197","Payton Walker","Mo. Southern St.","So.","P","6","35.1","31","7.90"
"198","Justin Donatella","UC San Diego","So.","P","5","32.0","28","7.88"
"199","Eric Brothers","Sioux Falls","Jr.","P","3","10.1","9","7.84"
"200","Drew Christina","Mont. St. Billings","Jr.","P","6","25.1","22","7.82"
