"Rank","Name","Team","Cl","Pos","G","AB","H"
"","Colby Robison","Mont. St. Billings","So.","INF","39","147","49"
"","Anthony Salinas","Fort Hays St.","Jr.","OF","39","138","49"
"","Ryan Serena","Colo. Christian","Sr.","3B","47","168","49"
"","Spencer Shockley","Mo. Western St.","So.","INF","44","154","49"
"","Colton Smith","Bemidji St.","Sr.","INF","40","153","49"
"","Donald Smith","Claflin","Jr.","OF","34","114","49"
"","Tyler Splichal","Neb. Omaha","So.","INF","39","144","49"
"","Bobby Triglia","Valdosta St.","Jr.","INF","44","152","49"
"","Brett Underwood","Catawba","Jr.","INF","53","185","49"
"","Michael Vinson","Delta St.","So.","DH","46","149","49"
"","Kyle Wallace","Colorado Mines","Fr.","INF","44","151","49"
"","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","138","49"
"","Garrett Yatch","Grand Valley St.","Fr.","INF","38","124","49"
"","Paul Young","Grand Valley St.","Sr.","OF","39","126","49"
"444","Tate Allison","Angelo St.","Jr.","OF","47","155","48"
"","Justin Bagbey","Chowan","Jr.","INF","46","140","48"
"","Randy Beard","Concord","So.","OF","44","153","48"
"","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","122","48"
"","Joel Cardinal","Valdosta St.","Sr.","INF","44","154","48"
"","Travis Cariveau","St. Cloud St.","So.","INF","36","141","48"
"","Dan Catalano","Lenoir-Rhyne","Sr.","INF","44","164","48"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","140","48"
"","Brad Clement","Northern Ky.","So.","INF","43","157","48"
"","Andrew Elke","Saint Martin's","Sr.","OF","47","148","48"
"","null Gerstenslage","Mercyhurst","Fr.","-","40","143","48"
"","Justin Gibson","East Central","Jr.","INF","42","151","48"
"","Jason Hamm","Saint Leo","Sr.","C","42","141","48"
"","Travis Hayes","Tarleton St.","Jr.","INF","36","117","48"
"","Tee Helsel","Mo. Southern St.","Fr.","INF","45","154","48"
"","John Jones","Francis Marion","Jr.","OF","41","128","48"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","163","48"
"","Josh Logan","Seton Hill","Jr.","OF","35","120","48"
"","Zach Mathieu","Franklin Pierce","Fr.","1B","43","160","48"
"","Ryan Moore","Chowan","Fr.","P","50","155","48"
"","Rylan Morihara","Hawaii Pacific","Jr.","OF","45","155","48"
"","Aaron Oliver","Abilene Christian","Sr.","OF","33","130","48"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","138","48"
"","Caleb Palensky","Neb. Omaha","Fr.","INF","41","130","48"
"","Marcus Peavler","Washburn","Jr.","OF","42","143","48"
"","Shawn Pleffner","Tampa","Jr.","OF","41","138","48"
"","Jeff Popick","Colorado Mesa","Jr.","OF","40","137","48"
"","Sebastian Ray","St. Andrews","So.","INF","44","161","48"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","140","48"
"","Jason Reitenbach","Findlay","Sr.","INF","43","134","48"
"","Thomas Robulack","Newman","Sr.","INF","42","133","48"
"","Kyle Rosadino","Southern Conn. St.","Sr.","OF","37","139","48"
"","Ethan Santora","Mercyhurst","Jr.","INF","44","156","48"
"","Cameron Scott","Columbus St.","So.","2B","46","166","48"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","140","48"
"","Nick Sydnor","Concord","Fr.","OF","44","151","48"
"","Alex Todd","Sonoma St.","Sr.","INF","44","160","48"
"","Justin Vasquez","Belmont Abbey","Sr.","OF","43","159","48"
"","Selwyn Young","Benedict","Sr.","SS","39","137","48"
"","Robbie Zinsmeister","Indiana (PA)","So.","SS","46","153","48"
"484","Parker Amos","Emporia St.","Sr.","OF","40","123","47"
"","Steven Brault","Regis (CO)","Fr.","P","43","135","47"
"","Ryan Brockett","New Haven","Jr.","SS","37","147","47"
"","David Buchanan","West Ga.","Sr.","C","45","153","47"
"","Josh Campanella","Pitt.-Johnstown","Sr.","INF","40","145","47"
"","Jordan Chiero","Tiffin","Jr.","INF","43","140","47"
"","Kramer Clark","Brevard","Jr.","INF","39","137","47"
"","Antonio Clark","Valdosta St.","Sr.","OF","42","142","47"
"","Brandon Day","Cal St. San B'dino","Jr.","C","40","136","47"
"","Gus Durst","Lincoln (MO)","Sr.","OF","41","148","47"
"","Brian Ernst","East Stroudsburg","So.","1B","39","132","47"
"","Mike Foley","Assumption","Sr.","C","42","163","47"
"","P.J. Garcia","Grand Canyon","Jr.","2B","35","129","47"
"","Jimmy Garrigan","St. Anselm","Sr.","3B","42","162","47"
"","Jake Griesemer","East Stroudsburg","Jr.","INF","39","138","47"
"","Nate Hewes","Augustana (SD)","So.","INF","43","150","47"
"","Blake Houston","Catawba","Fr.","OF","53","164","47"
"","Trent Kinnear","Harding","Sr.","OF","40","135","47"
"","Jj Loker","S.C. Aiken","So.","INF","50","186","47"
"","Will McCaleb","St. Edward's","Jr.","SS","44","155","47"
"","Landan McCall","Tarleton St.","So.","SS","43","155","47"
"","Ben Miller","Shippensburg","Jr.","INF","48","148","47"
"","Brian Moon","Cal St. L.A.","Sr.","SS","43","167","47"
"","Michael Morrissette","Bellarmine","So.","P","44","165","47"
"","P.J. Ortega","Cameron","Sr.","C","44","152","47"
"","Andy Petz","Washburn","Sr.","C","41","140","47"
"","Cliff Quick","Cal St. L.A.","Jr.","OF","41","131","47"
"","Tim Quinn","Assumption","Jr.","C","41","140","47"
"","Tim Rainey","Tarleton St.","Sr.","OF","46","153","47"
"","Dan Skelly","Northeastern St.","Jr.","C","38","137","47"
"","Blake Stroth","North Ala.","Sr.","INF","42","153","47"
"","Jason Veyna","Colorado St.-Pueblo","Sr.","2B","45","142","47"
"","Jarred Wallace","Colorado Mines","Sr.","C","42","140","47"
"","J.J. Williams","UNC Pembroke","Jr.","INF","47","150","47"
