"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"","Zach Heidmann","North Dakota St.","Sr.","1B","27","82","25","17","2","1","2","0.431"
"","Lacy Jackson","Texas Southern","Jr.","INF","33","74","20","21","3","4","2","0.431"
"316","Ali Knowles","Troy","Fr.","OF","39","95","30","18","2","1","2","0.431"
"317","Chase Okey","UT Martin","Jr.","C","41","139","37","31","10","1","5","0.431"
"318","Mark Jones","Stetson","Jr.","INF","42","166","60","20","1","1","2","0.431"
"319","Mike Lang","Rutgers","Sr.","OF","40","149","48","15","14","1","1","0.430"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","155","56","19","2","3","1","0.430"
"321","Bradley Shaban","James Madison","So.","INF","44","152","45","26","12","3","4","0.430"
"322","Adam Hilker","Northern Colo.","Jr.","INF","43","166","55","19","12","3","3","0.430"
"323","Jared Norris","Oregon St.","Sr.","1B","39","104","32","21","2","1","2","0.430"
"324","Elliot Frey","Murray St.","Sr.","OF","40","115","35","15","11","1","5","0.430"
"325","Cameron Edman","Gonzaga","Sr.","C","39","135","47","10","10","1","11","0.429"
"326","Mj Schifano","Sacred Heart","Sr.","INF","43","147","54","14","2","0","3","0.429"
"327","Brandon King","Oral Roberts","Jr.","OF","39","144","45","23","8","2","0","0.429"
"328","James Brooks","Utah","Jr.","INF","37","172","68","8","3","1","2","0.429"
"329","Kyle Gaedele","Valparaiso","Jr.","OF","43","163","53","29","3","3","0","0.429"
"330","Mike Orefice","Marist","So.","1B","42","160","46","36","6","3","3","0.429"
"331","Shawn Payne","Ga. Southern","Sr.","OF","44","181","60","24","7","0","2","0.429"
"332","Nolan Gaige","Albany (NY)","So.","P","37","149","49","25","1","0","2","0.429"
"","Jonathan Houston","Central Ark.","Sr.","1B","41","153","45","30","6","0","1","0.429"
"","Tony Kemp","Vanderbilt","Fr.","OF","43","160","50","25","9","2","4","0.429"
"","Kendall Logan","Jackson St.","Jr.","OF","38","136","51","13","2","3","3","0.429"
"","Drew Shields","Georgia St.","So.","INF","39","121","42","16","2","1","9","0.429"
"337","Garrett Buechele","Oklahoma","Jr.","INF","44","185","69","9","11","3","1","0.428"
"338","Nolan Fontana","Florida","So.","INF","43","153","47","30","6","5","6","0.428"
"339","Dan Dispensa","Western Ill.","So.","OF","41","156","49","27","4","0","3","0.428"
"","Matt Lowenstein","Loyola Marymount","So.","OF","41","157","54","24","2","4","4","0.428"
"","Jordan Sivertsen","Southern Ill.","Jr.","OF","43","148","47","29","4","6","1","0.428"
"342","Austin Sheffield","Manhattan","Sr.","INF","38","125","39","20","9","5","3","0.428"
"343","Zac Fisher","New Mexico St.","So.","C","38","120","43","14","2","2","0","0.428"
"344","Joey DeMichele","Arizona St.","So.","INF","32","113","43","9","1","1","1","0.427"
"345","Chas Crane","Winthrop","Jr.","3B","45","164","47","38","3","1","2","0.427"
"346","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","178","65","11","9","1","0","0.427"
"347","Chris Peters","Cincinnati","Sr.","SS","41","162","53","28","1","1","2","0.427"
"348","Vince Bruno","California","So.","OF","33","127","41","17","6","0","6","0.427"
"349","Mike Carson","Oakland","So.","INF","34","123","42","14","5","1","1","0.427"
"350","Cameron Perkins","Purdue","So.","INF","42","181","66","8","13","2","2","0.426"
"351","Matthew James","UTSA","Jr.","INF","45","161","50","31","3","2","4","0.426"
"","Brendon Kelliher","George Washington","Sr.","OF","43","175","63","19","2","1","0","0.426"
"353","Brian Hernandez","UC Irvine","Sr.","INF","40","164","58","17","6","3","0","0.426"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","160","56","21","4","5","2","0.426"
"","Nick Natoli","Towson","Sr.","SS","41","152","49","31","1","6","6","0.426"
"356","Matt Smith","Ole Miss","Sr.","OF","40","140","42","28","5","3","0","0.426"
"357","Alex Carnell","Tex.-Pan American","Sr.","OF","31","88","25","18","6","3","0","0.426"
"358","Pratt Maynard","North Carolina St.","Jr.","C","45","182","62","27","0","0","1","0.426"
"359","Stephen Notaro","Western Caro.","Sr.","C","37","132","50","14","2","7","2","0.426"
"360","Jamal Austin","UAB","Jr.","OF","43","174","63","17","3","1","4","0.426"
"361","Coty Blanchard","Jacksonville St.","Fr.","SS","40","163","57","22","1","2","0","0.426"
"362","Nick Baligod","Oral Roberts","Sr.","OF","39","157","54","19","4","1","1","0.425"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","156","55","18","4","3","0","0.425"
"364","Pat Blair","Wake Forest","So.","INF","40","131","31","41","2","0","1","0.425"
"","Craig Hertler","San Jose St.","Sr.","INF","43","140","40","24","10","0","5","0.425"
"366","Mitchell Kauweloa","Southern Utah","Jr.","OF","39","151","57","8","6","2","2","0.425"
"367","Kevin Gillespie","Charlotte","Sr.","INF","40","94","27","19","5","2","1","0.425"
"368","Matt Hillsinger","Radford","Jr.","OF","43","174","66","12","4","3","0","0.425"
"369","Yoandy Barosso","FIU","Sr.","OF","39","126","39","19","7","1","3","0.425"
"370","Jared Andreoli","Western Ky.","Jr.","OF","44","194","68","25","3","4","1","0.425"
"371","Kale Kiser","Nebraska","Jr.","OF","41","147","41","26","12","1","5","0.425"
"","Robby Ort","Indiana St.","So.","OF","41","160","56","22","1","3","2","0.425"
"373","Cal Towey","Baylor","So.","OF","42","106","26","27","6","0","3","0.424"
"374","Saxon Butler","Samford","Jr.","INF","45","176","63","17","4","1","1","0.424"
"","Pete Cappetta","Illinois","Sr.","OF","32","83","27","13","2","1","0","0.424"
"","Nick Crawford","UAB","Sr.","INF","44","159","46","33","5","1","10","0.424"
"","Josh Dezse","Ohio St.","Fr.","DH","37","142","51","14","5","4","1","0.424"
"378","Tadd Bower","William & Mary","Jr.","INF","45","159","50","30","1","1","3","0.424"
"","Jason Houston","UALR","Sr.","2B","42","156","51","25","5","5","6","0.424"
"","Jeff Simpson","Stetson","Sr.","OF","42","156","46","29","6","0","4","0.424"
"381","T.J. Berge","Northern Colo.","Sr.","INF","42","150","52","20","3","4","1","0.424"
"382","Brance Rivera","TCU","Jr.","OF","44","178","62","14","10","1","5","0.424"
"383","Charles Epperson","Jackson St.","So.","OF","40","145","50","14","8","3","2","0.424"
"","Trevor Hairgrove","UC Riverside","Sr.","INF","37","149","52","17","3","1","5","0.424"
"385","Alex Bechta","Lafayette","Sr.","OF","37","132","38","28","3","0","2","0.423"
"386","Doug Shribman","Bucknell","Sr.","1B","49","181","58","29","4","1","1","0.423"
"387","Tobi Adeyemi","Florida A&M","Sr.","OF","48","185","66","18","4","1","2","0.423"
"","T.J. McManus","Eastern Ill.","Jr.","INF","34","112","38","16","1","1","0","0.423"
"","Max Muncy","Baylor","So.","1B","45","175","56","28","4","1","0","0.423"
"390","Mac Doyle","Wofford","Jr.","C","44","171","56","20","9","1","0","0.423"
"391","Trevor Edwards","UNC Greensboro","Jr.","C","41","137","42","19","13","6","1","0.423"
"392","James Beck","Iona","Jr.","1B","40","148","53","16","2","2","0","0.423"
"393","Kelby Tomlinson","Texas Tech","Jr.","INF","47","172","53","35","2","4","4","0.423"
"394","Sherman Johnson","Florida St.","Jr.","2B","44","159","41","43","3","1","3","0.422"
"395","Nick Ahmed","Connecticut","Jr.","INF","40","149","48","22","6","3","8","0.422"
"396","Mikel Alvarez","Fla. Gulf Coast","Sr.","INF","44","182","59","32","1","3","6","0.422"
"397","Ben Magsig","Eastern Mich.","Jr.","INF","42","143","46","25","2","3","8","0.422"
"","Greg Wallace","Evansville","Sr.","OF","39","153","53","18","2","0","1","0.422"
"399","Michael Gallic","Marist","Sr.","OF","41","162","52","21","8","1","0","0.422"
"400","Jake Valdez","San Jose St.","Fr.","INF","41","140","44","17","9","0","4","0.422"
"401","Alex Fuselier","La.-Lafayette","Jr.","OF","43","155","48","25","5","0","7","0.422"
"","Ricky Oropesa","Southern California","Jr.","1B","43","158","53","23","2","2","0","0.422"
"403","Eric Charles","Purdue","Jr.","INF","43","174","60","16","10","4","4","0.422"
"404","Phil Sorensen","UT Martin","Fr.","INF","36","111","42","8","1","1","2","0.421"
"405","Matt Carvutto","Pacific","Sr.","P","39","159","56","13","6","0","0","0.421"
"","Shaun Cooper","Utah","Jr.","OF","38","156","56","16","3","3","1","0.421"
"407","Matt Williams","Liberty","Jr.","INF","44","174","63","16","4","3","2","0.421"
"408","Zack Dickson","Central Ark.","Sr.","INF","39","123","36","20","8","1","6","0.421"
"","Renny Weber","McNeese St.","Jr.","INF","41","140","41","27","4","0","10","0.421"
"410","Ryan Ferguson","Temple","Sr.","C","41","177","62","18","5","2","1","0.421"
"411","Casanova Donaldson","Tennessee Tech","Sr.","OF","41","159","54","18","5","1","4","0.421"
"412","Blake Seguin","Jacksonville St.","Sr.","SS","42","143","49","16","4","1","7","0.421"
"413","Alex Swenson","Jacksonville","Sr.","C","37","113","31","28","2","2","5","0.421"
"414","Austin Barnes","Arizona St.","Jr.","C","31","112","40","11","2","1","1","0.421"
"415","Zack MacPhee","Arizona St.","Jr.","INF","41","155","43","34","5","1","2","0.421"
"416","Trevor Stevens","Northwestern","Jr.","1B","39","141","43","21","10","4","4","0.420"
"417","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","163","56","21","2","2","0","0.420"
"418","Bryan Niedbalski","Iowa","Fr.","INF","34","92","25","23","2","2","2","0.420"
"419","Billy Goldman","Lehigh","Sr.","OF","36","134","48","7","8","1","1","0.420"
"420","Eric Cain","South Dakota St.","Jr.","SS","39","149","49","24","3","5","4","0.420"
"","Drew Hillman","UC Irvine","Sr.","INF","40","158","57","11","8","4","3","0.420"
"","Mike McQuillan","Iowa","Jr.","2B","41","157","53","22","1","1","2","0.420"
"423","Kyle Borden","Rhode Island","Sr.","OF","36","110","36","17","2","2","2","0.420"
"424","Dan DiBartolomeo","West Virginia","Jr.","2B","38","135","44","13","11","3","2","0.420"
"","Stephen Piscotty","Stanford","So.","INF","37","145","53","11","4","2","1","0.420"
"426","Zach Borenstein","Eastern Ill.","Jr.","OF","39","153","53","16","4","1","0","0.420"
"","Chris Lashmet","Northwestern","Sr.","INF","39","151","54","15","4","4","1","0.420"
"","Danny Pulfer","Oregon","Jr.","INF","41","152","51","17","5","0","6","0.420"
"","Jeremy Rodriguez","CSU Bakersfield","Jr.","C","38","146","49","21","3","4","0","0.420"
"430","Danny Stienstra","San Jose St.","Sr.","INF","46","183","67","16","3","3","3","0.420"
"431","Ryan Mooney","Sam Houston St.","Sr.","INF","46","193","67","18","6","0","3","0.419"
"","Matt Zeblo","Belmont","Sr.","C","38","121","35","23","7","4","0","0.419"
"433","Raymond Church","Fla. Atlantic","Sr.","INF","43","171","58","21","4","2","1","0.419"
"434","Aaron Thompkins","Furman","Sr.","1B","42","156","54","19","2","2","6","0.419"
"435","Dane Phillips","Oklahoma St.","So.","C","43","176","65","15","0","0","3","0.419"
"436","Ali Rodriguez","NYIT","So.","INF","30","105","37","9","3","0","1","0.419"
"","Brig Tison","George Mason","Jr.","INF","47","213","80","12","6","3","3","0.419"
"438","Greg Bachman","Austin Peay","Sr.","INF","41","144","45","21","6","1","2","0.419"
"","Jon Gyles","La Salle","Jr.","INF","41","142","43","23","6","1","3","0.419"
"440","Richie Goodenow","Lipscomb","Sr.","P","44","166","62","12","3","3","2","0.418"
"","Garrett Smith","Stephen F. Austin","Sr.","OF","40","159","54","17","6","2","2","0.418"
"442","Brandon Williams","Georgia St.","Jr.","3B","45","172","63","17","2","5","2","0.418"
"443","Matt Igara","Western Ill.","Jr.","OF","44","179","60","17","10","2","1","0.418"
"444","Bobby Crocker","Cal Poly","Jr.","OF","37","139","46","12","11","3","2","0.418"
"445","Chris Diaz","North Carolina St.","So.","INF","45","157","54","17","3","0","5","0.418"
"446","Landon Anderson","Dallas Baptist","Jr.","OF","43","173","60","17","7","4","3","0.418"
"447","Justin Boudreaux","Southeastern La.","Jr.","INF","46","182","63","21","5","5","0","0.418"
"448","Sebastian Gomez","Elon","Fr.","INF","39","124","40","21","0","1","1","0.418"
"449","Matthew Colantonio","Brown","Sr.","C","40","131","39","19","8","0","4","0.418"
"","Chritien Matz","Ark.-Pine Bluff","Fr.","C","39","138","49","14","3","3","2","0.418"
"","Mitch Widau","Ball St.","Jr.","INF","37","130","39","26","1","1","2","0.418"
"452","Chris O'Dowd","Dartmouth","So.","C","38","147","48","18","5","0","0","0.418"
"","Phil Pohl","Clemson","Jr.","C","41","150","54","11","6","3","3","0.418"
"454","Cody Cotter","Saint Louis","Sr.","OF","43","162","49","16","16","0","3","0.418"
"","Brady Wilson","West Virginia","So.","OF","43","168","56","16","9","1","10","0.418"
"456","Cody Asche","Nebraska","Jr.","3B","44","173","55","27","4","2","0","0.417"
"457","Zach Rhodes","South Dakota St.","Jr.","DH","32","115","37","19","2","3","1","0.417"
"458","Adam Weisenburger","Miami (OH)","Sr.","C","39","123","35","19","9","0","7","0.417"
"459","Tony Caldwell","Auburn","Sr.","C","41","135","40","21","7","0","4","0.417"
"","Tom Murphy","Buffalo","So.","C","38","139","49","15","4","5","0","0.417"
"461","Giovanni Angel","Prairie View","Sr.","INF","41","151","51","18","4","2","9","0.417"
"","Paul Karmas","St. John's (NY)","Sr.","1B","39","144","44","27","2","2","2","0.417"
"463","Alex Guerra","Radford","Sr.","INF","43","160","52","24","2","1","2","0.417"
"464","Bryan Condotta","Georgia St.","Sr.","SS","46","140","45","17","8","3","6","0.417"
"","Derrick Osteen","William & Mary","Sr.","INF","46","169","51","29","5","1","10","0.417"
"","Isaac Rodriguez","Southern Miss.","So.","INF","40","154","50","18","7","1","4","0.417"
"","Stephen Talbott","Purdue","So.","OF","43","154","49","14","12","0","7","0.417"
"","Kevin Tokarski","Illinois St.","Jr.","INF","40","156","46","31","3","2","1","0.417"
"469","Nate Woods","Belmont","Sr.","DH","43","156","50","19","8","2","0","0.416"
"470","Chaz Frank","North Carolina","So.","OF","41","140","40","25","7","1","0","0.416"
"","Drew Gadaire","Davidson","Jr.","OF","39","155","57","11","4","3","3","0.416"
"472","Ryan Waldhart","Oakland","Sr.","INF","33","102","31","17","4","2","0","0.416"
"473","Ryan Holland","Maryland","Jr.","INF","45","150","47","23","4","1","4","0.416"
"474","Travis McComack","Missouri St.","Jr.","INF","41","135","42","22","5","4","2","0.416"
"475","Preston Aldridge","Saint Peter's","Jr.","OF","39","140","53","11","0","3","1","0.416"
"","Billy Moon","Gonzaga","So.","OF","38","139","50","11","3","1","0","0.416"
"477","Dustin DeMuth","Indiana","Fr.","INF","44","187","68","16","2","2","4","0.415"
"478","Jeff Deblieux","South Ala.","Jr.","P","38","105","32","19","3","3","2","0.415"
"479","Greg Muller","Albany (NY)","So.","INF","32","89","23","18","8","3","2","0.415"
"480","Josh Adams","Florida","Sr.","INF","43","153","57","13","1","4","5","0.415"
"","Jackson Hood","Stephen F. Austin","Jr.","OF","39","139","42","21","8","3","2","0.415"
"482","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","172","49","30","9","1","0","0.415"
"483","Brian Billigen","Cornell","Jr.","OF","36","120","35","17","9","1","5","0.415"
"484","Mark Elwell","Xavier","So.","OF","36","108","31","17","8","2","4","0.415"
"485","Doug Bream","Liberty","Sr.","OF","40","164","61","7","5","0","0","0.415"
"486","Drew Martinez","Memphis","Jr.","OF","44","180","59","29","2","6","1","0.415"
"487","Grant Fillipitch","Butler","Sr.","INF","38","147","52","15","1","1","0","0.415"
"","Austin Schultz","Western Caro.","Sr.","INF","42","173","53","25","7","0","4","0.415"
"489","Alex Azor","Navy","Jr.","OF","49","194","65","18","9","1","1","0.414"
"490","Greg Fontenot","La.-Lafayette","Sr.","SS","44","160","55","18","2","1","13","0.414"
"","William Ladd","Citadel","Sr.","OF","43","151","50","13","12","5","5","0.414"
"492","Ryan Ashe","Wright St.","Jr.","OF","40","136","40","22","8","3","6","0.414"
"493","Bo Altobelli","Texas Tech","So.","C","38","106","34","14","5","3","6","0.414"
"","Aaron Wick","Oakland","Sr.","P","35","113","39","14","0","1","1","0.414"
"495","Justin Glass","Cincinnati","Fr.","OF","41","165","57","17","3","1","0","0.414"
"496","Joe De Pinto","Southern California","Sr.","INF","43","143","44","23","5","3","5","0.414"
"","Adam Doleac","Southern Miss.","Sr.","INF","40","153","52","16","4","1","2","0.414"
"","Matt Miller","Northeastern","Jr.","INF","40","147","46","24","2","1","1","0.414"
"","Logan Robbins","Western Ky.","Jr.","INF","38","146","46","19","7","2","0","0.414"
"500","Jacob Rhodes","Murray St.","Jr.","C","39","142","49","16","2","2","0","0.414"
