"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"","Dominic Ficociello","Arkansas","Fr.","INF","41","148","74","0.500"
"","Josh Garcia","Arizona","Sr.","1B","35","114","57","0.500"
"","Alex Hill","UNC Wilmington","Sr.","OF","44","158","79","0.500"
"","Nick Johnson","Bethune-Cookman","Fr.","-","46","154","77","0.500"
"","Mark Jones","Stetson","Jr.","INF","42","166","83","0.500"
"","Trey Karlen","UT Martin","Sr.","3B","39","158","79","0.500"
"","Nick Orvin","Citadel","Jr.","OF","42","178","89","0.500"
"","Jacob Perales","A&M-Corpus Christi","Sr.","OF","46","162","81","0.500"
"","Taylor Perkins","VCU","Jr.","C","39","146","73","0.500"
"","John Schultz","Pittsburgh","Sr.","OF","41","152","76","0.500"
"","Tant Shepherd","Texas","Sr.","1B","44","156","78","0.500"
"","Patrick Wisdom","St. Mary's (CA)","So.","INF","39","146","73","0.500"
"397","Mike Martinez","FIU","Jr.","1B","43","181","90","0.497"
"398","Tom Lilja","Western Ill.","Jr.","OF","44","175","87","0.497"
"399","Colin Bear","Northwestern St.","Jr.","DH","45","169","84","0.497"
"400","Matt Johns","Western Caro.","Sr.","INF","41","165","82","0.497"
"","Zack Kometani","San Diego","Jr.","C","41","165","82","0.497"
"402","Nolan Earley","South Ala.","So.","OF","42","163","81","0.497"
"","Cody Elliott","Ball St.","Jr.","OF","39","163","81","0.497"
"","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","163","81","0.497"
"","Mac Williamson","Wake Forest","So.","OF","43","163","81","0.497"
"406","Matthew James","UTSA","Jr.","INF","45","161","80","0.497"
"407","Reed Harper","Austin Peay","So.","INF","41","157","78","0.497"
"","Angel Ibanez","Tex.-Pan American","So.","INF","37","157","78","0.497"
"409","Kash Kalkowski","Nebraska","So.","OF","42","155","77","0.497"
"","Kevin Mihalik","Lehigh","Sr.","1B","44","155","77","0.497"
"411","Jonathan Houston","Central Ark.","Sr.","1B","41","153","76","0.497"
"412","Casey Jones","Southeast Mo. St.","Sr.","INF","42","151","75","0.497"
"413","Kevin Lehane","Jacksonville","Jr.","INF","41","147","73","0.497"
"414","Erick Fernandez","Georgetown","Sr.","-","41","145","72","0.497"
"415","Nick Cox","Columbia","Sr.","OF","36","139","69","0.496"
"416","Tony Caldwell","Auburn","Sr.","C","41","135","67","0.496"
"417","Brian Johnson","Florida","So.","P","44","133","66","0.496"
"","Rhett Stafford","Marshall","Jr.","OF","39","133","66","0.496"
"419","John Rasberry","Norfolk St.","Sr.","OF","37","129","64","0.496"
"420","Garrett Koster","Elon","Jr.","INF","36","103","51","0.495"
"421","Jake Atwell","Virginia Tech","Jr.","P","36","93","46","0.495"
"422","Jantzen Witte","TCU","So.","INF","44","174","86","0.494"
"423","Riccio Torrez","Arizona St.","Jr.","INF","41","166","82","0.494"
"424","Joel Hutter","Dallas Baptist","Jr.","INF","42","158","78","0.494"
"","Stephen Marino","Stony Brook","Sr.","INF","40","158","78","0.494"
"426","Darren Crabtree","Stephen F. Austin","Sr.","1B","43","156","77","0.494"
"427","Wesley Starkes","New Mexico St.","Sr.","OF","40","154","76","0.494"
"428","Brandon King","Oral Roberts","Jr.","OF","39","144","71","0.493"
"429","Matt Smith","Ole Miss","Sr.","OF","40","140","69","0.493"
"430","Greg Annarummo","Rhode Island","Jr.","INF","36","136","67","0.493"
"","Brock Stassi","Nevada","Sr.","P","39","136","67","0.493"
"432","Stephen Notaro","Western Caro.","Sr.","C","37","132","65","0.492"
"433","Justin Guidry","Middle Tenn.","Jr.","OF","44","191","94","0.492"
"434","Max Muncy","Baylor","So.","1B","45","175","86","0.491"
"435","Joseph McCrary III","Savannah St.","So.","OF","47","173","85","0.491"
"","Richie Rodriguez","Eastern Ky.","Jr.","SS","44","173","85","0.491"
"437","Preston Beck","Texas-Arlington","So.","INF","44","169","83","0.491"
"438","T.J. McManus","Eastern Ill.","Jr.","INF","34","112","55","0.491"
"","Don Schaaf","Le Moyne","Sr.","1B","36","112","55","0.491"
"440","Zack Leonard","Eastern Mich.","Sr.","INF","43","167","82","0.491"
"","Thomas McCarthy","Kentucky","Jr.","INF","45","167","82","0.491"
"","Eddie Rohan","Winthrop","Sr.","C","45","167","82","0.491"
"443","Nick Delguidice","Fla. Atlantic","Sr.","INF","43","165","81","0.491"
"444","Coty Blanchard","Jacksonville St.","Fr.","SS","40","163","80","0.491"
"","David Lyon","Kent St.","Jr.","C","42","163","80","0.491"
"446","Nick Ramirez","Cal St. Fullerton","Jr.","P","43","155","76","0.490"
"447","Barry McDonley","Ark.-Pine Bluff","Sr.","C","42","153","75","0.490"
"448","Steven Proscia","Virginia","Jr.","INF","47","198","97","0.490"
"449","Jesse Sawyer","South Dakota St.","Sr.","3B","36","143","70","0.490"
"450","Jimmy Brenneman","Campbell","Jr.","OF","43","141","69","0.489"
"451","Jason Ganek","Ill.-Chicago","Sr.","INF","36","139","68","0.489"
"452","Travis Jankowski","Stony Brook","So.","OF","40","137","67","0.489"
"","Tanner Nivins","Stony Brook","So.","OF","40","137","67","0.489"
"454","Pete Lavin","San Francisco","Sr.","OF","44","182","89","0.489"
"","Pratt Maynard","North Carolina St.","Jr.","C","45","182","89","0.489"
"","Jordan Poirrier","La.-Lafayette","Sr.","2B","45","182","89","0.489"
"457","Dan DiBartolomeo","West Virginia","Jr.","2B","38","135","66","0.489"
"","Chris Vergne","A&M-Corpus Christi","Sr.","OF","46","135","66","0.489"
"459","Matt Newman","Arizona St.","Sr.","OF","37","131","64","0.489"
"460","Eric Charles","Purdue","Jr.","INF","43","174","85","0.489"
"461","Chad Wright","Kentucky","Jr.","OF","45","172","84","0.488"
"462","Brian Dillon","Fairleigh Dickinson","Sr.","OF","41","160","78","0.488"
"","Alex Guerra","Radford","Sr.","INF","43","160","78","0.488"
"464","Evan Mistich","Oklahoma","Jr.","INF","37","119","58","0.487"
"465","Cameron Seitzer","Oklahoma","Jr.","INF","44","158","77","0.487"
"466","Brian Barnett","Nevada","Sr.","OF","32","115","56","0.487"
"467","Kyle Wren","Georgia Tech","Fr.","OF","45","191","93","0.487"
"468","Matt Campbell","UNC Wilmington","Jr.","INF","43","189","92","0.487"
"469","Zach Amrein","Illinois St.","Sr.","1B","40","150","73","0.487"
"","Jeff Zimmerman","Northern Ill.","Fr.","INF","40","150","73","0.487"
"471","Seth Granger","McNeese St.","Jr.","OF","45","187","91","0.487"
"472","Sean Williams","UC Santa Barbara","Sr.","INF","38","148","72","0.486"
"473","Paul Karmas","St. John's (NY)","Sr.","1B","39","144","70","0.486"
"","Matt Mardesich","Portland","Sr.","INF","37","144","70","0.486"
"","Chris Migani","Quinnipiac","Jr.","-","41","144","70","0.486"
"","Jonathan Ogden","Mississippi St.","Sr.","SS","43","144","70","0.486"
"","Zach Wentz","North Dakota St.","Jr.","1B","35","144","70","0.486"
"478","Joey Rickard","Arizona","So.","OF","43","177","86","0.486"
"479","C.J. Gillman","Dayton","Jr.","INF","44","175","85","0.486"
"","Sam Perry","North Florida","Sr.","SS","33","105","51","0.486"
"481","Justin Leisenheimer","Maine","Jr.","1B","32","101","49","0.485"
"482","Koby Kraemer","Indiana St.","So.","INF","42","167","81","0.485"
"","Gerald Runyan","Bucknell","Jr.","OF","46","167","81","0.485"
"484","Drew Walsh","LIU Brooklyn","Jr.","INF","41","165","80","0.485"
"485","Travis Higgs","San Francisco","Sr.","C","40","128","62","0.484"
"486","Jordan Castaldo","Arkansas St.","Sr.","INF","46","159","77","0.484"
"","Casanova Donaldson","Tennessee Tech","Sr.","OF","41","159","77","0.484"
"488","Tony Balisteri","Virginia Tech","Sr.","INF","45","186","90","0.484"
"489","Mitch Delfino","California","So.","INF","36","120","58","0.483"
"490","Garrett Custons","Air Force","So.","OF","45","174","84","0.483"
"","Stephen Piscotty","Stanford","So.","INF","37","145","70","0.483"
"492","Aaron Conway","Missouri St.","Sr.","OF","40","172","83","0.483"
"493","Kenton Parmley","Southeast Mo. St.","Jr.","INF","41","170","82","0.482"
"494","Ryan Cypret","Ohio St.","So.","INF","36","141","68","0.482"
"","Pat Epps","Central Conn. St.","Sr.","INF","41","141","68","0.482"
"496","Cory Franklin","Florida A&M","Jr.","C","45","168","81","0.482"
"497","Brandon Hohl","Illinois","So.","3B","39","139","67","0.482"
"","Stephen Oswald","George Washington","Jr.","OF","38","139","67","0.482"
"499","Justin Cook","Texas Southern","Jr.","P","42","135","65","0.481"
"500","Jacob Esch","Georgia Tech","Jr.","P","45","187","90","0.481"
