"Rank","Name","Team","Cl","Pos","G","AB","TB"
"","Tristan Moore","Wright St.","Jr.","OF","39","146","76"
"","Andrew Parker","Towson","So.","C","40","129","76"
"","George Piccirilli","VMI","Jr.","INF","44","160","76"
"","Nick Ramirez","Cal St. Fullerton","Jr.","P","43","155","76"
"","Tim Roberson","Fla. Gulf Coast","Sr.","3B","38","160","76"
"","Kyle Robinson","Arkansas","Sr.","OF","41","144","76"
"","Desmond Russell","Jackson St.","Fr.","INF","39","149","76"
"","Jonah Schmidt","Missouri","Sr.","OF","44","162","76"
"","John Schultz","Pittsburgh","Sr.","OF","41","152","76"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","154","76"
"","Billy Stitz","South Dakota St.","Sr.","OF","38","176","76"
"","Cody Terry","UT Martin","Sr.","SS","41","167","76"
"","Maxx Tissenbaum","Stony Brook","So.","INF","40","144","76"
"","Jesse Wierzbicki","North Carolina","Sr.","1B","41","141","76"
"","Chris Wilson","San Diego St.","Jr.","C","42","158","76"
"455","Jaycob Brugman","BYU","Fr.","OF","35","132","75"
"","Matt Carvutto","Pacific","Sr.","P","39","159","75"
"","Dave Ciocchi","Binghamton","Jr.","1B","37","133","75"
"","M.P. Cokinos","Houston","So.","C","43","173","75"
"","Trevor Edwards","UNC Greensboro","Jr.","C","41","137","75"
"","Nick Ferdinand","Delaware","Jr.","OF","39","135","75"
"","Johnny Field","Arizona","Fr.","INF","39","133","75"
"","Grant Fillipitch","Butler","Sr.","INF","38","147","75"
"","Mike Garza","Georgetown","So.","INF","44","178","75"
"","Casey Jones","Southeast Mo. St.","Sr.","INF","42","151","75"
"","Jeff Kremer","Duke","So.","C","47","164","75"
"","Michael Letzter","Butler","Sr.","C","36","131","75"
"","Luke Maile","Kentucky","So.","C","43","149","75"
"","Chritien Matz","Ark.-Pine Bluff","Fr.","C","39","138","75"
"","Barry McDonley","Ark.-Pine Bluff","Sr.","C","42","153","75"
"","Brandon Meredith","San Diego St.","Jr.","1B","42","142","75"
"","Levi Michael","North Carolina","Jr.","SS","41","149","75"
"","Brad Miller","Clemson","Jr.","INF","37","126","75"
"","Hayes Orton","Coastal Caro.","Sr.","OF","45","180","75"
"","Kevin Patterson","Auburn","Sr.","OF","43","144","75"
"","Victor Ramos","Marshall","Sr.","INF","41","163","75"
"","Nick Rountree","UALR","Jr.","C","38","144","75"
"","Effrey Valdez","NYIT","Sr.","INF","33","118","75"
"","Chris Walker","Fordham","Sr.","C","43","170","75"
"","Wes Wilson","Indiana","Sr.","C","42","161","75"
"480","Nick Baligod","Oral Roberts","Sr.","OF","39","157","74"
"","Zack Briggs","Appalachian St.","Jr.","INF","44","156","74"
"","Chris Cook","George Mason","So.","INF","43","159","74"
"","Jonathan Davis","Central Ark.","Fr.","INF","36","128","74"
"","Joey DeBernardis","Penn St.","Jr.","1B","41","157","74"
"","Joey DeMichele","Arizona St.","So.","INF","32","113","74"
"","Zac Elgie","Kansas","Jr.","1B","43","159","74"
"","Dominic Ficociello","Arkansas","Fr.","INF","41","148","74"
"","Tyler Grimes","Wichita St.","Jr.","INF","47","175","74"
"","Jacob House","Texas A&M","Jr.","INF","44","176","74"
"","Mason Katz","LSU","So.","INF","40","141","74"
"","Jordan Lurie","UNC Asheville","Jr.","INF","40","169","74"
"","Ryan Mahoney","Le Moyne","So.","INF","40","155","74"
"","Deven Marrero","Arizona St.","So.","INF","39","162","74"
"","Ryan McIntyre","CSU Bakersfield","Jr.","OF","40","159","74"
"","Sam Mende","South Fla.","Jr.","SS","43","177","74"
"","Trey Nielsen","Utah","Fr.","INF","36","131","74"
"","Zach Noonan","Murray St.","Sr.","OF","39","139","74"
"","Joe Perez","Hofstra","Jr.","INF","37","135","74"
"","Neal Pritchard","Elon","Sr.","INF","46","145","74"
"","Kyle Roliard","Louisiana Tech","Jr.","OF","46","182","74"
"","Jake Rowell","UALR","Sr.","INF","42","158","74"
"","Mj Schifano","Sacred Heart","Sr.","INF","43","147","74"
"","Marc Schoch","La Salle","Jr.","C","39","143","74"
"","Derek Smith","Charleston So.","Sr.","1B","42","160","74"
"","Zach Tanner","Wright St.","Jr.","INF","38","154","74"
"","Ryan Walker","Texas-Arlington","Fr.","INF","45","186","74"
