"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"376","Charlie McCready","Charleston So.","Jr.","P","22","43.7","13","2.68"
"377","Eric Ruth","Winthrop","So.","P","19","40.3","12","2.68"
"378","Jordan Langley","UTSA","Jr.","P","11","53.7","16","2.68"
"379","Phil Mccarthy","Old Dominion","Jr.","P","10","67.0","20","2.69"
"380","Mitchell Pitts","Texas St.","Jr.","P","13","70.3","21","2.69"
"381","Kurt McCune","LSU","Fr.","P","11","70.0","21","2.70"
"","John Nasshan","Bradley","So.","P","11","60.0","18","2.70"
"383","Ben Tomchick","Old Dominion","Jr.","P","11","63.3","19","2.70"
"384","Tim Bury","Dayton","Jr.","P","14","53.3","16","2.70"
"385","Jeff Brigham","Washington","Fr.","P","19","43.3","13","2.70"
"386","Mike Mitchell","UMBC","So.","P","11","49.7","15","2.72"
"","John Neely","Texas Tech","Jr.","P","24","49.7","15","2.72"
"388","Tj Clarkson","Citadel","Jr.","P","23","43.0","13","2.72"
"389","James Jones","La.-Monroe","Sr.","P","17","46.3","14","2.72"
"390","Kyle Barraclough","St. Mary's (CA)","Jr.","P","11","76.0","23","2.72"
"391","Evan Abrecht","Air Force","Jr.","P","11","66.0","20","2.73"
"","Kyle Mullen","Saint Joseph's","So.","P","11","69.3","21","2.73"
"","Andrew Triggs","Southern California","Jr.","P","11","69.3","21","2.73"
"394","Chris Johnson","Portland","So.","P","10","56.0","17","2.73"
"395","Michael Morin","North Carolina","So.","P","18","46.0","14","2.74"
"396","Kevin Brandt","East Carolina","Jr.","P","14","65.7","20","2.74"
"397","Anthony Mannuccia","Hartford","So.","P","10","42.7","13","2.74"
"","David Paiz","Texas Tech","Fr.","OF","12","42.7","13","2.74"
"399","Jon Lucas","Wagner","Sr.","INF","10","55.7","17","2.75"
"400","Jake Hummel","Pacific","Sr.","P","11","72.0","22","2.75"
"401","Cody Winiarski","Virginia","Sr.","P","10","52.3","16","2.75"
"402","Casey Medlen","North Florida","Sr.","P","13","49.0","15","2.76"
"403","Jarrett Arakawa","Hawaii","Fr.","P","12","62.0","19","2.76"
"404","Paul Paez","San Diego","Fr.","P","21","55.3","17","2.77"
"405","Buck Farmer","Georgia Tech","So.","P","11","71.3","22","2.78"
"406","Brett Koehler","William & Mary","So.","P","22","51.7","16","2.79"
"","Kyle Webb","Elon","So.","P","9","51.7","16","2.79"
"408","Sean Carley","Air Force","So.","P","11","74.3","23","2.79"
"","Corey Roberts","Charlotte","So.","P","11","74.3","23","2.79"
"410","Mike Giordano","Manhattan","Jr.","P","10","61.3","19","2.79"
"","Kyle Haynes","VCU","So.","P","11","61.3","19","2.79"
"412","Matt McCall","Mercer","So.","P","10","48.3","15","2.80"
"413","Cory Mazzoni","North Carolina St.","Jr.","P","11","77.0","24","2.81"
"414","Jordan Nicholson","La.-Lafayette","Jr.","P","9","51.3","16","2.81"
"415","Zach Kraham","Albany (NY)","Jr.","P","10","57.7","18","2.81"
"","Kurt Schluter","Stetson","So.","P","10","57.7","18","2.81"
"417","Richard Bautista","Grambling","So.","P","11","80.0","25","2.81"
"","Marcus Stroman","Duke","So.","P","14","48.0","15","2.81"
"419","Jay Lynch","Binghamton","So.","P","10","60.7","19","2.82"
"420","Ed Kohout","Le Moyne","Jr.","P","15","54.3","17","2.82"
"421","Brandon Creel","Sacramento St.","Sr.","P","17","44.7","14","2.82"
"","Aaron Griffin","Loyola Marymount","So.","P","15","44.7","14","2.82"
"423","Ray Hanson","UCF","Jr.","P","11","51.0","16","2.82"
"424","Matt Hockenberry","Temple","Fr.","P","10","47.7","15","2.83"
"425","Nate Dick","Cleveland St.","Jr.","P","11","44.3","14","2.84"
"","Wes Olson","Navy","Sr.","P","15","44.3","14","2.84"
"427","Nick Brown","Iowa","Jr.","P","7","41.0","13","2.85"
"428","Conner Scarborough","Gardner-Webb","So.","P","12","47.3","15","2.85"
"","Brad Schreiber","Purdue","So.","P","8","47.3","15","2.85"
"","Van Spronsen","Wagner","Fr.","-","10","47.3","15","2.85"
"431","Vincent Molesky","Mt. St. Mary's","So.","P","9","50.3","16","2.86"
"432","Kevin Gausman","LSU","Fr.","P","11","66.0","21","2.86"
"","John Taylor","South Carolina","Sr.","P","28","44.0","14","2.86"
"434","Cal Bowling","Ball St.","Jr.","P","11","69.0","22","2.87"
"","Rob Smorol","Rutgers","So.","-","11","69.0","22","2.87"
"436","Patrick Johnson","North Carolina","Sr.","P","11","62.7","20","2.87"
"437","Jonathan Meyer","Clemson","So.","P","18","47.0","15","2.87"
"438","Dayne Quist","UC Davis","Jr.","P","10","56.3","18","2.88"
"439","Andrew Heaney","Oklahoma St.","So.","P","13","50.0","16","2.88"
"440","Drew Leininger","Indiana","Jr.","P","11","43.7","14","2.88"
"","John Simms","Rice","Fr.","P","18","43.7","14","2.88"
"442","Tyler Beers","Murray St.","Jr.","P","11","56.0","18","2.89"
"","Phil Isaksson","Minnesota","Sr.","P","10","56.0","18","2.89"
"","Tyler Sanders","New Orleans","Sr.","P","13","56.0","18","2.89"
"445","Dom Macaluso","Saint Peter's","Jr.","P","12","65.3","21","2.89"
"446","Jared Kernodle","Elon","Sr.","P","10","49.7","16","2.90"
"","Brent Powers","Sam Houston St.","Sr.","P","11","49.7","16","2.90"
"448","null Anderson","Fairleigh Dickinson","So.","-","15","40.3","13","2.90"
"","Jesse Cadenhead","Charleston So.","Sr.","P","11","62.0","20","2.90"
"","Mike Strong","Oklahoma St.","Sr.","P","11","52.7","17","2.90"
"451","Charlie Benson","Massachusetts","Sr.","P","12","43.3","14","2.91"
"452","Joe Haase","Purdue","Jr.","P","13","58.7","19","2.91"
"453","Justin Hageman","Western Ky.","Fr.","P","13","71.0","23","2.92"
"454","Jared Stafford","Dallas Baptist","Sr.","P","11","74.0","24","2.92"
"455","Travis Henke","UALR","Sr.","P","12","52.3","17","2.93"
"","Josh Smith","Wichita St.","Jr.","P","11","52.3","17","2.93"
"457","Jerry Mancuso","Saint Louis","Jr.","OF","10","43.0","14","2.93"
"458","Jordan Elliott","Delaware St.","So.","P","15","76.7","25","2.93"
"459","Forrest Koumas","South Carolina","Fr.","P","13","46.0","15","2.93"
"460","Kyle Eastham","South Fla.","Sr.","P","14","61.3","20","2.94"
"461","Nate Smith","Furman","So.","P","14","49.0","16","2.94"
"462","Brandon Love","Mercer","Jr.","P","11","64.3","21","2.94"
"463","Steven Evans","Liberty","Sr.","P","12","70.3","23","2.94"
"464","Zack Smith","Saint Louis","Fr.","-","11","58.0","19","2.95"
"465","Kyle Clark","Michigan","So.","P","10","42.7","14","2.95"
"466","Josh Janway","Southeastern La.","Jr.","P","11","45.7","15","2.95"
"","Mo Wiley","Houston","Jr.","P","11","45.7","15","2.95"
"468","Matt Dermody","Iowa","So.","P","11","67.0","22","2.96"
"469","Joe Bircher","Bradley","Jr.","P","11","73.0","24","2.96"
"470","Jack Wagoner","Fla. Gulf Coast","Sr.","P","14","45.3","15","2.98"
"471","Andrew Bever","Southern Ill.","Sr.","P","11","51.3","17","2.98"
"472","Brent Moore","N.C. A&T","So.","P","10","54.3","18","2.98"
"473","Seth Grant","Appalachian St.","Jr.","P","11","63.3","21","2.99"
"474","Jed Bradley","Georgia Tech","Jr.","P","11","69.3","23","2.99"
"","Joe Robinson","UNLV","Jr.","P","11","69.3","23","2.99"
"476","Andy Ferguson","Arkansas St.","Sr.","P","10","63.0","21","3.00"
"","Matt Fyffe","Eastern Ky.","Jr.","P","12","51.0","17","3.00"
"","Karl Maas","Sacramento St.","Sr.","P","11","63.0","21","3.00"
"","Lincoln Rassi","Toledo","Jr.","P","12","57.0","19","3.00"
"","Joe Scanio","Northwestern St.","Fr.","-","17","42.0","14","3.00"
"","Drew Van Orden","Duke","Fr.","P","19","45.0","15","3.00"
"","Ben Wetzler","Oregon St.","Fr.","P","12","48.0","16","3.00"
"483","Mark Peterson","Radford","Jr.","P","11","71.7","24","3.01"
"484","Richie Goodenow","Lipscomb","Sr.","P","14","50.7","17","3.02"
"485","Zach Wentz","North Dakota St.","Jr.","1B","9","47.7","16","3.02"
"486","Cory Luckie","Auburn","Jr.","P","11","44.7","15","3.02"
"487","Brad Drust","Southern Ill.","So.","P","11","41.7","14","3.02"
"","Slade Smith","Auburn","So.","P","14","41.7","14","3.02"
"489","Desmond Russell","Jackson St.","Fr.","INF","11","71.3","24","3.03"
"490","Phil Klein","Youngstown St.","Sr.","P","11","65.3","22","3.03"
"","Mike Wisecarver","Nicholls St.","Jr.","P","13","65.3","22","3.03"
"492","Todd McInnis","Southern Miss.","Sr.","P","10","62.3","21","3.03"
"","Dan Reid","New Mexico St.","Sr.","P","11","62.3","21","3.03"
"","Matt Talley","Citadel","Sr.","P","10","62.3","21","3.03"
"495","Randy Zeigler","La.-Monroe","So.","P","12","65.0","22","3.05"
"496","Zachary Saca","Md.-East. Shore","Fr.","P","19","44.3","15","3.05"
"497","Colton Turner","Texas St.","So.","P","11","59.0","20","3.05"
"498","Alex Caravella","Pittsburgh","So.","P","19","44.0","15","3.07"
"","Connor Little","Hawaii","Jr.","P","9","44.0","15","3.07"
"","Dalton Torres","Nicholls St.","Fr.","P","20","44.0","15","3.07"
