"Rank","Name","Team","Cl","Pos","G","RBI"
"","Bryan Patterson","Hawaii Hilo","Sr.","INF","42","29"
"","Daniel Petitbon","Nova Southeastern","Jr.","OF","31","29"
"","Corey Phelan","Millersville","Sr.","OF","44","29"
"","Ryan Porter","Rockhurst","Jr.","1B","43","29"
"","Tim Rainey","Tarleton St.","Sr.","OF","46","29"
"","Sean Reilly","Rollins","Jr.","C","43","29"
"","Jake Rierson","Limestone","Jr.","P","52","29"
"","Jarrod Rose","Southern Ind.","Jr.","C","45","29"
"","Cameron Scott","Columbus St.","So.","2B","46","29"
"","Alex Todd","Sonoma St.","Sr.","INF","44","29"
"","Omar Velazquez","Adelphi","Sr.","OF","42","29"
"","Michael Vinson","Delta St.","So.","DH","46","29"
"","Austin Voros","Tex. A&M Int'l","Jr.","OF","39","29"
"","Kyle Wallace","Colorado Mines","Fr.","INF","44","29"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","29"
"","Kyle Webb","Concord","Sr.","INF","42","29"
"","David Weinstein","Bellarmine","Sr.","DH","39","29"
"","Joe Wendle","West Chester","Jr.","SS","39","29"
"","Cory Wilkins","Miles","Sr.","OF","31","29"
"","J.J. Williams","UNC Pembroke","Jr.","INF","47","29"
"","James Young","Barry","So.","3B","47","29"
"476","Raphael Amey","Kentucky St.","Jr.","SS","38","28"
"","Tyler Anthony","Central Mo.","Sr.","OF","46","28"
"","Tyler Bean","Washburn","Jr.","INF","40","28"
"","Cedric Belt","Lincoln (MO)","Sr.","OF","40","28"
"","Derek Bettinson","Northwest Nazarene","Jr.","INF","37","28"
"","Jeremy Bohnett","Harding","Fr.","OF","38","28"
"","David Buchanan","West Ga.","Sr.","C","45","28"
"","Michael Bueker","Mars Hill","Jr.","INF","48","28"
"","Josh Caffrey","Missouri S&T","Jr.","C","32","28"
"","Garrett Campfield","West Tex. A&M","Sr.","C","45","28"
"","Tyler Cappelmann","Francis Marion","Sr.","INF","47","28"
"","Travis Cariveau","St. Cloud St.","So.","INF","36","28"
"","Patrick Chamberlain","Stillman","So.","C","39","28"
"","Kevin Childs","Lander","Jr.","OF","37","28"
"","Lyndon Coleman","Barry","Jr.","OF","41","28"
"","Curran Collins","Quincy","Jr.","INF","33","28"
"","Trey Drewery","Tusculum","Fr.","OF","38","28"
"","Anders Engberg","Minn. Duluth","Jr.","INF","33","28"
"","Wade Finke","St. Joseph's (IN)","Sr.","INF","37","28"
"","Fernando Garcia","Ark.-Monticello","Jr.","INF","43","28"
"","Jason Hamm","Saint Leo","Sr.","C","42","28"
"","Nash Hutter","Shepherd","Jr.","OF","33","28"
"","Brandon James","Lake Erie","Sr.","OF","41","28"
"","David Kaplan","Metro St.","So.","2B","40","28"
"","Garret Keenan","Saint Rose","Sr.","OF","41","28"
"","Billy Kellum","Elizabeth City St.","Sr.","OF","41","28"
"","Shane Kroker","Cal St. Chico","Jr.","INF","38","28"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","28"
"","Michael Leviseur","Seton Hill","Jr.","C","34","28"
"","Aaron Lupia","Indiana (PA)","Fr.","C","45","28"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","28"
"","Jacob Mays","Concord","Jr.","P","42","28"
"","Will McGinnis","Delta St.","Sr.","OF","43","28"
"","Brian Moon","Cal St. L.A.","Sr.","SS","43","28"
"","Andy Onufrak","Augusta St.","Sr.","SS","41","28"
"","Travis Parsons","Wayne St. (NE)","Jr.","OF","29","28"
"","Joel Potts","Drury","Sr.","3B","45","28"
"","Vern Powell","Indiana (PA)","Sr.","3B","46","28"
"","Ryan Powers","Saint Leo","Sr.","INF","44","28"
"","Michael Price","Armstrong","Sr.","OF","48","28"
"","Dale Ricketts","North Ala.","Sr.","C","32","28"
"","Dan Robinson","Dominican (NY)","Sr.","OF","39","28"
"","Micah Robinson","Limestone","Sr.","INF","52","28"
"","Cale Rogers","Wingate","Sr.","OF","54","28"
"","Anthony Santa","Saint Leo","Jr.","INF","43","28"
"","Eric Schlitter","Bridgeport","Jr.","1B","33","28"
"","Walton Shepherd","Lenoir-Rhyne","Fr.","INF","37","28"
"","Kyle Stoudt","Kutztown","Fr.","-","35","28"
"","Matt Umba","Wilmington (DE)","Sr.","SS","40","28"
"","Tyler Wharton","Ohio Valley","So.","INF","34","28"
