"Rank","Name","Team","Cl","Pos","App","IP","SO"
"255","Dan Bartlett","Caldwell","Fr.","P","9","53.3","48"
"","Brandon Farquhar","Lander","Sr.","P","14","55.0","48"
"","Uriah Fisher","Central Okla.","Jr.","P","11","54.7","48"
"","Shaun Gough","Saint Leo","Jr.","P","12","61.7","48"
"","Christian Hicks","Lenoir-Rhyne","So.","P","14","69.7","48"
"","Logan Holthaus","Harding","So.","P","10","63.3","48"
"","Kody Kennedy","Mont. St. Billings","Sr.","P","10","47.7","48"
"","Steve Landell","Southern Conn. St.","So.","P","7","46.0","48"
"","Landon Patterson","St. Edward's","Sr.","P","14","68.3","48"
"","Chris Pfau","Lincoln (MO)","Jr.","P","10","47.3","48"
"","Drew Provence","North Greenville","Jr.","P","9","61.0","48"
"","Taylor Robinson","Mass.-Lowell","So.","P","12","54.0","48"
"","Drew Shaulis","Pitt.-Johnstown","Sr.","OF","10","62.0","48"
"","John Tuttle","Catawba","Fr.","P","14","62.3","48"
"","Zack Whitman","Ga. Southwestern","Sr.","P","13","70.3","48"
"","Kendall Wilson","Kentucky St.","Jr.","P","8","45.3","48"
"271","Dustin Bryant","Ala.-Huntsville","Sr.","P","16","51.7","47"
"","Kyle Butler","Montevallo","Sr.","P","12","74.7","47"
"","Jason Cochcroft","S.C. Aiken","Sr.","C","14","68.0","47"
"","Kyle DiMartino","Dixie St.","Jr.","P","22","43.3","47"
"","Ryan Frevret","Ala.-Huntsville","Sr.","P","11","66.0","47"
"","Derek Hansen","Augustana (SD)","So.","INF","9","40.0","47"
"","Austin Johnson","Lincoln Memorial","So.","P","11","70.7","47"
"","Nik Jurado","Mo. Western St.","Jr.","P","14","56.3","47"
"","Ethan Lutz","Incarnate Word","Jr.","P","15","50.3","47"
"","John Markley","Winston-Salem","So.","P","20","54.0","47"
"","Trent Mertz","Kutztown","Sr.","P","11","42.0","47"
"","Dan Murphy","Bentley","Jr.","P","17","82.0","47"
"","Andy Noga","East Stroudsburg","So.","P","10","56.3","47"
"","Branden Petrangelo","San Fran. St.","Jr.","P","14","80.3","47"
"","Chase Pickering","West Virginia St.","Jr.","P","9","40.3","47"
"","Anthony Pisano","Concordia (NY)","So.","P","11","54.7","47"
"","Brad Schnelle","Seton Hill","Fr.","P","10","51.3","47"
"","Jammie Sexton","West Ga.","Fr.","-","14","72.3","47"
"","Jared Slaven","West Ga.","Fr.","-","10","55.3","47"
"","Greg Smith","Mars Hill","Sr.","P","11","68.7","47"
"","Todd Stachura","Neb.-Kearney","Sr.","P","11","75.7","47"
"","John Wenker","Winona St.","Jr.","P","8","41.7","47"
"","Austen Wisroth","Wayne St. (NE)","Jr.","P","9","51.0","47"
"","Jordan Yohn","Lock Haven","Sr.","P","9","50.7","47"
"295","Nick Banaugh","San Fran. St.","Sr.","P","13","71.7","46"
"","Brodie Brumley","Harding","Sr.","P","11","57.0","46"
"","Ben Currie","Wingate","Fr.","P","16","71.0","46"
"","Adrian Dominguez","Southwestern Okla.","Jr.","P","12","43.3","46"
"","Blake Dunham","Colorado Mines","So.","P","11","51.7","46"
"","Breylon Emory","Claflin","So.","P","5","34.3","46"
"","T.J. Harbuck","Palm Beach Atl.","So.","P","11","53.0","46"
"","Micah Kellogg","Flagler","Jr.","P","17","72.3","46"
"","R. Maddox","Shaw","Fr.","-","12","69.0","46"
"","Joe Mantoni","Merrimack","So.","P","8","50.3","46"
"","Jonathan McDaniel","Pfeiffer","Sr.","P","14","61.0","46"
"","Matt Medeiros","Mary","Sr.","P","10","60.0","46"
"","null Mendez","Southern N.H.","Fr.","-","10","51.3","46"
"","Alex Schell","Pittsburg St.","Sr.","P","10","62.7","46"
"","Tom Sirois","Post","Sr.","P","8","46.0","46"
"","Josh Wedesky","Wayne St. (MI)","Jr.","P","9","48.3","46"
"311","Nick Avila","Nova Southeastern","Sr.","P","15","82.0","45"
"","Josh Branstetter","Delta St.","So.","P","10","67.7","45"
"","Kenny Brengle","Northwest Mo. St.","Sr.","P","12","56.7","45"
"","Jared Christensen","Colorado Mesa","Jr.","P","12","60.3","45"
"","Brandon Crumbley","West Ga.","Fr.","-","14","57.7","45"
"","Zack Gronek","Missouri S&T","Jr.","P","11","64.0","45"
"","Andrew Guest","Erskine","Sr.","P","15","62.0","45"
"","Chandler Hall","Armstrong","Jr.","P","15","82.0","45"
"","Eric Haughn","Stonehill","Jr.","P","9","60.0","45"
