"Rank","Name","Team","Cl","Pos","G","HBP"
"","Patrick Grady","Lander","Fr.","OF","36","6"
"","George Hajjar","Felician","Jr.","OF","44","6"
"","Josh Haley","UNC Pembroke","Jr.","OF","48","6"
"","Lee Harris","Henderson St.","Sr.","INF","38","6"
"","David Harvey","Morehouse","Jr.","OF","37","6"
"","Kenneth Hatfield","Miles","Sr.","INF","37","6"
"","Steven Helget","Minn. St. Mankato","Sr.","C","39","6"
"","Kris Henderson","Central Wash.","Sr.","1B","32","6"
"","Zane Hensley","Tarleton St.","Sr.","DH","46","6"
"","Pete Hernandez","Lander","Sr.","DH","14","6"
"","Eric Herrera","Lynn","Jr.","INF","39","6"
"","Nate Hewes","Augustana (SD)","So.","INF","43","6"
"","Zach Hibbard","Northwest Nazarene","Fr.","-","41","6"
"","Kolten Hoffman","Gannon","Sr.","INF","38","6"
"","Chris Holloway","Rollins","Jr.","OF","42","6"
"","Vince Hungerford","Cal St. Stanislaus","Sr.","3B","30","6"
"","Jordan Inamasu","Hawaii Pacific","So.","C","30","6"
"","Jose Jauregui","Cal St. Dom. Hills","So.","INF","34","6"
"","Joseph Jobst","West Virginia St.","Sr.","INF","32","6"
"","Cory Johnson","Bellarmine","Fr.","OF","35","6"
"","Taylor Johnson","St. Edward's","So.","2B","44","6"
"","Taylor Kaprive","Palm Beach Atl.","So.","3B","41","6"
"","Cody Kempker","Lincoln (MO)","Jr.","INF","34","6"
"","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","6"
"","Miles Kizer","Western Ore.","Sr.","C","15","6"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","6"
"","Jordan Kontz","Southwest Minn. St.","Fr.","C","26","6"
"","Dustin Ladyman","Rockhurst","Sr.","INF","33","6"
"","Mark Lane","Bentley","Jr.","OF","34","6"
"","Alex Latchum","Chestnut Hill","Jr.","2B","35","6"
"","Zak Leonhardt","Angelo St.","Sr.","INF","46","6"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","6"
"","Adam Lewton","West Va. Wesleyan","Sr.","C","36","6"
"","Tito Lluberes","St. Anselm","Fr.","INF","35","6"
"","Aaron Lupia","Indiana (PA)","Fr.","C","45","6"
"","Preston Lyon","Pfeiffer","Jr.","INF","49","6"
"","Andy Marinelli","West Ga.","Fr.","-","48","6"
"","Eric Maupin","N.M. Highlands","Jr.","INF","42","6"
"","Will McCaleb","St. Edward's","Jr.","SS","44","6"
"","Brian McCulloch","Mo.-St. Louis","Sr.","1B","33","6"
"","Will McGinnis","Delta St.","Sr.","OF","43","6"
"","Luke McKay","Georgia College","Jr.","INF","40","6"
"","Jamie McNeill","Hillsdale","Sr.","INF","35","6"
"","Zach Mcvadon","Nyack","Sr.","INF","34","6"
"","Carlos Medina","Millersville","Jr.","INF","38","6"
"","Jason Mickley","Salem Int'l","Sr.","OF","34","6"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","6"
"","Brian Milliman","Mansfield","Jr.","1B","31","6"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","6"
"","Dillon Ness","Mont. St. Billings","Fr.","INF","38","6"
"","Pat O'Hearn","Hillsdale","Jr.","OF","34","6"
"","Hugo Olivares","Ohio Valley","Fr.","OF","33","6"
"","Patrick Oliver","Neb.-Kearney","Sr.","OF","38","6"
"","Andy Onufrak","Augusta St.","Sr.","SS","41","6"
"","Brian Patrick","Lincoln (MO)","Sr.","3B","41","6"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","6"
"","David Perlleshi","Concordia (NY)","Jr.","INF","31","6"
"","Daniel Petitbon","Nova Southeastern","Jr.","OF","31","6"
"","Dan Plecki","Truman","Fr.","-","41","6"
"","Michael Price","Armstrong","Sr.","OF","48","6"
"","Greg Pron","West Fla.","Sr.","OF","48","6"
"","Anthony Ragos","Davis & Elkins","So.","OF","42","6"
"","Phil Ragusa","Caldwell","So.","C","17","6"
"","Bryon Ramsey","Miles","Sr.","1B","36","6"
"","Matt Ranaudo","Bridgeport","Jr.","P","33","6"
"","Tyler Reagan","West Tex. A&M","Sr.","INF","29","6"
"","Mike Reese","Truman","Sr.","2B","43","6"
"","Sean Reilly","Rollins","Jr.","C","43","6"
"","Jason Reitenbach","Findlay","Sr.","INF","43","6"
"","Michael Rezin","Arkansas Tech","Jr.","1B","30","6"
"","Elliott Riege","Colorado Mines","Sr.","INF","42","6"
"","Demarcus Rieves","Ark.-Monticello","Jr.","INF","28","6"
"","Claudis Robinson","Elizabeth City St.","Jr.","INF","38","6"
"","Eric Rodriguez","Benedict","Sr.","OF","34","6"
"","Matt Roohan","Incarnate Word","Sr.","INF","47","6"
"","Zach Rowles","Minn. St. Mankato","Sr.","INF","41","6"
"","Shannon Rush","Virginia St.","Sr.","INF","44","6"
"","Austin Rycroft","Central Okla.","Jr.","OF","40","6"
"","Ralph Sanchez","Concord","Fr.","INF","38","6"
"","Ryan Saxon","Anderson (SC)","Sr.","2B","50","6"
"","Jeff Schmidt","East Central","Jr.","INF","33","6"
"","Felix Segovia","Neb.-Kearney","Sr.","C","31","6"
"","Aarin Sharpe","Pfeiffer","So.","INF","45","6"
"","Deon Simms","Albany St. (GA)","Fr.","2B","17","6"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","6"
"","Jesse Smith","Shippensburg","Sr.","C","45","6"
"","Patrick Smith","Albany St. (GA)","So.","OF","21","6"
"","Troy Snitker","North Ga.","Jr.","C","49","6"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","6"
"","Tyler Splichal","Neb. Omaha","So.","INF","39","6"
"","Denver Stovall","North Ga.","Sr.","OF","25","6"
"","Brandon Tangney","Rockhurst","So.","OF","42","6"
"","James Tedder","Wingate","So.","INF","51","6"
"","Bradley Thomas","Tuskegee","Fr.","P","33","6"
"","Trevor Thorstensen","Adelphi","Sr.","OF","42","6"
"","Brett Underwood","Catawba","Jr.","INF","53","6"
"","Cass Via","Ouachita Baptist","Sr.","INF","46","6"
"","Lee Voth-Gaeddert","Missouri S&T","Jr.","OF","38","6"
"","Trent Wagner","Tex. A&M-Kingsville","So.","OF","35","6"
"","Kyle Wallace","Colorado Mines","Fr.","INF","44","6"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","6"
"","Noah Watkins","Columbus St.","Sr.","C","21","6"
"","Jeremy Williams","Tuskegee","So.","P","32","6"
"","Maury Wilmes","Drury","Jr.","INF","41","6"
"","Brandon Wolfe","West Chester","Sr.","C","41","6"
"","Joshua Wong","Hawaii Hilo","So.","INF","39","6"
"","Taylor Wrenn","Tampa","Jr.","SS","21","6"
"","Zac Zdanowicz","Henderson St.","So.","OF","41","6"
"","Robbie Zinsmeister","Indiana (PA)","So.","SS","46","6"
"","Chris Zittrouer","Armstrong","So.","INF","47","6"
"","Julio Zubillaga","Catawba","Fr.","2B","51","6"
"","null null","Southern Ark.","---","C","28","6"
