"Rank","Name","Team","Cl","Pos","G","SB","CS"
"","Brett Maxwell","Georgia St.","Sr.","OF","41","9","4"
"","Steve May","Army","Sr.","INF","43","9","1"
"","L.J. Mazzilli","Connecticut","So.","INF","44","9","8"
"","James McCann","Arkansas","Jr.","C","41","9","5"
"","Jeff McVaney","Texas St.","Jr.","OF","44","9","2"
"","Cole McWhorter","Utah Valley","So.","INF","25","9","0"
"","Chris Migani","Quinnipiac","Jr.","-","41","9","3"
"","Kevin Mihalik","Lehigh","Sr.","1B","44","9","2"
"","Brett Morgan","UC Davis","Sr.","OF","36","9","7"
"","Jonathan Murphy","Jacksonville","Jr.","OF","42","9","2"
"","Brendan Norton","La Salle","Jr.","INF","41","9","4"
"","Andre Oliver","Prairie View","So.","INF","26","9","1"
"","Matt Ozanne","Santa Clara","So.","OF","35","9","2"
"","Nick Popescu","Texas Tech","Sr.","INF","40","9","3"
"","Bryce Redeker","Miami (OH)","Jr.","OF","44","9","3"
"","Jeff Roy","Rhode Island","Fr.","OF","37","9","3"
"","Daniel Russell","Eastern Mich.","So.","OF","42","9","2"
"","Jesse Santo","Missouri","Sr.","INF","42","9","3"
"","Jonah Schmidt","Missouri","Sr.","OF","44","9","4"
"","Austin Schultz","Western Caro.","Sr.","INF","42","9","2"
"","Blake Seguin","Jacksonville St.","Sr.","SS","42","9","3"
"","Tyler Spillner","Purdue","Jr.","OF","43","9","5"
"","Cam Squires","Yale","So.","OF","33","9","2"
"","Jaren Sustar","Charleston So.","So.","INF","43","9","0"
"","Kenny Swab","Virginia","Sr.","C","38","9","0"
"","Alex Swim","Elon","So.","C","47","9","4"
"","James Taylor","Norfolk St.","So.","OF","39","9","2"
"","Jose Torralba","Canisius","Fr.","INF","38","9","1"
"","Ryan Walker","Texas-Arlington","Fr.","INF","45","9","5"
"","Trent Whitehead","East Carolina","Sr.","OF","44","9","5"
"","Mac Williamson","Wake Forest","So.","OF","43","9","3"
"","Jacob Wilson","Memphis","Jr.","INF","44","9","0"
"","Greg Zebrack","Penn","So.","OF","39","9","2"
"479","Preston Aldridge","Saint Peter's","Jr.","OF","39","8","6"
"","Michael Amanti","Quinnipiac","Sr.","INF","40","8","3"
"","Beau Amaral","UCLA","So.","OF","38","8","3"
"","Aaron Attaway","Western Caro.","Fr.","INF","42","8","2"
"","Justin Barney","Alcorn St.","So.","OF","23","8","1"
"","Phil Bauer","Xavier","Sr.","INF","38","8","3"
"","Todd Baumgartner","Arkansas St.","Sr.","OF","46","8","1"
"","Brandon Bayardi","UNLV","So.","OF","38","8","3"
"","Sean Bignall","UALR","Jr.","OF","42","8","7"
"","Daniel Bowman","Coastal Caro.","Jr.","OF","43","8","2"
"","C.T. Bradford","Mississippi St.","Fr.","OF","43","8","5"
"","Forrest Brandt","Davidson","Fr.","OF","43","8","2"
"","Lamar Bridges","Alabama A&M","So.","OF","37","8","1"
"","Adam Bryant","Troy","Sr.","INF","44","8","3"
"","Ryan Campbell","NYIT","Jr.","INF","32","8","4"
"","Pete Cappetta","Illinois","Sr.","OF","32","8","1"
"","Tyler Carpenter","UTSA","Sr.","OF","44","8","3"
"","Justyn Carter","Saint Peter's","Jr.","INF","12","8","2"
"","Ennis Coble","Dartmouth","So.","INF","36","8","0"
"","Cameron Cockman","UNC Wilmington","Jr.","INF","40","8","2"
"","Andrew Collazo","Texas A&M","Sr.","INF","33","8","0"
"","Joe Conforti","Wagner","Sr.","OF","36","8","2"
"","Tyler Cook","Winthrop","Sr.","2B","43","8","5"
"","Brandon Cotten","Rider","Jr.","OF","36","8","5"
"","Tyler Coughenour","Wichita St.","Fr.","INF","38","8","2"
"","Robert Crews","Stetson","Jr.","INF","43","8","2"
"","Anthony D'Alessandro","Duke","Fr.","OF","45","8","1"
"","Scott Davis","Delaware St.","Jr.","INF","43","8","1"
"","Joe De Pinto","Southern California","Sr.","INF","43","8","3"
"","Dustin DeMuth","Indiana","Fr.","INF","44","8","4"
"","Carmine Devito","Fairfield","Sr.","DH","36","8","5"
"","Konstantine Diamaduros","Wofford","Jr.","INF","44","8","3"
"","Dan Dispensa","Western Ill.","So.","OF","41","8","4"
"","Casanova Donaldson","Tennessee Tech","Sr.","OF","41","8","2"
"","Bob Donato","Bucknell","Jr.","OF","46","8","2"
"","Taylor Dugas","Alabama","Jr.","OF","47","8","4"
"","Andrew Eckhardt","Butler","So.","OF","35","8","2"
"","Brandon Engelhardt","Penn","Fr.","2B","40","8","1"
"","Chris Epps","Clemson","Sr.","OF","42","8","2"
"","Pat Fitzgerald","Towson","Fr.","2B","37","8","3"
"","Ryan Fleming","Georgia St.","Sr.","OF","44","8","1"
"","Nolan Gaige","Albany (NY)","So.","P","37","8","1"
"","Mike Garza","Georgetown","So.","INF","44","8","5"
"","Alex Godshall","Columbia","Sr.","INF","37","8","0"
"","Zach Granite","Seton Hall","Fr.","OF","41","8","3"
"","Brad Greve","LIU Brooklyn","Jr.","INF","41","8","4"
"","Alex Guerra","Radford","Sr.","INF","43","8","4"
"","Ben Hammer","Toledo","Jr.","OF","42","8","1"
"","Ryan Holland","Maryland","Jr.","INF","45","8","4"
"","Ian Hundley","Dayton","So.","OF","35","8","1"
"","Angel Ibanez","Tex.-Pan American","So.","INF","37","8","6"
"","Matt Igara","Western Ill.","Jr.","OF","44","8","4"
"","Sherman Johnson","Florida St.","Jr.","2B","44","8","2"
"","Darryl Johnson","Prairie View","Jr.","OF","27","8","0"
"","Doug Jones","Appalachian St.","Jr.","INF","36","8","0"
"","Kevin Kean","UMBC","Fr.","OF","34","8","1"
"","Tony Kemp","Vanderbilt","Fr.","OF","43","8","4"
"","Joe Koch","Kent St.","Sr.","OF","40","8","1"
"","Hank Larue","Middle Tenn.","Fr.","3B","44","8","1"
"","Alex Lee","Wofford","Sr.","INF","44","8","1"
"","Josh Liles","Tennessee","Sr.","OF","41","8","5"
"","Michael Lorenzen","Cal St. Fullerton","Fr.","OF","35","8","5"
"","Adrian Lorenzo","Penn","Sr.","OF","38","8","3"
"","Jake Lowery","James Madison","Jr.","C","45","8","3"
"","Sean Madigan","UC Irvine","Sr.","OF","40","8","5"
"","Matt Mancini","Saint Peter's","So.","P","36","8","0"
"","Deven Marrero","Arizona St.","So.","INF","39","8","3"
"","Jason Martin","San Jose St.","Sr.","OF","46","8","2"
"","Nick Martinez","Fordham","Jr.","INF","40","8","4"
"","Thomas McCarthy","Kentucky","Jr.","INF","45","8","3"
"","Mike Mercurio","High Point","So.","INF","35","8","3"
"","Brandon Mikell","Texas Southern","Sr.","OF","35","8","1"
"","Seth Miller","Florida St.","So.","OF","38","8","0"
"","David Miller","Purdue","Jr.","INF","39","8","3"
"","Matt Mirabal","Illinois St.","Jr.","C","35","8","1"
"","John Murphy","Sacred Heart","So.","INF","40","8","3"
"","Garrett Nash","Oregon St.","So.","OF","33","8","2"
"","Chris O'Dowd","Dartmouth","So.","C","38","8","3"
"","Guiseppe Papaccio","Seton Hall","So.","INF","37","8","0"
"","Kenton Parmley","Southeast Mo. St.","Jr.","INF","41","8","2"
"","Cameron Perkins","Purdue","So.","INF","42","8","3"
"","Peter Poole","Savannah St.","So.","OF","39","8","0"
"","Joshua Powell","Alcorn St.","Fr.","INF","17","8","0"
"","Cyle Rasmus","Elon","Jr.","INF","29","8","1"
"","Braeden Riley","Sam Houston St.","Sr.","INF","46","8","4"
"","Jimmy Roesinger","Dayton","Sr.","INF","40","8","4"
"","Eddie Rohan","Winthrop","Sr.","C","45","8","1"
"","Taylor Roy","Southern U.","Jr.","OF","37","8","2"
"","Desmond Russell","Jackson St.","Fr.","INF","39","8","2"
"","Andrew Russell","Lehigh","Sr.","OF","45","8","5"
"","Jeff Schaffert","Centenary (LA)","Jr.","C","41","8","4"
"","Aaron Schultz","TCU","Jr.","OF","41","8","2"
"","Sam Sciamarelli","LIU Brooklyn","Sr.","OF","41","8","3"
"","Antonio Scott","Savannah St.","So.","OF","27","8","1"
"","Bradley Shaban","James Madison","So.","INF","44","8","2"
"","Mitchell Shifflett","Virginia","Fr.","OF","39","8","0"
"","Nate Smith","Evansville","Sr.","OF","29","8","4"
"","Frank Solis","Jackson St.","Jr.","3B","39","8","2"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","8","3"
"","Trevor Stevens","Northwestern","Jr.","1B","39","8","2"
"","Pat Talbut","St. John's (NY)","So.","INF","31","8","1"
"","Cody Terry","UT Martin","Sr.","SS","41","8","1"
"","Sanchez Tucker","Alabama A&M","So.","P","36","8","4"
"","Drew Turocy","Akron","Jr.","OF","41","8","3"
"","Anthony Vega","Manhattan","So.","OF","37","8","5"
"","Ryan Waldhart","Oakland","Sr.","INF","33","8","1"
"","Marcus Way","Harvard","Jr.","1B","45","8","4"
"","Clark Wise","Wofford","So.","OF","39","8","1"
"","Garrett Wittels","FIU","Jr.","INF","44","8","3"
