"Rank","Name","Team","Cl","Pos","G","SF"
"","Cameron Robulack","Delta St.","Jr.","1B","44","3"
"","Cale Rogers","Wingate","Sr.","OF","54","3"
"","Jarrod Rose","Southern Ind.","Jr.","C","45","3"
"","Steven Rose","Truman","Jr.","SS","42","3"
"","Bryan Rose","Northern Ky.","Sr.","OF","42","3"
"","Blaine Rosenberg","Montevallo","Jr.","C","44","3"
"","Matt Rossi","Clarion","Jr.","1B","35","3"
"","Zach Rowles","Minn. St. Mankato","Sr.","INF","41","3"
"","Todd Rubendall","Kutztown","So.","INF","32","3"
"","Chad Sage","North Ga.","Sr.","OF","32","3"
"","Anthony Santa","Saint Leo","Jr.","INF","43","3"
"","Martin Sartin","Neb. Omaha","Jr.","OF","44","3"
"","Kyle Saul","UC San Diego","Sr.","C","45","3"
"","Brett Scarberry","Anderson (SC)","So.","C","30","3"
"","Ryan Shelton","Colorado Mesa","Sr.","OF","34","3"
"","J.C. Shepherd","Bluefield St.","Jr.","OF","35","3"
"","Caleb Shore","Belmont Abbey","Jr.","OF","36","3"
"","William Smalls","Albany St. (GA)","Jr.","SS","52","3"
"","Grant Smith","Saint Rose","Sr.","INF","34","3"
"","Billy Smith","West Virginia St.","So.","OF","33","3"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","3"
"","Kevin Spatkowski","Southern N.H.","Jr.","C","42","3"
"","C.J. Stabler","King (TN)","Sr.","INF","41","3"
"","Tyler Steffan","Mary","Jr.","OF","36","3"
"","Jon Stockton","Concordia-St. Paul","Sr.","OF","29","3"
"","Jeremy Sudbeck","Minn. St. Mankato","Jr.","OF","35","3"
"","Kale Sumner","Hawaii Pacific","So.","INF","45","3"
"","Kenny Swanson","Truman","Sr.","OF","42","3"
"","Nick Sydnor","Concord","Fr.","OF","44","3"
"","Brandon Tangney","Rockhurst","So.","OF","42","3"
"","James Tedder","Wingate","So.","INF","51","3"
"","Nateshon Thomas","Bluefield St.","So.","INF","23","3"
"","Michael Tomko","Gannon","So.","OF","37","3"
"","Jenzen Torres","Cal Poly Pomona","Jr.","C","41","3"
"","Kyle Turnier","Pace","Jr.","INF","39","3"
"","Tyler Uphouse","Shippensburg","Jr.","INF","46","3"
"","Mike Vanchieri","Hillsdale","So.","OF","18","3"
"","Jose Vazquez","Florida Tech","Jr.","OF","38","3"
"","Mark Waldron","Neb. Omaha","Jr.","OF","30","3"
"","Mike Wallace","St. Augustine's","Sr.","OF","45","3"
"","Derrick Webb","Central Wash.","Fr.","-","38","3"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","3"
"","Randy Wells","Sonoma St.","Sr.","INF","43","3"
"","Joe Wendle","West Chester","Jr.","SS","39","3"
"","Tyler Wharton","Ohio Valley","So.","INF","34","3"
"","Michael White","Stonehill","Jr.","OF","43","3"
"","Jordan Williams","Colorado Mines","So.","C","40","3"
"","Mike Williams","Newman","Sr.","INF","46","3"
"","Abe Williams","Abilene Christian","Sr.","C","40","3"
"","Jeremy Williams","Tuskegee","So.","P","32","3"
"","John Willner","Valdosta St.","Sr.","OF","47","3"
"","Kyle Wilson","Findlay","Sr.","OF","43","3"
"","Matt Winter","Tex. A&M Int'l","Sr.","C","30","3"
"","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","3"
"","Brandon Wolfe","West Chester","Sr.","C","41","3"
"","Thomas Wood","San Fran. St.","Jr.","2B","37","3"
"","Robert Wronski","Southern N.H.","Sr.","P","43","3"
"","Zac Zdanowicz","Henderson St.","So.","OF","41","3"
"","Mike Zeiner","Stonehill","So.","SS","43","3"
