"Rank","Name","Team","Cl","Pos","App","IP","SO"
"","Brent Powers","Sam Houston St.","Sr.","P","11","49.7","45"
"","Matt Price","South Carolina","Jr.","P","23","32.0","45"
"","Lincoln Rassi","Toledo","Jr.","P","12","57.0","45"
"","Thomas Taylor","Kansas","So.","P","13","50.3","45"
"436","John Anderson","Illinois","Sr.","P","12","68.7","44"
"","Jeremy Brown","VMI","Jr.","P","12","57.7","44"
"","Tony Bucciferro","Michigan St.","Jr.","P","11","73.7","44"
"","Tim Bury","Dayton","Jr.","P","14","53.3","44"
"","Evan Cox","Central Ark.","Sr.","P","15","52.3","44"
"","Eddie Gray","St. Bonaventure","So.","P","9","62.0","44"
"","Matt Hamann","Belmont","Jr.","P","19","61.0","44"
"","Pierce Johnson","Missouri St.","So.","P","12","50.0","44"
"","Zack Jones","San Jose St.","So.","P","16","32.7","44"
"","Corey Knebel","Texas","Fr.","P","23","39.0","44"
"","Dave Krasnowiecki","Central Conn. St.","Sr.","P","9","53.7","44"
"","Derek Lamacchia","Quinnipiac","So.","P","9","51.7","44"
"","Jordan Lewis","Houston","Jr.","P","12","67.7","44"
"","Blake McFarland","San Jose St.","Sr.","P","11","60.0","44"
"","Tyler McSwain","UNC Wilmington","Jr.","P","12","58.7","44"
"","Tyler Mizenko","Winthrop","Jr.","P","11","63.3","44"
"","Andy Moye","Ga. Southern","Sr.","P","11","50.0","44"
"","Vince Newton","Ark.-Pine Bluff","Jr.","P","15","59.0","44"
"","Logan Odom","Southern California","Jr.","P","11","64.3","44"
"","Brian Pendergast","Fordham","Sr.","P","11","71.3","44"
"","Nathaniel Roe","Rutgers","So.","-","11","67.7","44"
"","Chris Rowley","Army","So.","P","10","59.7","44"
"","Eric Semmelhack","Milwaukee","So.","P","10","57.3","44"
"","Zach Sterling","Western Ill.","Jr.","P","13","58.0","44"
"","Geoffrey Thomas","Southern Miss.","So.","P","11","70.3","44"
"","Adrian Turner","Grambling","Sr.","INF","11","61.3","44"
"","Jason Van Skike","Indiana St.","Sr.","P","12","62.0","44"
"","Jack Wagoner","Fla. Gulf Coast","Sr.","P","14","45.3","44"
"","Bret Williams","Richmond","So.","P","11","72.0","44"
"","Taylor Wood","Cornell","Sr.","P","10","60.7","44"
"466","Michael Allegreti","Savannah St.","Sr.","P","11","51.3","43"
"","Brad Allen","Arkansas St.","Sr.","P","12","62.3","43"
"","Chase Bebout","Duke","So.","P","8","35.0","43"
"","John Bergwall","Coppin St.","Sr.","P","15","58.7","43"
"","Max Brittenham","Mt. St. Mary's","Sr.","P","11","76.0","43"
"","Alex Caravella","Pittsburgh","So.","P","19","44.0","43"
"","Josh Carr","Kennesaw St.","Jr.","P","10","55.0","43"
"","Kevin Clarke","UTSA","Sr.","P","17","34.3","43"
"","Matt Click","McNeese St.","Fr.","-","11","71.7","43"
"","Taylor Cole","BYU","So.","P","11","65.0","43"
"","Chad Gallagher","Marist","Jr.","P","11","76.7","43"
"","Tyler Gebler","Rutgers","So.","P","11","81.3","43"
"","Ryne Harper","Austin Peay","Sr.","P","19","33.0","43"
"","Jimmy Hodgskin","Troy","Fr.","P","11","53.0","43"
"","Jesse Holiday","Southern U.","So.","P","10","45.7","43"
"","Tyler Johnson","Stony Brook","Jr.","P","10","56.7","43"
"","Tim Kelley","Wichita St.","Sr.","P","8","42.7","43"
"","Zach Kraham","Albany (NY)","Jr.","P","10","57.7","43"
"","Robert Lake","Winthrop","Sr.","P","13","69.7","43"
"","Seth Lugo","Centenary (LA)","Jr.","P","12","48.0","43"
"","Mason Melatokis","Northwestern St.","So.","P","22","37.3","43"
"","Hoby Milner","Texas","So.","P","17","55.3","43"
"","James Nygren","Oregon St.","Sr.","P","10","50.0","43"
"","Dillon Overton","Oklahoma","Fr.","P","16","56.7","43"
"","Austin Perez","Stetson","Fr.","P","17","42.0","43"
"","Caleb Reed","Mississippi St.","Jr.","P","20","36.0","43"
"","Taylor Rogers","Kentucky","So.","P","11","63.0","43"
"","Justin Russell","Citadel","Fr.","P","11","54.3","43"
"","Johnny Schoberl","Navy","So.","P","11","51.3","43"
"","Jordan Underwood","Southeast Mo. St.","Sr.","P","11","62.0","43"
"","Eric Van Wyk","La Salle","Jr.","P","10","61.0","43"
"","Joe Willman","Northern Colo.","Jr.","P","9","55.3","43"
"","Dan Zlotnick","Marist","So.","P","11","48.3","43"
"499","Evan Abrecht","Air Force","Jr.","P","11","66.0","42"
"","Barrett Astin","Arkansas","Fr.","P","19","39.0","42"
"","Chris Bassitt","Akron","Jr.","P","22","29.0","42"
"","John Cornely","Wofford","Sr.","P","18","32.3","42"
"","Kevin Crumb","Buffalo","Jr.","P","10","55.0","42"
"","Tyler Deetjen","Valparaiso","Jr.","P","11","74.7","42"
"","Kyle Fitzpatrick","FIU","Jr.","P","11","49.0","42"
"","Jason Forjet","Fla. Gulf Coast","Jr.","P","15","55.7","42"
"","James Jones","La.-Monroe","Sr.","P","17","46.3","42"
"","Matthew Kimball","Brown","Sr.","P","8","53.0","42"
"","Pat Light","Monmouth","So.","P","11","53.7","42"
"","Brendan Lobban","St. John's (NY)","Jr.","P","11","61.7","42"
"","Kevin McCulloh","Youngstown St.","So.","P","17","54.3","42"
"","Phil Mccarthy","Old Dominion","Jr.","P","10","67.0","42"
"","Ethan Mildren","Pittsburgh","Fr.","P","10","62.0","42"
"","David Peterson","Col. of Charleston","Jr.","P","11","63.0","42"
"","Christian Powell","Col. of Charleston","So.","P","12","55.3","42"
"","Vincent Roberts","Cal St. Northridge","Jr.","P","12","54.3","42"
"","Brady Rodgers","Arizona St.","So.","P","9","54.3","42"
"","Bobby Shore","Oklahoma","Sr.","P","14","51.7","42"
"","Austin Stadler","Wake Forest","Jr.","P","12","47.0","42"
"","Shawn Stuart","Long Beach St.","Jr.","P","12","48.0","42"
"","Josh Turley","Baylor","So.","P","13","65.3","42"
"","Tyler Watkins","Southeastern La.","Sr.","P","11","77.0","42"
"","Scott Weismann","Clemson","Jr.","P","16","48.3","42"
"","Tyler Witte","Md.-East. Shore","Fr.","P","16","54.7","42"
