year	division_id	school_id	school_name	school_url
2013	1	northeasternjuniorcollege	Northeastern Junior College	http://stats.njcaa.org/sports/bsb/teams/northeasternjuniorcollege?view=lineup
2013	1	northeasternoklahomaaampmcollege	Northeastern Oklahoma A&M College	http://stats.njcaa.org/sports/bsb/teams/northeasternoklahomaaampmcollege?view=lineup
2013	1	northwestfloridastatecollege	Northwest Florida State College	http://stats.njcaa.org/sports/bsb/teams/northwestfloridastatecollege?view=lineup
2013	1	odessacollege	Odessa College	http://stats.njcaa.org/sports/bsb/teams/odessacollege?view=lineup
2013	1	oliveharveycollege	Olive-Harvey College	http://stats.njcaa.org/sports/bsb/teams/oliveharveycollege?view=lineup
2013	1	olneycentralcollege	Olney Central College	http://stats.njcaa.org/sports/bsb/teams/olneycentralcollege?view=lineup
2013	1	onondagacommunitycollege	Onondaga Community College	http://stats.njcaa.org/sports/bsb/teams/onondagacommunitycollege?view=lineup
2013	1	oterojuniorcollege	Otero Junior College	http://stats.njcaa.org/sports/bsb/teams/oterojuniorcollege?view=lineup
2013	1	palmbeachstatecollege	Palm Beach State College	http://stats.njcaa.org/sports/bsb/teams/palmbeachstatecollege?view=lineup
2013	1	panolacollege	Panola College	http://stats.njcaa.org/sports/bsb/teams/panolacollege?view=lineup
2013	1	parisjuniorcollege	Paris Junior College	http://stats.njcaa.org/sports/bsb/teams/parisjuniorcollege?view=lineup
2013	1	pensacolastatecollege	Pensacola State College	http://stats.njcaa.org/sports/bsb/teams/pensacolastatecollege?view=lineup
2013	1	pimacommunitycollege	Pima Community College	http://stats.njcaa.org/sports/bsb/teams/pimacommunitycollege?view=lineup
2013	1	pittcommunitycollege	Pitt Community College	http://stats.njcaa.org/sports/bsb/teams/pittcommunitycollege?view=lineup
2013	1	polkstatecollege	Polk State College	http://stats.njcaa.org/sports/bsb/teams/polkstatecollege?view=lineup
2013	1	potomacstatecollegeofwvu	Potomac State College of WVU	http://stats.njcaa.org/sports/bsb/teams/potomacstatecollegeofwvu?view=lineup
2013	1	prattcommunitycollege	Pratt Community College	http://stats.njcaa.org/sports/bsb/teams/prattcommunitycollege?view=lineup
2013	1	rangercollege	Ranger College	http://stats.njcaa.org/sports/bsb/teams/rangercollege?view=lineup
2013	1	rendlakecollege	Rend Lake College	http://stats.njcaa.org/sports/bsb/teams/rendlakecollege?view=lineup
2013	1	roanestatecommunitycollege	Roane State Community College	http://stats.njcaa.org/sports/bsb/teams/roanestatecommunitycollege?view=lineup
2013	1	rosestatecollege	Rose State College	http://stats.njcaa.org/sports/bsb/teams/rosestatecollege?view=lineup
2013	1	saltlakecommunitycollege	Salt Lake Community College	http://stats.njcaa.org/sports/bsb/teams/saltlakecommunitycollege?view=lineup
2013	1	sanjacintocollegenorth	San Jacinto College-North	http://stats.njcaa.org/sports/bsb/teams/sanjacintocollegenorth?view=lineup
2013	1	santafecollege	Santa Fe College	http://stats.njcaa.org/sports/bsb/teams/santafecollege?view=lineup
2013	1	seminolestatecollege	Seminole State College	http://stats.njcaa.org/sports/bsb/teams/seminolestatecollege?view=lineup
2013	1	seminolestatecollegeofflorida	Seminole State College of Florida	http://stats.njcaa.org/sports/bsb/teams/seminolestatecollegeofflorida?view=lineup
2013	1	sewardcountycommunitycollege	Seward County Community College	http://stats.njcaa.org/sports/bsb/teams/sewardcountycommunitycollege?view=lineup
2013	1	shawneecommunitycollege	Shawnee Community College	http://stats.njcaa.org/sports/bsb/teams/shawneecommunitycollege?view=lineup
2013	1	sheltonstatecommunitycollege	Shelton State Community College	http://stats.njcaa.org/sports/bsb/teams/sheltonstatecommunitycollege?view=lineup
2013	1	sneadstatecommunitycollege	Snead State Community College	http://stats.njcaa.org/sports/bsb/teams/sneadstatecommunitycollege?view=lineup
2013	1	southfloridastatecollege	South Florida State College	http://stats.njcaa.org/sports/bsb/teams/southfloridastatecollege?view=lineup
2013	1	southgeorgiacollege	South Georgia College	http://stats.njcaa.org/sports/bsb/teams/southgeorgiacollege?view=lineup
2013	1	southmountaincommunitycollege	South Mountain Community College	http://stats.njcaa.org/sports/bsb/teams/southmountaincommunitycollege?view=lineup
2013	1	southsuburbancollege	South Suburban College	http://stats.njcaa.org/sports/bsb/teams/southsuburbancollege?view=lineup
2013	1	southeasternillinoiscollege	Southeastern Illinois College	http://stats.njcaa.org/sports/bsb/teams/southeasternillinoiscollege?view=lineup
2013	1	southernunionstatecommunitycollege	Southern Union State Community College	http://stats.njcaa.org/sports/bsb/teams/southernunionstatecommunitycollege?view=lineup
2013	1	southwesttennesseecommunitycollege	Southwest Tennessee Community College	http://stats.njcaa.org/sports/bsb/teams/southwesttennesseecommunitycollege?view=lineup
2013	1	southwesternillinoiscollege	Southwestern Illinois College	http://stats.njcaa.org/sports/bsb/teams/southwesternillinoiscollege?view=lineup
2013	1	spartanburgmethodist	Spartanburg Methodist	http://stats.njcaa.org/sports/bsb/teams/spartanburgmethodist?view=lineup
2013	1	stcharlescommunitycollege	St. Charles Community College	http://stats.njcaa.org/sports/bsb/teams/stcharlescommunitycollege?view=lineup
2013	1	stjohnsriverstatecollege	St. Johns River State College	http://stats.njcaa.org/sports/bsb/teams/stjohnsriverstatecollege?view=lineup
2013	1	stlouiscommunitycollege	St. Louis Community College	http://stats.njcaa.org/sports/bsb/teams/stlouiscommunitycollege?view=lineup
2013	1	stpetersburgcollege	St. Petersburg College	http://stats.njcaa.org/sports/bsb/teams/stpetersburgcollege?view=lineup
2013	1	statecollegeoffloridamanateesaraso	State College of Florida, Manatee-Sarasota	http://stats.njcaa.org/sports/bsb/teams/statecollegeoffloridamanateesaraso?view=lineup
2013	1	tallahasseecommunitycollege	Tallahassee Community College	http://stats.njcaa.org/sports/bsb/teams/tallahasseecommunitycollege?view=lineup
2013	1	templecollege	Temple College	http://stats.njcaa.org/sports/bsb/teams/templecollege?view=lineup
2013	1	texarkanacollege	Texarkana College	http://stats.njcaa.org/sports/bsb/teams/texarkanacollege?view=lineup
2013	1	threeriverscommunitycollegemo	Three Rivers Community College - MO	http://stats.njcaa.org/sports/bsb/teams/threeriverscommunitycollegemo?view=lineup
2013	1	trinidadstatejuniorcollege	Trinidad State Junior College	http://stats.njcaa.org/sports/bsb/teams/trinidadstatejuniorcollege?view=lineup
2013	1	tritoncollege	Triton College	http://stats.njcaa.org/sports/bsb/teams/tritoncollege?view=lineup
2013	1	usclancaster	USC Lancaster	http://stats.njcaa.org/sports/bsb/teams/usclancaster?view=lineup
2013	1	uscsalkehatchie	USC Salkehatchie	http://stats.njcaa.org/sports/bsb/teams/uscsalkehatchie?view=lineup
2013	1	uscsumter	USC Sumter	http://stats.njcaa.org/sports/bsb/teams/uscsumter?view=lineup
2013	1	vernoncollege	Vernon College	http://stats.njcaa.org/sports/bsb/teams/vernoncollege?view=lineup
2013	1	volunteerstatecommunitycollege	Volunteer State Community College	http://stats.njcaa.org/sports/bsb/teams/volunteerstatecommunitycollege?view=lineup
2013	1	wabashvalleycollege	Wabash Valley College	http://stats.njcaa.org/sports/bsb/teams/wabashvalleycollege?view=lineup
2013	1	wallacecommunitycollegedothan	Wallace Community College-Dothan	http://stats.njcaa.org/sports/bsb/teams/wallacecommunitycollegedothan?view=lineup
2013	1	wallacecommunitycollegeselma	Wallace Community College-Selma	http://stats.njcaa.org/sports/bsb/teams/wallacecommunitycollegeselma?view=lineup
2013	1	wallacestatecommunitycollegehancevil	Wallace State Community College-Hanceville	http://stats.njcaa.org/sports/bsb/teams/wallacestatecommunitycollegehancevil?view=lineup
2013	1	waltersstatecommunitycollege	Walters State Community College	http://stats.njcaa.org/sports/bsb/teams/waltersstatecommunitycollege?view=lineup
2013	1	weatherfordcollege	Weatherford College	http://stats.njcaa.org/sports/bsb/teams/weatherfordcollege?view=lineup
2013	1	westgeorgiatechnicalcollege	West Georgia Technical College	http://stats.njcaa.org/sports/bsb/teams/westgeorgiatechnicalcollege?view=lineup
2013	1	westernnebraskacommunitycollege	Western Nebraska Community College	http://stats.njcaa.org/sports/bsb/teams/westernnebraskacommunitycollege?view=lineup
