year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	tc	po	a	e	fpct	dp	sba	rcs	rcs_percent	pb	ci
2013	1	asacollege	9	alexechevarriaeftx	Alex Echevarria	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alexechevarriaeftx	So	OF	23	49	46	2	1	.980						
2013	1	asacollege	12	danielrodriguezyft3	Daniel Rodriguez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/danielrodriguezyft3	Fr	IF/P	20	61	46	10	5	.918						
2013	1	asacollege	34	juniormaldonadoj8bb	Junior Maldonado	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/juniormaldonadoj8bb	So	OF	23	34	32	0	2	.941						
2013	1	asacollege	18	jeffreyvalerasq6h	Jeffrey Valera	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jeffreyvalerasq6h	Fr	IF	14	51	28	13	10	.804						
2013	1	asacollege	29	luisperezzwye	Luis Perez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/luisperezzwye	So	OF/C	15	28	26	1	1	.964		1			2	
2013	1	asacollege	7	kevinvictoriano31w7	Kevin Victoriano	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kevinvictoriano31w7	So	OF	24	25	22	3	0	1.000						
2013	1	asacollege	99	edwardmaderanxx5	Edward Madera	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/edwardmaderanxx5	So	OF	18	18	16	1	1	.944						
2013	1	asacollege	11	jeovannytolentino60rf	Jeovanny Tolentino	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jeovannytolentino60rf	So	IF	22	63	16	36	11	.825						
2013	1	asacollege	10	julianlanfrancoolmy	Julian Lanfranco	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/julianlanfrancoolmy	So	IF	17	40	13	26	1	.975						
2013	1	asacollege	39	josecirineoh3go	Jose Cirineo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/josecirineoh3go	Fr	C	6	10	10	0	0	1.000		1				
2013	1	asacollege	6	eduinvaldezv9f8	Eduin Valdez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/eduinvaldezv9f8	So	3B/P	17	36	10	20	6	.833						
2013	1	asacollege	24	lewissanchezftic	Lewis Sanchez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/lewissanchezftic	So	IF	12	25	9	14	2	.920						
2013	1	asacollege	2	danaurisbaezcl65	Danauris Baez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/danaurisbaezcl65	So	IF	10	10	7	2	1	.900						
2013	1	asacollege	28	franklynrojaspy78	Franklyn Rojas	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/franklynrojaspy78	Fr	C	2	4	4	0	0	1.000						
2013	1	asacollege	23	jonathanfloreshsd9	Jonathan Flores	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jonathanfloreshsd9	Fr	OF	7	4	3	0	1	.750						
2013	1	asacollege	25	miguelpentildeafht2	Miguel Peña	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/miguelpentildeafht2	Fr	Pitcher	5	5	3	2	0	1.000						
2013	1	asacollege	21	davidrodriguezr5ad	David Rodriguez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/davidrodriguezr5ad	So	OF	6	3	3	0	0	1.000						
2013	1	asacollege	1	placidotorresv2fa	Placido Torres	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/placidotorresv2fa	So	Pitcher	5	9	3	6	0	1.000		3				
2013	1	asacollege	27	bryanflores3qti	Bryan Flores	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/bryanflores3qti	Fr	IF	1	3	2	0	1	.667						
2013	1	asacollege	36	michaelmelendezyj3o	Michael Melendez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/michaelmelendezyj3o	Fr	Pitcher	5	6	2	3	1	.833						
2013	1	asacollege	35	jesusreyesljip	Jesus Reyes	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jesusreyesljip	Fr	Pitcher	6	8	2	6	0	1.000						
2013	1	asacollege	3	ryancabrejat5l4	Ryan Cabreja	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ryancabrejat5l4	So	Pitcher	5	2	1	1	0	1.000						
