rk,school,div,str,park,ofs,dfs,sos
923,Daniel Webster,D3,0.191,0.924,0.849,1.788,0.577
923,Berea,D3,0.191,0.919,0.667,1.407,0.643
926,Alfred St.,D3,0.188,0.993,0.609,1.306,0.603
927,Wells,D3,0.185,0.959,0.629,1.372,0.546
928,Geneva,D3,0.182,1.069,0.724,1.606,0.611
929,Illinois Col.,D3,0.180,1.083,0.619,1.383,0.643
930,Eureka,D3,0.179,0.972,0.597,1.341,0.661
930,Blackburn,D3,0.179,0.866,0.671,1.512,0.656
932,Penn St.-Abington,D3,0.178,0.873,0.738,1.675,0.587
933,Thomas (ME),D3,0.175,0.890,0.649,1.491,0.655
934,Finlandia,D3,0.168,0.967,0.577,1.386,0.547
935,Purchase,D3,0.167,0.946,0.587,1.413,0.572
936,Juniata,D3,0.166,1.090,0.630,1.526,0.683
937,Cazenovia,D3,0.159,1.212,0.507,1.285,0.537
938,D'Youville,D3,0.151,0.961,0.673,1.790,0.591
938,Rivier,D3,0.151,0.967,0.703,1.875,0.605
940,Gallaudet,D3,0.148,1.002,0.642,1.746,0.579
941,Lane,D2,0.133,0.993,0.586,2.593,0.627
942,Maranatha Baptist,D3,0.132,0.969,0.492,1.500,0.558
943,Anna Maria,D3,0.128,1.061,0.585,1.836,0.583
944,North Central (MN),D3,0.124,1.015,0.608,1.974,0.575
945,Clarks Summit,D3,0.122,0.927,0.461,1.524,0.474
946,Martin Luther,D3,0.120,1.028,0.416,1.399,0.573
947,Me.-Presque Isle,D3,0.118,0.927,0.618,2.113,0.540
948,Rust,D3,0.114,1.092,0.643,2.282,0.674
949,Valley Forge,D3,0.073,1.029,0.517,2.848,0.497
950,Yeshiva,D3,0.059,0.973,0.437,2.978,0.583
