FIRST ROUND (x-compensation pick)
1. Arizona, Dansby Swanson, SS, Vanderbilt.
450. Atlanta, Bradley Keller, OF, Crest HS, Mooresboro, N.C.
451. Milwaukee, Zach Taylor, C, Scottsdale CC.
452. Toronto, Jackson McClelland, RHP, Pepperdine.
453. N.Y. Yankees, Bret Marks, RHP, Tennessee.
454. Cleveland, Daniel Sprinkle, RHP, White Hall (Ark.) HS.
455. Seattle, Ryne Inman, RHP, Parkview HS, Lawrenceville, Ga.
456. San Francisco, Cody Brickhouse, C, Sarasota (Fla.) HS.
457. Pittsburgh, Scooter Hightower, RHP, Columbia State CC.
458. Oakland, Ryan Howell, 2B, Nevada.
459. Kansas City, Marquise Doherty, OF, Winnetonka HS, Gladstone, Mo.
460. Detroit, Keaton Jones, SS, TCU.
461. St. Louis, Ryan Merrill, SS, Iowa Western CC.
462. L.A. Dodgers, Garrett Zech, CF, Naples (Fla). HS.
463. Baltimore, Christopher Shaw, C, Oklahoma.
464. Washington, Kevin Mooney, RHP, Maryland.
465. L.A. Angels, Nathan Bates, RHP, Georgia St.
16TH ROUND
466. Arizona, Zach Nehrir, CF, Houston Baptist.
467. Colorado, Ryan McCormick, RHP, St. John's.
468. Texas, Tyler Phillips, RHP, Bishop Eustace Prep School, Lumberton, N.J.
469. Houston, Adam Whitt, RHP, Nevada.
470. Minnesota, Lean Marrero, RF, Leadership Christian Academy, Bayamon, Puerto Rico.
471. Boston, Marc Brakeman, RHP, Stanford.
472. Chicago White Sox, Brandon Quintero, RHP, Cal St. Los Angeles.
473. Chicago Cubs, Michael Foster, CF, Northeastern.
474. Philadelphia, Brendon Hayden, 1B, Virginia Tech.
475. Cincinnati, Jake Johnson, RHP, Southeastern Louisiana.
476. Miami, Justin Langley, LHP, Milwaukee.
477. San Diego, Elliot Ashbeck, RHP, Bradley.
478. Tampa Bay, Joe Davis, C, Bowie HS, Austin, Texas.
479. N.Y. Mets, Dillon Becker, RHP, Angelo St.
480. Atlanta, Trevor Belicek, LHP, Texas A&M-CC.
481. Milwaukee, Conor Harber, RHP, Oregon.
482. Toronto, Christian Williams, 3B, Gulf Coast CC.
483. N.Y. Yankees, Kolton Mahoney, RHP, BYU.
484. Cleveland, Cobie Vance, 2B, Pine Forest HS, Fayetteville, N.C.
485. Seattle, Ricky Eusebio, CF, Miami.
486. San Francisco, Grant Watson, LHP, UCLA.
487. Pittsburgh, Nick Hibbing, RHP, Iowa.
488. Oakland, Dustin Hurlbutt, RHP, Tabor.
489. Kansas City, Matt Ditman, RHP, Rice.
490. Detroit, Alec Kisena, RHP, Edmonds CC.
491. St. Louis, Max Almonte, RHP, Villanova.
492. L.A. Dodgers, Nolan Long, RHP, Wagner.
493. Baltimore, MIke Odenwaelder, CF, Amherst.
494. Washington, Ian Sagdal, SS, Washington St.
495. L.A. Angels, Nathan Bertness, LHP, McLennan CC.
17TH ROUND
496. Arizona, Austin Mason, RHP, The Citadel.
497. Colorado, Collin Ferguson, 1B, St. Mary's (Cal.)
498. Texas, Tyler Sanchez, C, St. John's.
499. Houston, Justin Garcia, LF, Nova Southeastern.
500. Minnesota, Nate Gercken, RHP, Academy Of the Arts U.
501. Boston, Chad De La Guerra, 2B, Grand Canyon.
502. Chicago White Sox, Jeffrey Orvis, 1B, Mississippi.
503. Chicago Cubs, Casey Bloomquist, RHP, Cal Poly.
504. Philadelphia, Kenny Koplove, RHP, Duke.
505. Cincinnati, J.D. Salmon-Williams, 2B, David Suzuki SS, Brampton, Ontario.
506. Miami, Max Whitt, SS, Lewis-Clark St.
507. San Diego, Trey Wingenter, RHP, Auburn.
508. Tampa Bay, Brett Sullivan, 2B, Pacific.
509. N.Y. Mets, Sixto Torres, LHP, Faith Baptist Christian HS, Orlando, Fla.
510. Atlanta, Evan Phillips, RHP, UNC Wilmington.
511. Milwaukee, Michael Petersen, RHP, Riverside CC.
512. Toronto, Chandler Eden, RHP, Yavapai.
513. N.Y. Yankees, Brody Koerner, RHP, Clemson.
514. Cleveland, Nick Madrigal, SS, Elk Grove (Calif.) HS.
515. Seattle, Joe Pistorese, LHP, Washington St.
516. San Francisco, Cameron Avila-Leeper, LHP, San Joaquin Delta College.
517. Pittsburgh, Austin Sodders, LHP, Riverside CC.
518. Oakland, Brent Wheatley, RHP, Southern Cal.
519. Kansas City, Matt Portland, LHP, Northwestern.
520. Detroit, Grant Wolfram, LHP, Hamilton (Mich.) HS.
521. St. Louis, Chris Chinea, C, LSU.
522. L.A. Dodgers, Jason Goldstein, C, Illinois.
523. Baltimore, Branden Becker, SS, Cajon HS, San Bernardino, Calif.
524. Washington, Dalton Dulin, 2B, Northwest Mississippi CC.
525. L.A. Angels, Samuel Pastrone, RHP, Arbor View HS, Las Vegas.
18TH ROUND
526. Arizona, Daniel Comstock, C, Menlo.
527. Colorado, Chris Keck, 3B, UCLA.
528. Texas, Jason Richman, LHP, Georgia Southern.
529. Houston, Kevin Martir, C, Maryland.
530. Minnesota, Daniel Kihle, CF, Wichita St.
531. Boston, James Nelson, SS, Redan HS, Rex, Ga.
532. Chicago White Sox, Dante Flores, 2B, Southern Cal.
533. Chicago Cubs, John Cresto, 3B, Cathedral Catholic HS, Encinitas, Calif.
534. Philadelphia, Gregory Brodzinski, C, Barry.
535. Cincinnati, Isaac Anesty, LHP, Our Lady of Lourdes Catholic HS, Guelph, Ontario.
536. Miami, Kyle Keller, RHP, Southeastern Louisiana.
537. San Diego, Justin Harrer, SS, Sisters (Ore.) HS.
538. Tampa Bay, Landon Cray, CF, Seattle.
539. N.Y. Mets, Jordan Humphreys, RHP, Crystal River (Fla.) HS.
540. Atlanta, Gilbert Suarez, RHP, San Ysidro HS, San Diego.
541. Milwaukee, Gentry Fortuno, RHP, Charles Flanagan HS, Pembroke Pines, Fla.
542. Toronto, Geno Encina, RHP, Incarnate Word.
543. N.Y. Yankees, Zack Zehner, LF, Cal Poly.
544. Cleveland, Anthony Miller, 1B, Johnson County CC.
545. Seattle, Anthony Misiewicz, LHP, Michigan St.
546. San Francisco, Heath Slatton, RHP, Middle Tennessee.
547. Pittsburgh, Stephan Meyer, RHP, Bellevue.
548. Oakland, Brett Sunde, C, Western Michigan.
549. Kansas City, Brian Bayliss, RHP, St Joseph's (Ind.)
550. Detroit, Joseph Havrilak, RF, Akron.
551. St. Louis, Joshua Rolette, C, Shawnee (Okla.) HS.
552. L.A. Dodgers, Chris Godinez, 2B, Bradley.
553. Baltimore, Nick Vespi, LHP, Palm Beach State.
554. Washington, Melvin Rodriguez, 2B, Jackson St.
555. L.A. Angels, Travis Herrin, RHP, Wabash Valley.
19TH ROUND
556. Arizona, Jacy Cave, RF, New Mexico JC.
557. Colorado, Daniel Koger, LHP, Alabama-Huntsville.
558. Texas, Xavier Turner, 3B, Vanderbilt.
559. Houston, Drew Ferguson, CF, Belmont.
560. Minnesota, Kyle Wilson, RHP, Raymore (Mo.) Peculiar HS.
561. Boston, Logan Boyd, LHP, Sam Houston St.
562. Chicago White Sox, Frank Califano, CF, Youngstown St.
563. Chicago Cubs, Kyle Miller, RHP, FAU.
564. Philadelphia, Robert Tasin, RHP, Oklahoma.
565. Cincinnati, Mike Salvatore, RHP, Ewing HS, Trenton, N.J.
566. Miami, Curt Britt, RHP, NC State.
567. San Diego, Alan Garcia, RF, Mountain Pointe HS, Nogales, Ariz.
568. Tampa Bay, Porter Clayton, LHP, Dixie St.
569. N.Y. Mets, Nic Enright, RHP, The Steward School, Richmond, Va.
570. Atlanta, Sean McLaughlin, RHP, Georgia.
571. Milwaukee, Steven Karkenny, 1B, The Masters College.
572. Toronto, John La Prise, 2B, Virginia.
573. N.Y. Yankees, Mark Seyler, RHP, San Diego St.
574. Cleveland, Todd Isaacs, OF, Palm Beach State.
575. Seattle, Patrick Jones, C, Washington St.
576. San Francisco, Charles Owen, RHP, Arkansas St.
577. Pittsburgh, Ike Schlabach, LHP, Timber Creek HS, Keller, Texas.
578. Oakland, Seth Brown, 1B, Lewis-Clark St.
579. Kansas City, Emmanuel Rivera, SS, Universidad Interamericana, Mayaguez, Puerto Rico.
580. Detroit, Cam Vieaux, LHP, Michigan St.
581. St. Louis, Ryan McCarvel, C, Howard.
582. L.A. Dodgers, Joe Genord, C, Park Vista Community HS, Lake Worth, Fla.
583. Baltimore, Jerry McClanahan, C, UC Irvine.
584. Washington, Clayton Brandt, SS, MidAmerica Nazarene.
585. L.A. Angels, Aaron Cox, RHP, Gannon.
20TH ROUND
586. Arizona, Will Lowman, LHP, Kennesaw St.
587. Colorado, Bobby Stahel, OF, Southern Cal.
588. Texas, Luke Shilling, RHP, Notre Dame Prep, Clarkston, Mich.
589. Houston, Makay Nelson, RHP, College of Southern Idaho.
590. Minnesota, Colton Eastman, RHP, Central Union HS, Fresno, Calif.
591. Boston, Yomar Valentin, 2B, Puerto Rico BB Academy, Manati, Puerto Rico.
592. Chicago White Sox, Jacob Cooper, C, Modesto JC.
593. Chicago Cubs, Blake Headley, 3B, Nebraska.
594. Philadelphia, Will Stewart, LHP, Hazel Green (Ala.) HS.
595. Cincinnati, Rock Rucker, LHP, Auburn-Montgomery.
596. Miami, Korey Dunbar, C, North Carolina.
597. San Diego, Phil Maton, RHP, Louisiana Tech.
598. Tampa Bay, Edrick Agosto, RHP, No School, Catano, Puerto Rico.
599. N.Y. Mets, Thomas McIlraith, RHP, Oklahoma.
600. Atlanta, Jaret Hellinger, LHP, Ola HS, McDonough, Ga.
601. Milwaukee, David Lucroy, RHP, East Carolina.
602. Toronto, Tyler Burden, RHP, Chowan.
603. N.Y. Yankees, Isiah Gilliam, 1B, Chipola College.
604. Cleveland, Luke Wakamatsu, SS, Keller (Texas) HS.
605. Seattle, Parker McFadden, RHP, Yelm (Wash.) HS.
606. San Francisco, Travis Eckert, RHP, Oregon St.
607. Pittsburgh, Tanner Anderson, RHP, Harvard.
608. Oakland, James Naile, RHP, UAB.
609. Kansas City, Junior Harding, RHP, Chipola College.
610. Detroit, Logan Longwith, RHP, Tennessee Wesleyan.
611. St. Louis, Luke Doyle, 2B, Yavapai.
612. L.A. Dodgers, John Boushelle, RHP, Fayetteville (Ark.) Senior HS.
613. Baltimore, Adam Walton, SS, Illinois.
614. Washington, John Reeves, C, Rice.
615. L.A. Angels, Kenny Towns, 3B, Virginia.
21ST ROUND
616. Arizona, Alexis Olmeda, C, Yavapai.
617. Colorado, Logan Cozart, RHP, Ohio.
618. Texas, Joenny Vazquez, C, EDUTEC Yabucoa, Puerto Rico.
619. Houston, Alex Winkelman, LHP, Southeast Missouri St.
620. Minnesota, Kamran Young, OF, Cal St. Dominguez Hills.
621. Boston, Daniel Zandona, RHP, Cal Poly.
622. Chicago White Sox, Landon Lassiter, LF, North Carolina.
623. Chicago Cubs, Jared Cheek, RHP, Georgia.
624. Philadelphia, Kevin Walsh, RHP, Arkansas-Pine Bluff.
625. Cincinnati, Satchel McElroy, CF, Clear Creek HS, League City, Texas.
626. Miami, Giovanny Alfonzo, SS, Tampa.
627. San Diego, Nick Monroe, RHP, UNC Wilmington.
628. Tampa Bay, Matt Dacey, 3B, Richmond.
629. N.Y. Mets, Taylor Henry, LHP, Centenary.
630. Atlanta, Kurt Hoekstra, 2B, Western Michigan.
631. Milwaukee, Jon Olczak, RHP, NC State.
632. Toronto, Tayler Saucedo, LHP, Tennessee Wesleyan.
633. N.Y. Yankees, Joshua Roeder, RHP, Nebraska.
634. Cleveland, Brock Hartson, RHP, UTSA.635. Seattle, Rob Fonseca, 1B, Northeastern.
636. San Francisco, Ryan Halstead, RHP, Indiana.
637. Pittsburgh, Nicholas Economos, RHP, Mercer County CC.
638. Oakland, Andrew Tomasovich, LHP, Charleston Southern.
639. Kansas City, Austin Bailey, SS, San Diego.
640. Detroit, Tanner Donnels, 1B, Loyola Marymount.
641. St. Louis, Cadyn Grenier, SS, Bishop Gorman HS, Henderson, Nev.
642. L.A. Dodgers, Jake Henson, C, Saint Louis.
643. Baltimore, Juan Echevarria, RHP, Osceola Senior HS, Kissimmee, Fla.
644. Washington, Matt Pirro, RHP, Wake Forest.
645. L.A. Angels, Michael Pierson, 3B, Appalachian St.
22ND ROUND
646. Arizona, Zach Hoffpauir, RF, Stanford.
647. Colorado, Eric Toole, CF, Iowa.
648. Texas, Josh Altmann, SS, Olivet Nazarene.
649. Houston, Cole Sands, RHP, North Florida.
650. Minnesota, Blake Cederlind, RHP, Merced.
651. Boston, Max Watt, RHP, Lynn U.
652. Chicago White Sox, Daniel Mendick, SS, Mass.-Lowell.
653. Chicago Cubs, Alex Bautista, OF, Lindsey Wilson.
654. Philadelphia, Sutter McLoughlin, RHP, Cal St. Sacramento.
655. Cincinnati, Darren Shred, RHP, St Roch Catholic SS, Brampton, Ontario.
656. Miami, LJ Brewster, RHP, Hawaii.
657. San Diego, Christian Cecilio, LHP, San Francisco.
658. Tampa Bay, Justin Marsden, RHP, Mountainview HS, Auburn, Wash.
659. N.Y. Mets, Nick Blackburn, RHP, Illinois.
660. Atlanta, Dalton Geekie, RHP, Georgia Highlands.
661. Milwaukee, Willie Schwanke, RHP, Wichita St.
662. Toronto, Nicholas Sinay, OF, Buffalo.
663. N.Y. Yankees, Cody Carroll, RHP, Southern Miss.
664. Cleveland, Garrett Benge, 3B, Cowley County CC.
665. Seattle, Joey Strain, RHP, Winthrop.
666. San Francisco, Domenic Mazza, LHP, UC Santa Barbara.
667. Pittsburgh, Nathan Trevillian, RHP, Amherst County HS, Monroe, Va.
668. Oakland, Brady Bramlett, RHP, Mississippi.
669. Kansas City, Stephen Milligan, LHP, Delta St.
670. Detroit, Toller Boardman, LHP, New Mexico.
671. St. Louis, Hunter Newman, 1B, Trevecca Nazarene.
672. L.A. Dodgers, Jordan Tarsovich, 2B, VMI.
673. Baltimore, Tristan Graham, RF, Northeast Texas CC.
674. Washington, Adam Boghosian, RHP, North Greenville.
675. L.A. Angels, Ronnie Glenn, LHP, Penn.
23RD ROUND
676. Arizona, Logan Soole, CF, Monarch HS, Louisville, Colo.
677. Colorado, Steven Leonard, C, Campbell.
678. Texas, Tyler Davis, RHP, Washington.
679. Houston, Matt Bower, LHP, Washington St.
680. Minnesota, Alex Perez, SS, Virginia Tech.
681. Boston, Kyri Washington, LF, Longwood.
682. Chicago White Sox, Dylan Barrow, RHP, Tampa.
683. Chicago Cubs, John Williamson, LHP, Rice.
684. Philadelphia, Anthony Sequeira, RHP, Oral Roberts.
685. Cincinnati, Edward Charlton, CF, NJ Tech.
686. Miami, Trevor Lacosse, LHP, Bryant.
687. San Diego, Chris Chatfield, CF, Spoto HS, Riverview, Fla.
688. Tampa Bay, Reign Letkeman, RHP, Big Bend CC.
689. N.Y. Mets, Kenneth Bautista, RF, Puerto Rico BB Academy, Carolina.
690. Atlanta, Taylor Cockrell, RHP, Florida Manatee-Sarasota.
691. Milwaukee, Donovan Walton, SS, Oklahoma St.
692. Toronto, Juandy Mendoza, SS, Otero JC.
693. N.Y. Yankees, Garrett Mundell, RHP, Fresno St.
694. Cleveland, Chad Smith, RHP, Wallace State CC.
695. Seattle, Art Warren, RHP, Ashland.
696. San Francisco, Dillon Dobson, 3B, Appalachian St.
697. Pittsburgh, Jacob McCarthy, CF, Scranton (Pa.) HS.
698. Oakland, Eric Senior, OF, York Mills Collegiate Institute, Ontario.
699. Kansas City, Colton Frabasilio, OF, Saint Louis.
700. Detroit, Ryan Milton, RHP, Southern Miss.
701. St. Louis, Gio Brusa, RF, Pacific.
702. L.A. Dodgers, Andrew Istler, RHP, Duke.
703. Baltimore, Will Dennis, LHP, Seattle.
704. Washington, Alec Rash, RHP, Missouri.
705. L.A. Angels, Tim Arakawa, 2B, Oklahoma St.
24TH ROUND
706. Arizona, Bryant Holtmann, LHP, Florida St.
707. Colorado, James McMahon, RHP, Southern Miss.
708. Texas, Ashton Perritt, RHP, Liberty.
709. Houston, Chris Murphy, RHP, Millersville.
710. Minnesota, Jaylin Davis, CF, Appalachian St.
711. Boston, Brad Stone, LHP, NC State.
712. Chicago White Sox, Brandon Magallones, RHP, Northwestern.
713. Chicago Cubs, Sutton Whiting, SS, Louisville.
714. Philadelphia, Zach Morris, LHP, Maryland.
715. Cincinnati, Joseph Zanghi, RHP, Cumberland County College.
716. Miami, Octavio Arroyo, RHP, San Ysidro HS, San Diego.
717. San Diego, Jamar Smith, C, Meridian (Miss.) HS.
718. Tampa Bay, Jesus Ortiz, RHP, Miguel Melendez Munoz HS, Cayey, Puerto Rico.
719. N.Y. Mets, Jordan Verdon, 3B, Granite Hills HS, El Cajon, Calif.
720. Atlanta, Jacob Lanning, 3B, Holy Cross.
721. Milwaukee, Christian Trent, LHP, Mississippi.
722. Toronto, Reggie Pruitt, CF, Kennesaw (Ga.) Mountain HS.
723. N.Y. Yankees, Patrick O'Brien, RHP, UC Santa Barbara.
724. Cleveland, Sam Haggerty, 2B, New Mexico.
725. Seattle, Lance Thonvold, RHP, Minnesota.
726. San Francisco, Zachary Bowers, C, Georgia.
727. Pittsburgh, John Bormann, C, UTSA.
728. Oakland, Heath Bowers, RHP, Campbell.
729. Kansas City, Jonathan McCray, 2B, San Bernardino Valley College.
730. Detroit, Michael Vinson, RHP, Florida.
731. St. Louis, Daniel Martin, 2B, Azusa Pacific.
732. L.A. Dodgers, Cameron Palmer, RHP, Toledo.
733. Baltimore, Kirvin Moesquit, 3B, Seminole State.
734. Washington, Blake Smith, RHP, West Virginia.
735. L.A. Angels, Mitch Esser, CF, Concordia (Calif.).
25TH ROUND
736. Arizona, Stephen Dezzi, OF, Tampa.
737. Colorado, Scott Burcham, SS, Cal St. Sacramento.
738. Texas, Demarcus Evans, RHP, Petal (Miss.) HS.
739. Houston, Jorge Martinez, C, Carlos Beltran Baseball Academy, Barranquitas, Puerto Rico.
740. Minnesota, Logan Lombana, RHP, Long Beach St.
741. Boston, Andrew Noviello, C, Bridgewater-Raynham (Mass.) Regional HS.
742. Chicago White Sox, Richard McWilliams, RHP, Cal Poly Pomona.
743. Chicago Cubs, Marcus Mastrobuoni, C, Cal St Stanislaus.
744. Philadelphia, Joseph Lauria, RHP, UNLV.
745. Cincinnati, James Vasquez, 1B, UCF.
746. Miami, Alexander Fernandez, LF, Nova Southeastern.
747. San Diego, Chase Williams, RHP, Wichita St.
748. Tampa Bay, Devin Davis, 1B, Valencia HS, Santa Clarita, Calif.
749. N.Y. Mets, Dylan King, RHP, Riverdale HS, Murfreesboro, Tenn.
750. Atlanta, Jonathan Morales, C, Miami Dade CC.
751. Milwaukee, Justin Hooper, LHP, De La Salle HS, San Ramon, Calif.
752. Toronto, Ryan Feltner, RHP, Walsh Jesuit HS, Hudson, Ohio.
753. N.Y. Yankees, Austin Afenir, C, Oral Roberts.
754. Cleveland, Connor Marabell, OF, Jacksonville.
755. Seattle, Joe Peeler, RHP, East Rowan HS, Rockwell, N.C.
756. San Francisco, Michael Silva, RHP, Loyola Marymount.
757. Pittsburgh, Logan Hill, RF, Troy.
758. Oakland, Evan Manarino, LHP, UC Irvine.
759. Kansas City, Tyler Carvalho, RHP, Mesa CC.
760. Detroit, Ryan Castellanos, RHP, Nova Southeastern.
761. St. Louis, Kyle Molnar, RHP, Aliso Niguel (Calif.) HS.
762. L.A. Dodgers, Robert McDonnell, LHP, Illinois.
763. Baltimore, Steve Laurino, 1B, Marist.
764. Washington, Calvin Copping, RHP, CS Northridge.
765. L.A. Angels, Trever Allen, RF, Arizona St.
26TH ROUND
766. Arizona, Kirby Bellow, LHP, Texas.
767. Colorado, Drasen Johnson, RHP, Illinois.
768. Texas, Jacob Shortslef, RHP, Herkimer County CC.
769. Houston, Ralph Garza, RHP, Oklahoma.
770. Minnesota, Tyler Williams, RF, Raymond S. Kellis HS, Peoria, Ariz.
771. Boston, Kevin Ginkel, RHP, Southwestern College.
772. Chicago White Sox, Grant Massey, SS, Lipscomb.
773. Chicago Cubs, Jared Padgett, LHP, Graceville (Fla.) HS.
774. Philadelphia, Andrew Godail, LHP, Sam Houston St.
775. Cincinnati, Dwanya Williams-Sutton, CF, Greenfield School, Lucama, N.C.
776. Miami, Obed Diaz, RHP, Casiano Cepeda HS, Rio Grande, Puerto Rico.
777. San Diego, Kodie Tidwell, SS, Louisiana-Monroe
778. Tampa Bay, Noel Rodriguez, RHP, Paradise Valley CC.
779. N.Y. Mets, Shane McClanahan, LHP, Cape Coral (Fla.) HS.
780. Atlanta, Ben Libuda, LHP, Worcester St.
781. Milwaukee, John India, SS, American Heritage School, Coral Springs, Fla.
782. Toronto, Gabriel Clark, 1B, Oregon St.
783. N.Y. Yankees, Icezack Flemming, RHP, Cal St. Los Angeles.
784. Cleveland, AJ Graffanino, SS, Northwest Christian School, Peoria, Ariz.
785. Seattle, Ljay Newsome, RHP, Chopticon HS, Mechanicsville, Md.
786. San Francisco, Tyler Brown, SS, Southern Nevada.
787. Pittsburgh, Shane Kemp, RHP, George Washington.
788. Oakland, Jordan Devencenzi, C, Nevada.
789. Kansas City, Alex Close, C, Liberty.
790. Detroit, Taylor Hicks, RHP, Georgia.
791. St. Louis, Brennan Leitao, RHP, Cal St. Sacramento.
792. L.A. Dodgers, Marcus Crescentini, RHP, Missouri Baptist.
793. Baltimore, Rocky McCord, RHP, Auburn.
794. Washington, Russell Harmening, RHP, Westmont College.
795. L.A. Angels, Taylor Cobb, RHP, Houston.
27th Round
796. Arizona, Cameron Gann, RHP, Stephen F. Austin.
797. Colorado, Stephen Wear, C, UC Santa Barbara.
798. Texas, Clyde Kendrick, LHP, Eastern New Mexico.
799. Houston, James Carter, RHP, UC Santa Barbara.
800. Minnesota, Dalton Sawyer, LHP, Minnesota.
801. Boston, Saige Jenco, CF, Virginia Tech.
802. Chicago White Sox, Alex Katz, LHP, St John's.
803. Chicago Cubs, Angelo Amendolare, 2B, Jacksonville.
804. Philadelphia, Jake Reppert, LHP, Northwest Nazarene.
805. Cincinnati, Alejo Lopez, SS, Greenway HS, Glendale, Ariz.
806. Miami, Taylor Munden, SS, West Virginia.
807. San Diego, Colton Howell, RHP, Nebraska.
808. Tampa Bay, Joey Bart, C, Buford (Ga.) HS.
809. N.Y. Mets, Jake Higginbotham, LHP, Buford HS, Cumming, Ga.
810. Atlanta, Robert Nesovic, 3B, UC Santa Barbara.
811. Milwaukee, Jon Perrin, RHP, Oklahoma St.
812. Toronto, Jake Thomas, OF, Binghamton.
813. N.Y. Yankees, Michael Hicks, 1B, Coeur d'Alene (Idaho) HS.
814. Cleveland, Austin Rubick, RHP, Buena HS, Ventura, Calif.
815. Seattle, Michael Rivera, RHP, Colegio Hector Urdaneta Trujillo, Alto, Puerto Rico.
816. San Francisco, Bryan Case, C, Oklahoma St.
817. Pittsburgh, Ryan Nagle, LF, Illinois.
818. Oakland, Xavier Altamirano, RHP, Oral Roberts.
819. Kansas City, Jacob Bodner, RHP, Xavier.
820. Detroit, Tyler Servais, C, Princeton.
821. St. Louis, Greg Tomchick, RHP, Old Dominion.
822. L.A. Dodgers, Ivan Vieitez, RHP, Lenoir-Rhyne.
823. Baltimore, Stuart Levy, C, Arkansas St.
824. Washington, Ryan Brinley, RHP, Sam Houston St.
825. L.A. Angels, Samuel Koenig, LF, Milwaukee.
28th Round
826. Arizona, Jesse Wilkening, C, Hanover Central Jr Sr HS, Cedar Lake, Ind.
827. Colorado, Tyler Follis, SS, North Dakota.
828. Texas, Blaine Prescott, 2B, Midland.
829. Houston, Zac Grotz, RHP, Embry-Riddle.
830. Minnesota, Jonathan Engelmann, RF, Burlingame HS, San Mateo, Calif.
831. Boston, Steve Mangrum, 3B, Western Albemarle HS, Charlottesville, Va.
832. Chicago White Sox, Bradley Strong, 3B, Western Carolina.
833. Chicago Cubs, Delvin Zinn, SS, Pontotoc HS, Chicago.
834. Philadelphia, Horace Stubblefield, RHP, West Alabama.
835. Cincinnati, Ron Rossomando, RHP, Bunnell HS, Stratford, Conn.
836. Miami, Jeff Kinley, LHP, Michigan St.
837. San Diego, Corey Hale, LHP, Mobile.
838. Tampa Bay, Desmond Chumley, CF, Longview (Texas) HS.
839. N.Y. Mets, Anthony Dimino, C, Belmont Abbey.
840. Atlanta, Curtiss Pomeroy, RHP, Georgetown.
841. Milwaukee, Mitch Ghelfi, C, Milwaukee.
842. Toronto, Levi Scott, 1B, Texas-Arlington.
843. N.Y. Yankees, David Sosebee, RHP, Georgia.
844. Cleveland, Jack Goihl, C, Augustana (S.D.).
845. Seattle, Taylor Perez, SS, St. Leo.
846. San Francisco, Ashford Fulmer, CF, Houston.
847. Pittsburgh, Albert Baur, 1B, Newberry.
848. Oakland, Marc Berube, RHP, Pittsburgh.
849. Kansas City, Reed Hayes, RHP, Walters State CC.
850. Detroit, Patrick Mackenzie, 2B, Central Michigan.
851. St. Louis, Mitchell Traver, RHP, TCU.
852. L.A. Dodgers, Kyle Garlick, CF, Cal Poly Pomona.
853. Baltimore, Christian Turnipseed, RHP, Georgia Gwinnett.
854. Washington, Mick Vanvossen, RHP, Michigan St.
855. L.A. Angels, Aaron Rhodes, RHP, Florida.
29TH ROUND
856. Arizona, Keegan Long, RHP, St. Joseph's (Ind.)
857. Colorado, William Jones, RHP, Valdosta St.
858. Texas, Maikor Mora, RHP, Polk St.
859. Houston, Brooks Marlow, 2B, Texas.
860. Minnesota, Brad Hartong, C, Indiana.
861. Boston, Will Stillman, RHP, Wofford.
862. Chicago White Sox, Jake Fincher, CF, NC State.
863. Chicago Cubs, Ian Rice, C, Houston.
864. Philadelphia, Von Watson, OF, Briarcrest Christian School, Potts Camp, Miss.
865. Cincinnati, Elih Marrero, C, Coral Gables (Fla.) HS.
866. Miami, Ben Meyer, RHP, Minnesota.
867. San Diego, Tyler Moore, 2B, South Carolina-Aiken.
868. Tampa Bay, Shane Potter, 1B, La Costa Canyon HS, Encinitas, Calif.
869. N.Y. Mets, Seth Davis, LHP, Augustana (Ill.)
870. Atlanta, Collin Yelich, C, Sam Houston St.
871. Milwaukee, Donny Everett, RHP, Clarksville (Tenn.) HS.
872. Toronto, Kyle Davis, RHP, Southern Cal.
873. N.Y. Yankees, Kane Sweeney, 1B, Morehead St.
874. Cleveland, Christian Meister, RHP, No School.
875. Seattle, Jared West, LHP, LSU-Shreveport.
876. San Francisco, Matthias Dietz, RHP, John A. Logan.
877. Pittsburgh, Chris Falwell, LHP, Cisco JC.
878. Oakland, Armando Ruiz, RHP, Alabama St.
879. Kansas City, Mark McCoy, LHP, Rutgers.
880. Detroit, Dayton Dugas, OF, Sam Houston HS, Lake Charles, La.
881. St. Louis, Ben Yokley, RHP, Air Force.
882. L.A. Dodgers, Jason Bilous, RHP, Caravel Academy, Wilmington, Del.
883. Baltimore, Gabriel Garcia, C, Montverde Academy, Coamo, Puerto Rico.
884. Washington, Philip Diedrick, OF, Western Kentucky.
885. L.A. Angels, Cody Pope, RHP, Eastern New Mexico.
30TH ROUND
886. Arizona, Jeff Smith, IF, Missouri Baptist.
887. Colorado, Matt Meier, RHP, Lindenwood.
888. Texas, Jeffrey Springs, LHP, Appalachian St.
889. Houston, Bobby Wernes, 3B, Arkansas.
890. Minnesota, Greg Popylisen, CF, El Paso CC.
891. Boston, Jack Conley, C, Leesville Road HS, Raleigh, N.C.
892. Chicago White Sox, Jack Charleston, RHP, Faulkner.
893. Chicago Cubs, Tyler Payne, C, West Virginia St.
894. Philadelphia, Kyle Nowlin, OF, Eastern Kentucky.
895. Cincinnati, Joseph Purritano, 1B, Dartmouth.
896. Miami, Joseph Chavez, SS, UC Riverside.
897. San Diego, A.J 8xx. Kennedy, C, Cal St. Fullerton.
898. Tampa Bay, Kyle Teaf, SS, South Florida.
899. N.Y. Mets, Jackson Wark, RHP, Bellerose Composite HS, St. Albert, Alberta.
900. Atlanta, Doug Still, LHP, Jefferson College.
