BEGIN
CREATE TABLE
INSERT 0 385
 rk  |              team              | div |  str  | park  |  ofs  |  dfs  |  sos  
 295 | Ulster County Community Colleg |   2 | 0.492 | 0.977 | 0.860 | 1.032 | 0.806
 296 | Jackson Community College      |   2 | 0.490 | 1.034 | 0.997 | 1.201 | 0.888
 297 | Southeast Community College    |   2 | 0.487 | 1.009 | 0.838 | 1.015 | 0.872
 298 | Dean College                   |   2 | 0.482 | 1.051 | 0.996 | 1.220 | 0.766
 299 | Rochester Community & Technica |   3 | 0.480 | 0.988 | 1.044 | 0.894 | 0.750
 300 | Cumberland County College      |   3 | 0.477 | 1.004 | 0.978 | 0.842 | 0.711
 301 | Waubonsee Community College    |   3 | 0.471 | 1.029 | 1.120 | 0.977 | 0.769
 302 | Western Technical College      |   3 | 0.471 | 1.063 | 0.944 | 0.824 | 0.717
 303 | Dutchess Community College     |   2 | 0.468 | 1.098 | 0.950 | 1.199 | 0.817
 304 | Wilkes Community College       |   2 | 0.467 | 1.009 | 0.770 | 0.975 | 0.956
 305 | Illinois Central College       |   2 | 0.464 | 1.042 | 0.928 | 1.180 | 0.911
 306 | Burlington County College      |   2 | 0.453 | 1.012 | 0.907 | 1.183 | 0.947
 307 | Lewis & Clark Community Colleg |   2 | 0.449 | 1.039 | 0.916 | 1.205 | 0.922
 308 | Colorado Northwestern Communit |   1 | 0.443 | 1.099 | 0.616 | 1.391 | 1.065
 309 | Hesston College                |   2 | 0.442 | 0.902 | 1.019 | 1.362 | 0.895
 310 | Itasca Community College       |   3 | 0.440 | 1.032 | 0.958 | 0.894 | 0.609
 311 | Jefferson Community College    |   3 | 0.436 | 0.980 | 1.097 | 1.035 | 0.678
 312 | Rockland Community College     |   2 | 0.434 | 1.118 | 0.864 | 1.176 | 0.734
 313 | Wake Technical Community Colle |   2 | 0.428 | 1.083 | 0.736 | 1.017 | 0.874
 314 | Westmoreland County Community  |   3 | 0.424 | 1.014 | 1.095 | 1.062 | 0.677
 315 | College of DuPage              |   3 | 0.423 | 1.084 | 1.143 | 1.112 | 0.809
 316 | Bunker Hill Community College  |   3 | 0.422 | 0.963 | 1.083 | 1.055 | 0.712
 317 | Shawnee Community College      |   2 | 0.415 | 0.957 | 0.920 | 1.310 | 0.875
 318 | Stanly Community College       |   2 | 0.412 | 1.001 | 0.754 | 1.079 | 0.905
 319 | Dakota County Technical Colleg |   3 | 0.410 | 1.009 | 0.858 | 0.861 | 0.972
 320 | Quinsigamond Community College |   3 | 0.409 | 0.979 | 1.049 | 1.055 | 0.627
 321 | Orange County Community Colleg |   2 | 0.407 | 1.095 | 1.088 | 1.579 | 0.777
 322 | CCBC-Dundalk                   |   2 | 0.404 | 1.040 | 0.880 | 1.286 | 0.818
 323 | Henry Ford Community College   |   2 | 0.404 | 1.074 | 0.863 | 1.263 | 0.833
 324 | Rockingham Community College   |   2 | 0.403 | 0.961 | 0.894 | 1.309 | 0.846
 325 | New Mexico Military Institute  |   1 | 0.403 | 1.164 | 0.651 | 1.614 | 0.935
 326 | Holyoke Community College      |   3 | 0.385 | 1.047 | 0.955 | 1.020 | 0.731
 327 | Danville Community College     |   2 | 0.384 | 0.956 | 0.823 | 1.265 | 0.876
 328 | Mott Community College         |   2 | 0.378 | 0.970 | 0.749 | 1.170 | 0.799
 329 | Hudson Valley Community Colleg |   3 | 0.378 | 0.921 | 0.919 | 0.998 | 0.695
 330 | CC of Allegheny County-South   |   3 | 0.376 | 0.939 | 0.951 | 1.039 | 0.662
 331 | Montgomery County Community Co |   3 | 0.374 | 0.992 | 0.923 | 1.015 | 0.773
 332 | Mesabi Range CTC               |   3 | 0.369 | 0.975 | 0.847 | 0.942 | 0.609
 333 | St. Clair County Community Col |   2 | 0.369 | 0.983 | 0.668 | 1.068 | 0.779
 334 | College of Southern Maryland   |   2 | 0.368 | 1.040 | 0.764 | 1.227 | 0.802
 335 | Sussex County Community Colleg |   2 | 0.360 | 1.049 | 0.676 | 1.110 | 0.750
 336 | Northern Oklahoma College-Tonk |   2 | 0.358 | 1.122 | 0.670 | 1.103 | 0.991
 337 | Lake Michigan College          |   2 | 0.358 | 0.936 | 0.731 | 1.207 | 0.855
 338 | Lansing Community College      |   2 | 0.344 | 1.037 | 0.858 | 1.474 | 0.773
 339 | North Central Missouri College |   1 | 0.340 | 0.946 | 0.504 | 1.483 | 0.908
 340 | Finger Lakes Community College |   3 | 0.337 | 0.974 | 0.957 | 1.166 | 0.761
 341 | Tompkins Cortland Community Co |   3 | 0.328 | 1.012 | 0.928 | 1.163 | 0.717
 342 | Brown Mackie College           |   2 | 0.328 | 1.114 | 0.788 | 1.420 | 0.926
 343 | Sauk Valley Community College  |   2 | 0.321 | 0.943 | 0.777 | 1.430 | 0.792
 344 | Ridgewater College             |   3 | 0.320 | 1.025 | 0.995 | 1.280 | 0.646
 345 | Carl Sandburg College          |   2 | 0.319 | 1.023 | 0.742 | 1.375 | 0.781
 346 | Olive-Harvey College           |   1 | 0.317 | 1.054 | 0.691 | 2.177 | 0.780
 347 | Broome Community College       |   3 | 0.313 | 0.914 | 0.800 | 1.051 | 0.717
 348 | Corning Community College      |   3 | 0.306 | 1.058 | 0.876 | 1.178 | 0.700
 349 | Bishop State Community College |   1 | 0.305 | 1.075 | 0.474 | 1.555 | 0.932
 350 | Middlesex County College       |   3 | 0.304 | 0.958 | 0.836 | 1.129 | 0.702
 351 | Queensborough Community Colleg |   3 | 0.299 | 0.959 | 0.945 | 1.297 | 0.671
 352 | Morton College                 |   2 | 0.293 | 1.062 | 0.792 | 1.596 | 0.782
 353 | Ancilla College                |   2 | 0.293 | 0.973 | 0.608 | 1.226 | 0.786
 354 | Globe Institute of Technology  |   1 | 0.290 | 0.920 | 0.601 | 2.071 | 0.636
 355 | Northland Community & Technica |   3 | 0.286 | 0.971 | 0.812 | 1.169 | 0.623
 356 | Prince George's Community Coll |   3 | 0.280 | 1.101 | 1.049 | 1.540 | 0.807
 357 | Dawson Community College       |   2 | 0.277 | 1.032 | 0.699 | 1.490 | 0.752
 358 | Illinois Valley Community Coll |   2 | 0.271 | 1.115 | 0.688 | 1.496 | 0.797
 359 | Union County College           |   3 | 0.267 | 1.058 | 1.041 | 1.602 | 0.738
 360 | Borough of Manhattan Community |   3 | 0.251 | 1.066 | 1.091 | 1.788 | 0.678
 361 | Anoka-Ramsey Community College |   3 | 0.247 | 0.940 | 0.745 | 1.238 | 0.679
 362 | Roxbury Community College      |   3 | 0.247 | 1.000 | 0.839 | 1.396 | 0.787
 363 | Mass Bay Community College     |   3 | 0.242 | 1.056 | 0.750 | 1.276 | 0.773
 364 | Fulton-Montgomery Community Co |   3 | 0.235 | 1.153 | 0.789 | 1.379 | 0.668
 365 | Kingsborough Community College |   3 | 0.235 | 0.950 | 0.934 | 1.634 | 0.608
 366 | Montgomery College-Rockville   |   3 | 0.222 | 1.053 | 0.652 | 1.209 | 0.826
 367 | Rainy River Community College  |   3 | 0.221 | 1.075 | 0.742 | 1.377 | 0.608
 368 | Raritan Valley Community Colle |   2 | 0.220 | 1.064 | 0.823 | 2.206 | 0.701
 369 | Bismarck State College         |   2 | 0.218 | 1.041 | 0.551 | 1.491 | 0.755
 370 | Clinton Community College - NY |   3 | 0.214 | 0.963 | 0.741 | 1.426 | 0.631
 371 | Bronx Community College        |   3 | 0.209 | 1.005 | 0.690 | 1.356 | 0.653
 372 | Central Lakes College-Brainerd |   3 | 0.209 | 1.104 | 0.642 | 1.265 | 0.740
 373 | Highland Community College - I |   2 | 0.202 | 0.995 | 0.471 | 1.375 | 0.773
 374 | Coahoma Community College      |   2 | 0.201 | 1.121 | 0.534 | 1.567 | 0.911
 375 | Spoon River College            |   2 | 0.200 | 1.040 | 0.551 | 1.626 | 0.806
 376 | Hibbing Community College      |   3 | 0.198 | 1.126 | 0.635 | 1.318 | 0.682
 377 | Vermilion Community College    |   3 | 0.196 | 1.004 | 0.692 | 1.453 | 0.547
 378 | Butler County Community Colleg |   3 | 0.187 | 1.067 | 0.608 | 1.337 | 0.694
 379 | Atlantic Cape Community Colleg |   3 | 0.185 | 1.133 | 0.717 | 1.591 | 0.728
 380 | Alfred State College           |   2 | 0.181 | 0.995 | 0.515 | 1.685 | 0.720
 381 | Minnesota West Community & Tec |   3 | 0.180 | 1.085 | 0.656 | 1.497 | 0.656
 382 | Lorain County Community Colleg |   3 | 0.171 | 1.024 | 0.673 | 1.616 | 0.656
 383 | Dakota College at Bottineau    |   2 | 0.161 | 0.994 | 0.491 | 1.805 | 0.733
 384 | CC of Allegheny County-Boyce   |   3 | 0.140 | 1.061 | 0.565 | 1.655 | 0.648
 385 | Adirondack Community College   |   3 | 0.125 | 1.007 | 0.516 | 1.694 | 0.675
(385 rows)

COMMIT
