year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	2	Abilene Christian	34	1884458	Kotulek, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884458	Fr	P	16	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	17	1767870	Dudley, Collin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767870	Jr	P	16	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	43	1884460	Watkins, Cyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884460	Fr	P	16	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	44	1767891	Kornely, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767891	Sr	P	15	2	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	31	1547057	Lambright, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547057	Sr	P	15	13	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	19	1884440	Bouffard, Blake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884440	Jr	P	12	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	15	1884438	Skeffington, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884438	Fr	P	12	7	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	21	1884441	Rolen, Case	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884441	Jr	P	6	6	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	27	1767885	Hays, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767885	So	C	4	1	""	0.000	0.000	0.000	1	5	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	1	1896522	Pedersen, Chas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1896522	Fr	3B	4	1	""	0.000	0.000	0.000	""	3	""	""	""	0	""	""	""	""	""	""	2	""	""	""	""	""
