year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2017	12560	1	2	Abilene Christian	28	1884455	Smith, Jonah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884455	Fr	P	20	1	""	20	1	3.76	40.2	""	39	20	17	18	15	""	178	149	10	""	""	1	5	8	""	29	14	1	2	633	34	61	1	3	1	5
2017	12560	1	2	Abilene Christian	32	1767887	Ruot, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767887	So	INF	20	2	""	18	1	9.28	21.1	""	39	28	22	8	9	""	112	98	8	3	1	""	4	2	1	20	9	2	2	397	28	24	""	5	""	3
2017	12560	1	2	Abilene Christian	35	1767888	Dougherty, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767888	Sr	P	20	1	""	20	1	11.32	20.2	""	43	29	26	10	13	""	118	100	8	2	1	1	""	3	""	12	8	1	4	364	23	23	""	2	""	3
2017	12560	1	2	Abilene Christian	16	1659965	Hanson, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1659965	Jr	P	17	11	""	17	11	5.63	54.1	""	65	46	34	28	36	""	260	221	7	4	1	7	2	3	""	6	6	4	4	987	39	80	3	5	""	12
2017	12560	1	2	Abilene Christian	34	1884458	Kotulek, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884458	Fr	P	16	0	""	16	""	10.31	18.1	""	31	22	21	15	16	""	100	78	3	1	1	1	4	4	""	14	5	2	1	397	17	18	2	3	""	3
2017	12560	1	2	Abilene Christian	17	1767870	Dudley, Collin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767870	Jr	P	16	0	""	16	""	9.47	19.0	""	35	21	20	12	13	""	107	91	4	1	1	7	1	4	""	11	3	""	""	418	16	25	""	""	""	1
2017	12560	1	2	Abilene Christian	43	1884460	Watkins, Cyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884460	Fr	P	16	0	""	16	""	4.71	21.0	""	28	16	11	17	7	""	107	82	3	""	""	1	3	3	""	16	8	1	4	396	28	20	""	1	""	4
2017	12560	1	2	Abilene Christian	44	1767891	Kornely, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767891	Sr	P	15	2	""	15	2	10.44	25.0	""	40	31	29	10	21	""	127	110	6	1	""	5	6	""	1	13	3	3	4	495	14	39	""	3	1	9
2017	12560	1	2	Abilene Christian	31	1547057	Lambright, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547057	Sr	P	15	13	""	15	13	5.84	57.0	""	47	46	37	79	65	""	301	206	6	2	3	3	21	8	""	2	""	3	5	1360	56	39	""	4	""	12
2017	12560	1	2	Abilene Christian	19	1884440	Bouffard, Blake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884440	Jr	P	12	0	""	12	""	9.47	19.0	""	29	25	20	14	14	""	102	78	8	""	""	""	4	8	""	4	2	""	2	388	16	19	1	""	""	2
2017	12560	1	2	Abilene Christian	15	1884438	Skeffington, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884438	Fr	P	12	7	""	12	7	7.56	33.1	""	59	36	28	20	19	""	181	151	13	1	2	7	1	2	""	1	""	4	4	666	26	51	1	6	""	5
2017	12560	1	2	Abilene Christian	21	1884441	Rolen, Case	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884441	Jr	P	6	6	""	6	6	3.38	29.1	""	21	13	11	17	23	""	132	103	5	""	1	""	5	8	""	""	""	2	1	453	31	30	1	1	""	5
2017	12560	1	2	Abilene Christian	27	1767885	Hays, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767885	So	C	4	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	1	1896522	Pedersen, Chas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1896522	Fr	3B	4	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	14	1896883	Dyer, Doug	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1896883	Fr	P	3	0	""	3	""	9.00	4.0	""	2	6	4	4	2	""	19	14	""	""	""	2	""	""	""	3	3	1	""	73	2	8	""	""	""	1
2017	12560	1	2	Abilene Christian	8	1767865	Markwardt, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767865	So	OF	3	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	18	1884439	Hill, Bryce	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884439	Fr	P	1	1	""	1	1	15.43	2.1	""	5	4	4	1	""	""	12	9	1	""	1	""	1	1	""	""	""	""	1	43	1	4	""	1	""	""
2017	12560	1	721	Air Force	5	1769403	Ready, Nic	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769403	So	INF	53	53	""	1	""	0.00	2.0	""	1	""	""	0	""	""	7	7	""	""	""	""	""	""	""	""	""	""	""	19	5	1	""	""	""	""
2017	12560	1	721	Air Force	21	1653231	Zabojnik, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653231	Jr	INF	53	53	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	9	1769404	Dau, Rob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769404	So	C	53	53	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	1	1527627	Groesbeck, Adam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527627	Sr	OF	50	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	3	1527639	Haslam, Bradley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527639	Sr	INF	49	49	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	19	1769409	Wiss, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769409	So	OF	48	44	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	17	1527634	Williams, Russell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527634	Sr	INF	47	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	2	1527628	Jones, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527628	Sr	OF	43	43	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	23	1879033	Easley, Ashton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879033	Fr	OF	42	23	""	4	""	5.79	4.2	""	4	3	3	3	4	""	21	18	1	""	""	""	""	""	""	1	""	""	""	78	5	5	""	""	""	1
2017	12560	1	721	Air Force	12	1653232	Mize, Shaun	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653232	Sr	INF	37	31	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	25	1653241	Robb, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653241	Jr	INF	32	16	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
