year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	2	vs_rhp	10581	929	Adams St.	34	1877471	Huffaker, Patrick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877471	So	OF	27	22		0.212	0.250	0.288	7	52	11	2	1	15		4	3		1	1	20	1				
2017	12560	2	vs_rhp	10581	929	Adams St.	42	1877474	Morain, Sawyer	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877474	Jr	1B	25	16		0.269	0.345	0.423	4	52	14	3	1	22	1	10	5	1			14	2				
2017	12560	2	vs_rhp	10581	929	Adams St.	10	1556703	Bybee, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1556703	Sr	INF	22	5		0.250	0.429	0.312	2	16	4	1		5		2	2	3		1	6	1	1			
2017	12560	2	vs_rhp	10581	929	Adams St.	47	1877475	Guillory, Codi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877475	Jr	C	8	0		0.250	0.250	0.250	0	4	1			1		1										
2017	12560	2	vs_rhp	10581	929	Adams St.	47	1783698	Ryan, B.	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1783698	N/A	DH	3	0		0.000	0.000	0.000	0	1	0			0		0					1					
2017	12560	2	vs_rhp	10581	929	Adams St.	32	1877470	West, Gregory	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877470	Jr	C	3	0		0.000	0.000	0.000	0	1	0			0		0					1					
2017	12560	2	vs_rhp	10581	929	Adams St.	32	1896843	Brown, B.	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1896843	Fr	DH	3	1		0.000	0.250	0.000	0	3	0			0		0	1				2					
2017	12560	2	vs_rhp	10581	929	Adams St.	12	1896904	Torres, A.	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1896904	Fr	2B	2	1		0.000	0.000	0.000	0	2	0			0		0					1					
2017	12560	2	vs_rhp	10581	3	Adelphi	18	1653697	Withers, Steven	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653697	Jr	INF	48	48		0.320	0.400	0.393	34	150	48	2	3	59	1	17	20	2	3	1	17	3	4		17	
2017	12560	2	vs_rhp	10581	3	Adelphi	26	1537989	Hassell, Eric	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1537989	Sr	OF	47	46		0.259	0.335	0.302	16	139	36	6		42		25	14	3	2	1	24	5	2		5	
