year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2014	11620	1014	Col. of Charleston	28	1531230	Henry, Chase	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531230	Jr	P	28	0	28	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	13	1429975	Bello, Austin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429975	So	OF	23	6	23	0.190	0.306	0.214	42	5	8	1	 	""	 	4	5	2	 	 	9	 	 	 	 
2014	11620	1014	Col. of Charleston	25	1531213	Thornton, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531213	Fr	P	22	14	22	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	1	1308553	Reed, Devon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1308553	Jr	INF	22	3	22	0.235	0.278	0.235	17	1	4	 	 	""	 	1	1	 	 	1	1	 	1	1	 
2014	11620	1014	Col. of Charleston	20	1429977	Helvey, Nathan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429977	So	P	21	11	21	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	17	1531209	Roper, Erven	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531209	Fr	C	20	7	20	0.167	0.219	0.200	30	2	5	1	 	""	 	1	2	 	 	1	12	 	 	 	 
2014	11620	1014	Col. of Charleston	32	1531233	Clarke, Taylor	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531233	So	P	18	17	18	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	19	1531211	Ober, Bailey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531211	Fr	P	17	14	17	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	22	1531212	Rice, Hunter	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531212	Jr	P	14	0	14	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	26	1531214	Bauer, Eric	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531214	So	P	13	5	13	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	5	1213500	Ross, Blake	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1213500	Sr	P	9	0	9	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	21	1449471	Smith, Derrick	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1449471	Sr	P	8	1	8	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	40	1531235	Morris, Marlin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531235	Jr	P	8	0	8	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	31	1531232	McCutcheon, Hayden	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1531232	Fr	P	7	1	7	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	1014	Col. of Charleston	42	1429986	Koon, Martin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429986	So	INF	4	0	4	0.125	0.125	0.125	8	 	1	 	 	""	 	 	 	 	 	 	4	 	 	 	 
2014	11620	158	Columbia	10	1199860	Silbar, Aaron	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1199860	Sr	INF	49	49	49	0.244	0.335	0.301	176	28	43	10	 	""	 	20	14	11	2	7	23	4	7	1	 
2014	11620	158	Columbia	14	1535793	Paller, Robb	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1535793	So	OF	48	48	48	0.296	0.351	0.419	186	25	55	12	1	78	3	35	16	2	4	 	23	3	3	2	 
2014	11620	158	Columbia	25	1303168	Craig, Gus	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1303168	Jr	OF	48	44	48	0.277	0.345	0.484	159	27	44	9	3	77	6	26	11	6	1	3	16	1	3	3	 
2014	11620	158	Columbia	3	1303171	Serena, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1303171	Jr	OF	48	48	48	0.305	0.401	0.385	187	41	57	9	3	""	 	14	19	13	3	2	29	4	25	5	 
2014	11620	158	Columbia	18	1303174	Vandercook, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1303174	Jr	INF	47	47	47	0.252	0.346	0.440	159	22	40	15	 	""	5	34	15	10	4	4	45	3	2	1	 
2014	11620	158	Columbia	30	1429385	Maguire, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429385	So	INF	46	46	46	0.265	0.354	0.400	155	17	41	10	1	62	3	15	19	3	1	4	25	5	 	 	 
2014	11620	158	Columbia	12	1535792	Savage, Will	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1535792	Fr	INF	46	43	46	0.320	0.386	0.405	153	27	49	8	1	62	1	15	12	5	1	9	17	 	14	2	 
2014	11620	158	Columbia	4	1199858	Fischer, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1199858	Sr	C	45	45	45	0.231	0.333	0.308	143	20	33	3	1	44	2	18	16	7	2	4	53	4	2	1	 
2014	11620	158	Columbia	24	1429374	Boyher, Logan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429374	So	C	32	25	32	0.253	0.306	0.303	99	12	25	1	2	""	 	11	2	7	3	2	22	1	 	1	 
2014	11620	158	Columbia	9	1429384	Kinne, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429384	So	INF	25	16	25	0.274	0.328	0.274	62	6	17	 	 	""	 	5	4	1	 	3	9	1	1	1	 
2014	11620	158	Columbia	16	1429382	Falcone, Joey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429382	Jr	OF	24	17	24	0.125	0.222	0.141	64	1	8	1	 	""	 	7	6	2	 	 	20	1	1	 	 
2014	11620	158	Columbia	6	1535789	Bartelman, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1535789	Fr	INF	18	11	18	0.189	0.311	0.270	37	5	7	1	1	""	 	8	6	1	1	2	8	 	4	 	 
2014	11620	158	Columbia	11	1535791	Adams, Shane	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1535791	Fr	INF	16	2	16	0.312	0.450	0.312	16	2	5	 	 	""	 	2	4	 	 	 	4	 	2	2	 
2014	11620	158	Columbia	37	1303176	Weisman, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1303176	Jr	P	15	0	15	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	21	1535794	Thanopoulos, George	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1535794	So	P	15	7	15	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	34	1429383	Crispi, Thomas	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429383	So	P	14	2	14	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	17	1199862	Tax, Zack	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1199862	Sr	P	13	0	13	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	36	1429375	Cline, Adam	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429375	So	P	12	2	12	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	23	1199861	Speer, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1199861	Sr	P	12	12	12	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	19	1199857	Donino, Joey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1199857	Sr	P	12	11	12	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	22	1429378	Roy, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429378	So	P	12	12	12	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	13	1429377	Robinson, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429377	So	P	9	0	9	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	27	1535795	Wiest, Ty	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1535795	Fr	P	8	2	8	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	2	1429376	Robbins, Willis	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429376	So	P	7	0	7	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	8	1535790	Erickson, Nicholas	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1535790	Fr	INF	7	0	7	0.000	0.000	0.000	8	 	 	 	 	""	 	 	 	 	 	 	1	 	 	 	 
2014	11620	158	Columbia	33	1535798	Marks, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1535798	Fr	P	4	1	4	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	5	1429386	Martin, George	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1429386	So	P	2	0	2	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	158	Columbia	15	1303172	Spinosa, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1303172	Jr	P	1	0	1	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	24	1422215	Hamlett, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422215	Jr	INF	45	44	45	0.273	0.324	0.360	172	26	47	12	 	""	1	19	11	2	 	1	25	5	5	4	 
2014	11620	165	Coppin St.	20	1422213	Godfrey, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422213	Sr	INF	45	44	45	0.204	0.313	0.275	142	13	29	4	 	""	2	17	18	5	1	1	31	1	 	 	 
2014	11620	165	Coppin St.	18	1300834	Brown, William	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1300834	Jr	C	43	42	43	0.223	0.308	0.317	139	19	31	7	 	""	2	21	15	3	2	 	28	5	 	1	 
2014	11620	165	Coppin St.	3	1422207	Dower, Colin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422207	So	INF	42	40	42	0.120	0.200	0.130	108	12	13	1	 	""	 	6	6	5	1	14	30	2	3	1	 
2014	11620	165	Coppin St.	9	1300825	Walls, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1300825	Jr	OF	40	34	40	0.223	0.309	0.264	121	15	27	3	1	""	 	11	8	8	2	5	27	2	5	5	 
2014	11620	165	Coppin St.	16	1551461	Parcell, Darien	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551461	So	OF	39	33	39	0.257	0.357	0.314	105	12	27	6	 	""	 	11	12	6	3	 	28	4	2	 	 
2014	11620	165	Coppin St.	22	1422214	Kraft, Jack	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422214	So	P	37	35	37	0.305	0.384	0.406	128	17	39	5	4	""	 	25	14	3	1	 	30	3	4	2	 
2014	11620	165	Coppin St.	5	1551456	Fitch, Jeffrey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551456	Jr	OF	36	28	36	0.314	0.395	0.343	105	12	33	3	 	""	 	15	9	5	 	3	19	3	3	5	 
2014	11620	165	Coppin St.	10	1551463	Bryant, M	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551463	N/A	PH	34	27	34	0.225	0.289	0.261	111	12	25	2	1	""	 	11	3	7	 	1	25	5	 	1	 
2014	11620	165	Coppin St.	6	1422208	Cozart, Dalton	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422208	So	OF	31	24	31	0.212	0.358	0.212	66	8	14	 	 	""	 	3	13	2	 	1	19	4	 	2	 
2014	11620	165	Coppin St.	14	1300827	Wright, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1300827	Jr	OF	28	14	28	0.242	0.319	0.258	62	8	15	1	 	""	 	6	6	1	 	2	12	1	3	 	 
2014	11620	165	Coppin St.	4	1551454	Calvin, Jonathan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551454	Fr	OF	24	11	24	0.213	0.327	0.255	47	9	10	 	1	""	 	1	8	 	 	1	16	1	 	 	 
2014	11620	165	Coppin St.	11	1422210	Martinez, Darryl	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422210	Sr	P	19	1	19	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	2	1422209	Devilme, Jhar	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422209	So	P	19	6	19	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	12	1422211	Grebenstein, Will	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422211	So	P	19	10	19	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	25	1551460	O'Brien, Dillon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551460	Fr	P	18	4	18	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	38	1551462	Mendez, R.	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551462	N/A	1B	15	12	15	0.289	0.400	0.368	38	2	11	1	1	""	 	2	5	2	 	 	11	 	 	1	 
2014	11620	165	Coppin St.	15	1300828	Muhammad, Yahya	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1300828	Jr	P	15	9	15	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	31	1422237	Davies, Shane	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422237	So	P	14	7	14	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	33	1551455	Eigenmann, Rafael	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551455	Fr	C	13	6	13	0.050	0.240	0.050	20	2	1	 	 	""	 	1	5	 	 	 	10	1	 	 	 
2014	11620	165	Coppin St.	7	1300830	Arciaga, Ian	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1300830	Jr	INF	12	10	12	0.172	0.273	0.310	29	3	5	1	 	""	1	5	2	2	 	 	13	2	 	 	 
2014	11620	165	Coppin St.	29	1300832	Roberts, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1300832	Jr	P	11	0	11	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	19	1551457	Hernandez, Alejandro	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551457	So	INF	11	4	11	0.050	0.095	0.050	20	 	1	 	 	""	 	1	1	 	 	 	5	1	 	 	 
2014	11620	165	Coppin St.	23	1422216	Burgess, Anderson	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422216	So	P	10	9	10	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	8	1300824	Vazquez, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1300824	Jr	P	7	0	7	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	165	Coppin St.	32	1422238	Maletz, Jay	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1422238	So	INF	7	5	7	0.125	0.125	0.125	16	3	2	 	 	""	 	 	 	 	 	 	5	 	 	 	 
2014	11620	165	Coppin St.	28	1551459	Moore, Stephon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1551459	So	1B	6	1	6	0.000	0.500	0.000	4	 	 	 	 	""	 	 	2	2	 	 	2	 	 	 	 
2014	11620	165	Coppin St.	25	1321424	Mewborn, Frank	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1321424	Sr	OF	4	0	4	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	17	1547003	Karl, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547003	Jr	OF	39	39	39	0.280	0.356	0.552	143	23	40	10	1	79	9	32	12	5	 	 	40	1	3	 	 
2014	11620	167	Cornell	6	1324529	Whetsel, JD	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1324529	Jr	OF	39	39	39	0.264	0.382	0.354	144	27	38	11	1	""	 	13	23	5	1	3	27	1	15	4	 
2014	11620	167	Cornell	24	1215858	Plantier, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215858	Sr	1B	38	38	38	0.256	0.342	0.293	133	9	34	5	 	""	 	19	14	4	1	 	25	4	 	1	 
2014	11620	167	Cornell	33	1215865	Cruz, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215865	Sr	OF	38	38	38	0.245	0.325	0.427	143	23	35	4	2	61	6	25	13	4	 	1	47	1	4	2	 
2014	11620	167	Cornell	3	1215855	D'Alessandro, Tom	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215855	Sr	OF	37	37	37	0.264	0.383	0.304	125	20	33	5	 	""	 	12	20	6	3	4	25	2	17	4	 
2014	11620	167	Cornell	2	1324528	Tatum, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1324528	Jr	OF	36	35	36	0.237	0.307	0.333	114	13	27	9	1	""	 	9	10	2	1	 	14	3	1	1	 
2014	11620	167	Cornell	9	1215856	Swinford, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215856	Sr	3B	33	32	33	0.204	0.316	0.286	98	8	20	5	 	""	1	12	13	3	 	4	18	 	3	2	 
2014	11620	167	Cornell	18	1547004	Scorza, Spencer	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547004	Jr	INF	32	23	32	0.244	0.320	0.395	86	11	21	4	 	""	3	10	6	4	1	 	17	2	 	 	 
2014	11620	167	Cornell	4	1329458	Hall, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1329458	Jr	C	26	25	26	0.253	0.286	0.368	87	8	22	7	 	""	1	9	3	1	 	3	7	6	 	 	 
2014	11620	167	Cornell	27	1439151	Winawer, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1439151	So	OF	21	15	21	0.436	0.500	0.545	55	11	24	4	1	""	 	6	3	4	 	 	7	 	3	2	 
2014	11620	167	Cornell	15	1547005	Wagner, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547005	Fr	INF	19	11	19	0.171	0.261	0.220	41	5	7	2	 	""	 	4	5	 	 	 	5	 	2	1	 
2014	11620	167	Cornell	11	1546996	Smith, Jamie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546996	Fr	C	16	9	16	0.176	0.263	0.235	34	3	6	2	 	""	 	1	3	1	 	 	10	 	 	 	 
2014	11620	167	Cornell	22	1324531	Upton, Eric	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1324531	Jr	P	13	0	13	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	21	1439149	Horton, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1439149	So	P	12	0	12	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	13	1332286	Urbon, Kellen	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1332286	So	P	12	2	12	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	8	1546995	Padulo, Frankie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546995	Fr	INF	11	3	11	0.111	0.111	0.167	18	3	2	1	 	""	 	2	 	 	 	 	4	1	 	 	 
2014	11620	167	Cornell	28	1439152	Byrne, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1439152	So	P	10	8	10	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	20	1546998	Balestrieri, Paul	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546998	Fr	P	10	1	10	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	32	1324535	Busto, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1324535	Jr	P	10	6	10	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	31	1439154	McGee, Collin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1439154	So	C	9	5	9	0.235	0.278	0.235	17	1	4	 	 	""	 	 	1	 	 	2	3	 	 	 	 
2014	11620	167	Cornell	35	1329459	Jones, Brent	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1329459	Jr	P	9	9	9	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	40	1215867	Kaufmann, Connor	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215867	Sr	P	8	2	8	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	26	1439150	McCulley, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1439150	Sr	P	7	1	7	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	16	1215859	Sikorski, Jimmy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1215859	Sr	P	7	2	7	0.000	0.091	0.000	10	 	 	 	 	""	 	1	1	 	 	 	2	 	 	 	 
2014	11620	167	Cornell	29	1547000	Willittes, Tim	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547000	Fr	P	7	3	7	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	39	1547002	Smith, Tiger	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547002	Fr	P	6	2	6	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	30	1324534	Suppa, Roberto	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1324534	Jr	P	6	3	6	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	7	1546994	Soltis, Scott	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546994	Fr	P	5	0	5	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	38	1439156	Morris, Dan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1439156	Jr	INF	4	0	4	0.000	0.000	0.000	1	3	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	37	1547001	Brewer, Ray	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1547001	Fr	P	3	0	3	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	5	1439148	Lowell, Eliot	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1439148	So	INF	2	0	2	0.000	0.333	0.000	2	1	 	 	 	""	 	1	1	 	 	 	1	 	 	 	 
2014	11620	167	Cornell	23	1324532	McAfee, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1324532	Jr	P	2	2	2	""	""	""	 	 	 	 	 	""	 	 	 	 	 	 	 	 	 	 	 
2014	11620	167	Cornell	25	1546999	Weston, Jacob	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1546999	Fr	OF	2	0	2	0.000	0.000	0.000	1	 	 	 	 	""	 	 	 	 	 	 	1	 	 	 	 
2014	11620	169	Creighton	22	1433391	Fitzgerald, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1433391	So	INF	50	50	50	0.240	0.348	0.320	175	31	42	7	2	56	1	19	26	4	2	16	37	1	2	 	 
2014	11620	169	Creighton	13	1213828	Gerber, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1213828	Sr	OF	50	50	50	0.274	0.329	0.500	208	34	57	10	2	104	11	49	14	4	2	1	36	 	2	2	 
2014	11620	169	Creighton	30	1305592	Fowler, Reagan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1305592	So	INF	50	50	50	0.362	0.464	0.481	185	38	67	16	3	""	 	27	26	9	 	2	25	3	9	5	 
2014	11620	169	Creighton	3	1305585	Peter, Jake	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1305585	Jr	INF	50	50	50	0.299	0.376	0.431	197	43	59	8	3	85	4	37	21	5	3	4	17	3	4	4	 
2014	11620	169	Creighton	5	1213824	McKewon, Brad	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1213824	Sr	OF	49	49	49	0.279	0.355	0.356	208	33	58	11	1	74	1	25	18	7	1	7	27	 	8	5	 
