 year | team_key |           s           |         n         
 2005 | PHI      |                  -0.9 |               4.2
 2003 | SFG      |                  14.5 |              19.5
 1989 | TEX      |                   0.6 |               5.5
 1968 | DET      |                   0.5 |               5.4
 1978 | CLE      |                   1.7 |               6.5
 1987 | BAL      |                  77.4 |              82.1
 1998 | ANA      |                  -0.6 |               4.1
 2010 | CHC      |                  -0.9 |               3.8
 1979 | SEA      |                  18.8 |              23.5
 2000 | CHW      |                   1.4 |               5.9
 1973 | ATL      |                  -4.5 |              -0.1
 1999 | CIN      |                   4.7 |                 9
 2000 | NYY      |                  -0.9 |               3.4
 2000 | SDP      |                   3.2 |               7.5
 1994 | PHI      |                    -5 |              -0.8
 1971 | DET      |                  -4.2 |                 0
 1996 | MIL      |                  -1.4 |               2.8
 1992 | BOS      |                  -1.2 |                 3
 1973 | WSN      |                  15.5 |              19.3
 1974 | HOU      |                  -1.4 |               2.4
 2001 | SEA      |                   1.9 |               5.7
 1999 | CHC      |                  -1.9 |               1.9
 2001 | OAK      |                  18.1 |              21.8
 1993 | NYM      |                   1.6 |               5.2
 2009 | LAD      |                     0 |               3.6
 1994 | SEA      |                  22.9 |              26.5
 1990 | KCR      |                  -2.4 |               1.1
 1994 | NYY      |                  -0.5 |                 3
 2006 | PHI      |                   0.3 |               3.7
 1973 | DET      |                     0 |               3.4
 2007 | HOU      |                     0 |               3.3
 1974 | OAK      |                  -0.3 |                 3
 2004 | NYY      |                  15.1 |              18.4
 1977 | CLE      |                   2.8 |                 6
 1966 | SFG      |                  -0.2 |                 3
 1970 | BAL      |                   1.1 |               4.3
 1986 | HOU      |                  -3.1 |                 0
 1989 | OAK      |                    -1 |               2.1
 2009 | SDP      |                    -3 |                 0
 2008 | SDP      |                  17.7 |              20.6
 2009 | DET      |                  -2.9 |                 0
 1976 | BAL      |                  -0.6 |               2.3
 1992 | CHC      |                  -3.1 |              -0.3
 1975 | HOU      |                  -2.5 |               0.3
 2009 | PIT      |                   5.1 |               7.7
 2003 | DET      |                  -2.2 |               0.4
 2004 | TEX      |                  -0.7 |               1.9
 1967 | CHW      |                   0.2 |               2.8
 1973 | ANA      |                     0 |               2.5
 1991 | SFG      |                  -1.4 |               1.1
 1970 | ATL      |                  -2.5 |                 0
 2010 | BOS      |                  -2.8 |              -0.3
 1987 | PHI      |                  -2.4 |                 0
 1970 | MIN      |                  -1.8 |               0.6
 1970 | PHI      |                  -2.3 |                 0
 1968 | SDP      |                  -2.3 |                 0
 1995 | HOU      |                    -2 |               0.3
 2000 | BAL      |                  -0.5 |               1.8
 2006 | FLA      |                  -2.3 |                 0
 1989 | STL      |                  -2.5 |              -0.2
 2004 | STL      |                  -2.2 |                 0
 1970 | LAD      |                  -0.1 |               2.1
 1994 | FLA      |                  -2.3 |              -0.1
 1985 | BOS      |                  39.1 |              41.2
 2003 | COL      |                   6.1 |               8.2
 2003 | ANA      |                   6.2 |               8.3
 2001 | FLA      |                   0.3 |               2.4
 2001 | KCR      |                  -1.4 |               0.7
 1983 | SEA      |                    -2 |                 0
 1971 | ATL      |                  -0.8 |               1.1
 1980 | CHW      |                   1.7 |               3.6
 1987 | ANA      |                  -1.9 |                 0
 1990 | MIL      |                  -1.8 |                 0
 2009 | TBD      |                   0.3 |               2.1
 1997 | DET      |                  -2.1 |              -0.4
 1995 | NYY      |                    23 |              24.7
 1982 | PHI      |                   8.3 |               9.9
 1997 | MIL      |                   0.2 |               1.7
 1996 | CIN      |                  -1.2 |               0.3
 1996 | KCR      |                   6.2 |               7.7
 1994 | COL      |                  -2.1 |              -0.8
 1974 | ANA      |                    18 |              19.3
 2000 | NYM      |                  -1.2 |                 0
 1974 | NYM      |                  -2.4 |              -1.3
 1972 | CHW      |                  -1.5 |              -0.4
 1983 | HOU      |                  -1.1 |                 0
 1984 | CHW      |                  -2.2 |              -1.1
 1997 | TBD      |                   5.9 |                 7
 1991 | CIN      |                     2 |                 3
 2010 | TEX      |                    -1 |                 0
 2000 | CIN      |                  -0.8 |               0.2
 1989 | PIT      |                   3.2 |               4.2
 1990 | OAK      |                   5.8 |               6.7
 1984 | WSN      |                  10.9 |              11.8
 1981 | BOS      |                  -0.9 |                 0
 2010 | OAK      |                   2.9 |               3.7
 1989 | CHC      |                  -1.9 |              -1.1
 1989 | DET      |                   1.9 |               2.7
 1982 | NYM      |                    76 |              76.7
 1973 | HOU      |                     9 |               9.7
 1988 | NYM      |                  -1.1 |              -0.4
 1977 | KCR      |                  -0.8 |              -0.1
 1999 | CLE      |                  -0.8 |              -0.1
 1968 | ATL      |                   0.3 |                 1
 1975 | SDP      |                  -0.7 |                 0
 1982 | CLE      |                  -0.8 |              -0.2
 1975 | TEX      |                  -0.6 |                 0
 1980 | LAD      |                  -0.6 |                 0
 1971 | SFG      |                   0.1 |               0.7
 2007 | SEA      |                   1.9 |               2.5
 1975 | STL      |                  -0.5 |                 0
 2000 | SFG      |                  -0.2 |               0.3
 2002 | BAL      |                  -0.2 |               0.3
 2001 | ANA      |                   9.8 |              10.3
 2009 | OAK      |                   3.8 |               4.2
 1990 | LAD      |                  -0.2 |               0.2
 1966 | PHI      |                  -0.4 |                 0
 1997 | CLE      |                   0.1 |               0.5
 2008 | CHW      |                   9.9 |              10.2
 1990 | CHC      |                  -0.4 |              -0.1
 1967 | CHC      |                  -0.3 |                 0
 1976 | CHC      |                  -0.4 |              -0.1
 2001 | NYY      |                   0.5 |               0.8
 1975 | CHW      |                  -0.6 |              -0.3
 2010 | CLE      |                   6.7 |                 7
 2007 | OAK      |                   3.9 |               4.2
 2008 | SEA      |                  -0.3 |                 0
 1988 | DET      |                  -0.2 |                 0
 2007 | MIN      |                   4.6 |               4.8
 1969 | CHW      |                  -0.2 |                 0
 1984 | CIN      |                  -0.2 |                 0
 1977 | ATL      |                  -1.9 |              -1.7
 1988 | CHC      |                  -0.9 |              -0.7
 1970 | SFG      |                   1.9 |                 2
 1977 | BAL      |                  -0.4 |              -0.3
 1967 | DET      |                  -0.5 |              -0.4
 2008 | TOR      |                  -0.5 |              -0.4
